TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Rio,"$11,413,055",-34.7%,-,3826,"$2,983","$39,225,962",3,Twentieth Century Fox,False,False
2,2,Scream 4,"$3,770,698",-43.6%,-,3305,"$1,140","$18,692,090",3,-,False,False
3,3,Hop,"$3,192,050",-38.6%,-47.8%,3608,$884,"$82,157,605",17,Universal Pictures,False,False
4,5,Hanna,"$1,978,123",-37.8%,-37.7%,2545,$777,"$23,282,858",10,Focus Features,False,False
5,4,Soul Surfer,"$1,854,474",-43.5%,-28.5%,2214,$837,"$19,865,129",10,TriStar Pictures,False,False
6,6,Arthur,"$1,621,145",-46%,-40.3%,3276,$494,"$22,163,757",10,Warner Bros.,False,False
7,8,Source Code,"$1,508,811",-47.2%,-23.1%,2557,$590,"$36,898,580",17,Summit Entertainment,False,False
8,7,Insidious,"$1,493,165",-49.2%,-25.4%,2233,$668,"$35,870,891",17,FilmDistrict,False,False
9,10,Your Highness,"$1,095,905",-34.6%,-49.9%,2772,$395,"$16,077,475",10,Universal Pictures,False,False
10,9,Limitless,"$904,723",-46.2%,-28.7%,1885,$479,"$69,589,322",31,Relativity Media,False,False
11,11,The Conspirator,"$832,086",-47.2%,-,707,"$1,176","$3,506,602",3,Roadside Attractions,False,False
12,12,The Lincoln Lawyer,"$676,251",-52.1%,-31.3%,1702,$397,"$50,454,640",31,Lionsgate,False,False
13,13,Diary of a Wimpy Kid: Rodrick Rules,"$555,126",-46.8%,-55.6%,1849,$300,"$48,122,773",24,Twentieth Century Fox,False,False
14,15,Atlas Shrugged: Part I,"$381,000",-39.6%,-,299,"$1,274","$1,686,347",3,Rocky Mountain Pictures,False,True
15,14,Win Win,"$303,820",-53%,+14%,384,$791,"$5,033,567",31,Fox Searchlight Pictures,False,False
16,16,Jane Eyre,"$274,796",-39.5%,-12.1%,274,"$1,002","$6,605,035",38,Focus Features,False,False
17,17,Rango,"$211,398",-37.4%,-67.5%,976,$216,"$118,775,731",45,Paramount Pictures,False,False
18,18,Born to Be Wild,"$209,620",-22.4%,-23.2%,207,"$1,012","$1,847,726",10,Warner Bros.,False,False
19,19,Sucker Punch,"$165,462",-36.9%,-69.6%,555,$298,"$35,292,286",24,Warner Bros.,False,False
20,20,Battle Los Angeles,"$133,558",-42.5%,-65.7%,554,$241,"$82,193,266",38,Sony Pictures Releasing,False,False
21,21,Paul,"$123,280",-44.6%,-72.1%,536,$230,"$36,104,500",31,Universal Pictures,False,False
22,26,"It's Not You, It's Me","$104,896",+21.4%,-43.2%,189,$555,"$988,130",10,Lionsgate,False,False
