TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Rio,"$1,550,275",-18.7%,-57.4%,3842,$403,"$87,606,964",13,Twentieth Century Fox,False,False
2,2,Water for Elephants,"$1,426,309",-16.7%,-,2817,$506,"$21,765,547",6,Twentieth Century Fox,False,False
3,3,Madea's Big Happy Family,"$1,112,780",-29.5%,-,2288,$486,"$29,940,539",6,Lionsgate,False,False
4,5,African Cats,"$512,219",-6.8%,-,1220,$419,"$7,726,159",6,Walt Disney Studios Motion Pictures,False,False
5,4,Scream 4,"$477,047",-21%,-57.9%,3314,$143,"$32,858,041",13,-,False,False
6,6,Hanna,"$430,850",-16.3%,-40.1%,2384,$180,"$33,274,027",20,Focus Features,False,False
7,8,Soul Surfer,"$390,763",-11.3%,-48.7%,2240,$174,"$30,063,188",20,TriStar Pictures,False,False
8,7,Hop,"$379,555",-25%,-73.7%,3616,$104,"$102,357,965",27,Universal Pictures,False,False
9,9,Source Code,"$374,233",-11.5%,-41%,2363,$158,"$46,007,765",27,Summit Entertainment,False,False
10,10,Insidious,"$338,682",-16.3%,-46.5%,2130,$159,"$45,285,506",27,FilmDistrict,False,False
11,11,Arthur,"$308,120",-15.5%,-55.4%,2770,$111,"$30,361,901",20,Warner Bros.,False,False
12,12,Limitless,"$215,580",-10.6%,-46.9%,1363,$158,"$74,769,922",41,Relativity Media,False,False
13,13,The Conspirator,"$183,122",-7.2%,-36.7%,849,$215,"$7,486,812",13,Roadside Attractions,False,False
14,14,Your Highness,"$152,950",-17.4%,-69.3%,1610,$95,"$20,328,045",20,Universal Pictures,False,False
15,15,The Lincoln Lawyer,"$147,905",-8.1%,-45%,1220,$121,"$53,865,411",41,Lionsgate,False,False
16,16,Atlas Shrugged: Part I,"$93,465",-3.8%,-24.1%,465,$201,"$3,382,325",13,Rocky Mountain Pictures,False,False
17,17,Jane Eyre,"$87,863",-5%,-33.9%,319,$275,"$8,136,870",48,Focus Features,False,False
18,18,Born to Be Wild,"$85,309",+2.7%,-42.8%,208,$410,"$3,361,573",20,Warner Bros.,False,False
19,19,Win Win,"$74,154",-9.6%,-41.7%,388,$191,"$6,870,735",41,Fox Searchlight Pictures,False,False
20,20,Diary of a Wimpy Kid: Rodrick Rules,"$51,978",-20.1%,-83.4%,928,$56,"$50,561,945",34,Twentieth Century Fox,False,False
21,23,Hubble 3D,"$32,239",+10.8%,-40.4%,32,"$1,007","$24,298,793",405,Warner Bros.,False,False
22,21,Rango,"$30,144",-11.9%,-67%,557,$54,"$119,645,303",55,Paramount Pictures,False,False
23,22,Sucker Punch,"$28,052",-5.1%,-62.4%,244,$114,"$35,978,112",34,Warner Bros.,False,False
24,24,The King's SpeechPG-13 Version,"$22,035",-17.6%,-36.6%,234,$94,"$2,945,210",27,The Weinstein Company,False,False
25,25,The Adjustment Bureau,"$21,005",-6%,-39.7%,263,$79,"$61,203,355",55,Universal Pictures,False,False
26,26,Paul,"$19,525",-11.5%,-57.1%,245,$79,"$36,626,820",41,Universal Pictures,False,False
27,28,Just Go with It,"$17,810",-13%,-42.4%,265,$67,"$102,663,608",76,Sony Pictures Releasing,False,False
28,29,Red Riding Hood,"$17,389",-10%,+32.9%,308,$56,"$37,244,810",48,Warner Bros.,False,False
29,30,Battle Los Angeles,"$16,611",-7.2%,-71.3%,220,$75,"$82,705,737",48,Sony Pictures Releasing,False,False
30,31,Hall Pass,"$13,745",-4%,-43.4%,202,$68,"$44,913,199",62,Warner Bros.,False,False
31,27,Take a Shot,"$13,526",-38%,-,101,$133,"$379,715",6,Fox Searchlight Pictures,False,False
32,33,Unknown,"$9,424",-6%,-53.5%,162,$58,"$63,585,475",69,Warner Bros.,False,False
33,32,Beastly,"$8,997",-12.9%,+23.1%,137,$65,"$27,630,767",55,CBS Films,False,False
34,35,"It's Not You, It's Me","$8,661",-1.2%,-63.7%,89,$97,"$1,231,346",20,Lionsgate,False,False
35,34,Justin Bieber: Never Say Never,"$7,812",-20.4%,+170.1%,166,$47,"$72,877,239",76,Paramount Pictures,False,False
36,36,"Big Mommas: Like Father, Like Son","$5,184",-18.5%,-51.2%,92,$56,"$37,752,058",69,Twentieth Century Fox,False,False
37,37,True Grit,"$4,615",-7%,-57.9%,80,$57,"$171,045,949",127,Paramount Pictures,False,False
38,38,Kill the Irishman,"$3,641",-12.9%,-46.6%,23,$158,"$1,020,184",48,Anchor Bay Films,False,False
39,39,Cedar Rapids,"$2,994",-1.8%,-29.3%,36,$83,"$6,782,535",76,Fox Searchlight Pictures,False,False
40,41,Miral,"$1,885",-2.2%,-61.3%,20,$94,"$351,607",34,The Weinstein Company,False,False
41,40,Biutiful,"$1,797",-22.2%,-52%,21,$85,"$5,045,926",90,Roadside Attractions,False,False
42,42,Nostalgia for the Light,"$1,642",+19.2%,"+1,610.4%",2,$821,"$81,533",105,Icarus Films,False,False
43,43,The Company Men,"$1,016",+23.2%,-59.3%,15,$67,"$4,404,406",97,The Weinstein Company,False,False
44,44,Black Swan,$672,-2.7%,-80.9%,20,$33,"$106,950,101",146,Fox Searchlight Pictures,False,False
45,45,The Music Never Stopped,$403,+91.9%,-46.2%,6,$67,"$234,116",41,Roadside Attractions,False,False
46,46,Happythankyoumoreplease,$161,-5.8%,-81.3%,2,$80,"$216,036",55,Anchor Bay Films,False,False
47,47,Meet Monica Velour,$15,-76.6%,-94.7%,1,$15,"$18,575",20,Anchor Bay Films,False,False
