TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,-,Underworld Awakening,"$9,339,076",-,-,3078,"$3,034","$9,339,076",1,Screen Gems,True,False
2,-,Red Tails,"$5,981,106",-,-,2512,"$2,381","$6,117,014",1,Twentieth Century Fox,True,False
3,1,Contraband,"$3,673,555",+133.3%,-57.4%,2870,"$1,279","$37,571,475",8,Universal Pictures,False,False
4,30,Extremely Loud & Incredibly Close,"$3,173,058","+28,880.3%","+14,322.3%",2630,"$1,206","$3,864,965",27,Warner Bros.,False,False
5,-,Haywire,"$2,883,872",-,-,2439,"$1,182","$2,883,872",1,Relativity Media,True,False
6,2,Beauty and the Beast2012 3D Release,"$2,129,604",+165.7%,-62%,2625,$811,"$26,937,984",8,Walt Disney Studios Motion Pictures,False,False
7,4,Joyful Noise,"$1,656,232",+162.4%,-49.8%,2735,$605,"$17,484,214",8,Warner Bros.,False,False
8,3,Mission: Impossible - Ghost Protocol,"$1,542,313",+107.4%,-52.6%,2519,$612,"$193,351,500",36,Paramount Pictures,False,False
9,6,Sherlock Holmes: A Game of Shadows,"$1,279,282",+125.2%,-46.9%,2485,$514,"$175,085,511",36,Warner Bros.,False,False
10,8,The Iron Lady,"$1,055,785",+112.2%,-32.5%,1076,$981,"$9,957,464",22,The Weinstein Company,False,False
11,5,The Girl with the Dragon Tattoo,"$1,000,461",+75.2%,-48.4%,1907,$524,"$92,025,529",31,Sony Pictures Releasing,False,False
12,7,War Horse,"$858,651",+71.8%,-47.5%,2525,$340,"$69,993,329",27,Walt Disney Studios Motion Pictures,False,False
13,9,The Devil Inside,"$850,138",+123.1%,-68.7%,2207,$385,"$49,471,245",15,Paramount Pictures,False,False
14,11,We Bought a Zoo,"$677,211",+134.8%,-50.7%,2065,$327,"$67,458,796",29,Twentieth Century Fox,False,False
15,10,The Descendants,"$651,847",+113.3%,+17.5%,560,"$1,164","$49,539,207",66,Fox Searchlight Pictures,False,False
16,15,The Artist,"$641,202",+260.5%,+117.3%,662,$968,"$10,389,117",57,The Weinstein Company,False,False
17,14,Alvin and the Chipmunks: Chipwrecked,"$564,432",+194.8%,-51.6%,2070,$272,"$122,170,469",36,Twentieth Century Fox,False,False
18,13,Tinker Tailor Soldier Spy,"$483,457",+103.4%,-47.7%,731,$661,"$17,049,054",43,Focus Features,False,False
19,12,The Adventures of Tintin,"$456,383",+86.6%,-45.6%,1340,$340,"$70,558,548",31,Paramount Pictures,False,False
20,16,Hugo,"$196,316",+108.7%,-9.7%,650,$302,"$55,146,098",59,Paramount Pictures,False,False
21,24,Happy Feet Two,"$94,332",+299.4%,-7.3%,331,$284,"$62,264,385",64,Warner Bros.,False,False
22,17,My Week with Marilyn,"$90,207",+17.7%,-31.1%,225,$400,"$11,829,564",59,The Weinstein Company,False,False
23,-,Jack and Jill,"$84,617",-,-16.1%,283,$299,"$72,694,924",71,Sony Pictures Releasing,False,False
24,19,The Twilight Saga: Breaking Dawn - Part 1,"$83,654",+48.1%,-58.6%,370,$226,"$280,037,393",64,Summit Entertainment,False,False
25,26,Puss in Boots,"$73,644",+243.1%,-15.2%,292,$252,"$147,440,630",85,DreamWorks,False,False
26,25,Shame,"$70,297",+203.1%,+77.5%,95,$739,"$2,809,697",50,Fox Searchlight Pictures,False,False
27,20,The Darkest Hour,"$51,652",-8.5%,-83.1%,301,$171,"$20,943,243",27,Summit Entertainment,False,False
28,27,Tower Heist,"$50,595",+199%,-27.9%,220,$229,"$77,693,690",78,Universal Pictures,False,False
29,18,New Year's Eve,"$44,188",-27.8%,-85.8%,265,$166,"$54,092,880",43,Warner Bros.,False,False
30,22,The Sitter,"$41,267",+0.4%,-71%,191,$216,"$29,919,930",43,Twentieth Century Fox,False,False
31,21,Young Adult,"$37,891",-13.8%,-69.8%,150,$252,"$15,975,126",43,Paramount Pictures,False,False
32,28,Immortals,"$33,905",+114.9%,-24.8%,169,$200,"$83,181,265",71,Relativity Media,False,False
33,29,Born to Be Wild,"$25,085",+111.8%,+26%,45,$557,"$15,587,263",288,Warner Bros.,False,False
34,31,Pariah,"$17,768",+66.4%,-38.5%,21,$846,"$450,376",24,Focus Features,False,False
35,32,In Time,"$17,520",+118.3%,-20.8%,97,$180,"$37,414,731",85,Twentieth Century Fox,False,False
36,-,Coriolanus,"$17,311",-,-,9,"$1,923","$17,311",1,The Weinstein Company,True,False
37,-,Moneyball,"$17,306",-,-33.9%,110,$157,"$75,483,267",120,Sony Pictures Releasing,False,False
38,-,Courageous,"$13,262",-,-40.6%,90,$147,"$34,484,007",113,TriStar Pictures,False,False
39,33,J. Edgar,"$9,228",+47.2%,-39.1%,46,$200,"$37,015,090",73,Warner Bros.,False,False
40,36,Vettai,"$8,637",+129.6%,-60.6%,21,$411,"$123,178",8,UTV Motion Pictures,False,False
41,35,Drive,"$7,921",+99.1%,-5%,33,$240,"$34,992,708",127,FilmDistrict,False,False
42,34,In the Land of Blood and Honey,"$6,297",+13.1%,-46.4%,14,$449,"$181,829",29,FilmDistrict,False,False
43,37,Dolphin Tale,"$5,063",+117.8%,-38.6%,63,$80,"$72,259,860",120,Warner Bros.,False,False
44,38,Margin Call,"$2,360",+23%,-43.7%,14,$168,"$5,337,226",92,Roadside Attractions,False,False
45,39,Don 2,"$1,637",+13.8%,-82.5%,12,$136,"$3,665,400",30,Reliance Big Pictures,False,False
46,40,The City Dark,$857,+53.6%,-,1,$857,"$3,295",3,Argot Pictures,False,False
