TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Wreck-It Ralph,"$2,961,132",-79.2%,-,3752,$789,"$51,999,844",4,Walt Disney Studios Motion Pictures,False,False
2,2,Flight,"$1,950,065",-68.1%,-,1884,"$1,035","$26,850,631",4,Paramount Pictures,False,False
3,3,Argo,"$719,513",-70%,-14.9%,2774,$259,"$76,579,753",25,Warner Bros.,False,False
4,4,The Man with the Iron Fists,"$644,460",-65.2%,-,1868,$345,"$8,555,440",4,Universal Pictures,False,False
5,5,Cloud Atlas,"$454,914",-69%,-36.4%,2013,$225,"$18,846,657",11,Warner Bros.,False,False
6,6,Taken 2,"$439,715",-66.3%,-7.1%,2639,$166,"$126,026,644",32,Twentieth Century Fox,False,False
7,8,Paranormal Activity 4,"$313,750",-63.6%,-36%,3006,$104,"$49,843,432",18,Paramount Pictures,False,False
8,10,Silent Hill: Revelation,"$308,776",-61.9%,-40.6%,2933,$105,"$14,189,046",11,Open Road Films (II),False,False
9,7,Hotel Transylvania,"$249,345",-79.1%,-45.7%,2922,$85,"$137,726,748",39,Sony Pictures Releasing,False,False
10,9,Here Comes the Boom,"$241,073",-71.5%,-16.2%,2314,$104,"$35,741,296",25,Sony Pictures Releasing,False,False
11,11,Pitch Perfect,"$240,320",-64%,+4.5%,1502,$160,"$55,874,023",39,Universal Pictures,False,False
12,13,Sinister,"$226,133",-59.9%,-34.6%,1882,$120,"$44,502,953",25,Lionsgate,False,False
13,12,Fun Size,"$161,513",-72.6%,-12.9%,3016,$53,"$7,616,092",11,Paramount Pictures,False,False
14,14,Alex Cross,"$151,167",-65.8%,-53.9%,1648,$91,"$23,237,482",18,Lionsgate,False,False
15,15,Chasing Mavericks,"$109,205",-65.9%,-38.8%,2030,$53,"$4,467,957",11,Twentieth Century Fox,False,False
16,16,The Perks of Being a Wallflower,"$108,811",-62.7%,+17.2%,622,$174,"$13,168,031",46,Lionsgate,False,False
17,17,Looper,"$99,408",-65.6%,-44.3%,696,$142,"$63,761,212",39,TriStar Pictures,False,False
18,19,Seven Psychopaths,"$69,180",-62.9%,-46.4%,459,$150,"$13,480,930",25,CBS Films,False,False
19,18,Frankenweenie,"$56,041",-75.2%,-59.3%,857,$65,"$33,395,960",32,Walt Disney Studios Motion Pictures,False,False
20,20,The Sessions,"$40,268",-67.8%,+295%,69,$583,"$983,498",18,Fox Searchlight Pictures,False,False
21,22,The Dark Knight Rises,"$28,060",-59%,+16.4%,291,$96,"$447,549,207",109,Warner Bros.,False,False
22,23,The Master,"$16,710",-64.9%,-10%,138,$121,"$15,528,104",53,The Weinstein Company,False,False
23,21,ParaNorman,"$15,871",-78.3%,-1.6%,246,$64,"$55,247,211",81,Focus Features,False,False
24,24,End of Watch,"$15,226",-65%,-53.2%,158,$96,"$38,878,415",46,Open Road Films (II),False,False
25,25,Trouble with the Curve,"$14,895",-65%,-26.2%,286,$52,"$34,978,073",46,Warner Bros.,False,False
26,36,A Late Quartet,"$10,448",-52.8%,-,9,"$1,160","$85,727",4,Entertainment One,False,False
27,30,The Campaign,"$10,091",-62%,-27.4%,188,$53,"$86,754,594",88,Warner Bros.,False,False
28,33,To the Arctic 3D,"$9,903",-58.4%,-5.1%,52,$190,"$9,542,228",200,Warner Bros.,False,False
29,35,The Bourne Legacy,"$9,180",-58.6%,-19.9%,153,$60,"$113,174,815",88,Universal Pictures,False,False
30,28,The Expendables 2,"$9,126",-68.2%,-19.1%,173,$52,"$84,864,439",81,Lionsgate,False,False
31,31,The Possession,"$8,234",-68.3%,+477.4%,155,$53,"$48,990,361",67,Lionsgate,False,False
32,27,Arbitrage,"$8,164",-72.1%,-26%,116,$70,"$7,545,448",53,Roadside Attractions,False,False
33,26,Ice Age: Continental Drift,"$7,840",-79.5%,+1.1%,157,$49,"$160,428,670",116,Twentieth Century Fox,False,False
34,37,House at the End of the Street,"$5,532",-56.3%,-42.9%,128,$43,"$31,186,809",46,Relativity Media,False,False
35,38,Born to Be Wild,"$5,362",-45%,+5.1%,30,$178,"$21,210,567",578,Warner Bros.,False,False
36,29,Luv Shuv Tey Chicken Khurana,"$4,714",-82.8%,-,60,$78,"$100,078",4,UTV Motion Pictures,False,False
37,34,Diary of a Wimpy Kid: Dog Days,"$3,034",-86.4%,-19.2%,95,$31,"$48,740,081",95,Twentieth Century Fox,False,False
38,40,The Intouchables,"$2,970",-66.2%,-15.4%,28,$106,"$9,954,141",165,The Weinstein Company,False,False
39,43,The Bay,"$2,371",-51.6%,-,23,$103,"$22,118",4,Roadside Attractions,False,False
40,45,Won't Back Down,"$1,561",-55%,-29.4%,41,$38,"$5,286,768",39,Twentieth Century Fox,False,False
41,44,Beasts of the Southern Wild,"$1,410",-60.5%,-,15,$94,"$11,226,875",132,Fox Searchlight Pictures,False,False
42,46,This Must Be the Place,"$1,372",-56.1%,-,2,$686,"$9,126",4,The Weinstein Company,False,False
43,47,Lawless,"$1,267",-53.6%,-61.8%,35,$36,"$37,367,035",69,The Weinstein Company,False,False
44,49,War of the Buttons,$745,-39.5%,+37.5%,6,$124,"$46,347",25,The Weinstein Company,False,False
45,48,Escape Fire: The Fight to Rescue American Healthcare,$531,-69.6%,+46.3%,4,$132,"$70,155",32,Roadside Attractions,False,False
46,51,Vamps,$12,-94.1%,-,1,$12,$560,4,Anchor Bay Films,False,False
