TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,The Hunger Games,"$24,738,873",+32.6%,-50.9%,4137,"$5,979","$233,324,271",9,Lionsgate,False,False
2,2,Wrath of the Titans,"$12,718,660",+3.3%,-,3545,"$3,587","$25,034,924",2,Warner Bros.,False,False
3,3,Mirror Mirror,"$7,592,301",+30.7%,-,3603,"$2,107","$13,400,727",2,Relativity Media,False,False
4,4,21 Jump Street,"$6,272,869",+36.4%,-27.5%,3148,"$1,992","$88,925,169",16,Sony Pictures Releasing,False,False
5,5,The Lorax,"$3,541,445",+70.9%,-40.2%,3264,"$1,085","$187,161,885",30,Universal Pictures,False,False
6,6,John Carter,"$891,823",+63.7%,-60.1%,2397,$372,"$65,640,996",23,Walt Disney Studios Motion Pictures,False,False
7,7,Salmon Fishing in the Yemen,"$592,307",+71.8%,+74.9%,483,"$1,226","$2,833,978",23,CBS Films,False,False
8,8,Act of Valor,"$444,991",+52.8%,-51.5%,1239,$359,"$67,479,768",37,Relativity Media,False,False
9,11,A Thousand Words2012 Re-release,"$428,249",+77.8%,-52.4%,1007,$425,"$16,274,649",23,DreamWorks,False,False
10,13,Safe House,"$368,165",+71.2%,-44.6%,729,$505,"$123,684,950",51,Universal Pictures,False,False
11,12,Journey 2: The Mysterious Island,"$361,038",+67.5%,-41.1%,908,$397,"$98,221,727",51,Warner Bros.,False,False
12,9,Project X,"$336,406",+25.5%,-58.4%,903,$372,"$53,151,195",30,Warner Bros.,False,False
13,10,October Baby2012 Re-release,"$312,000",+25.8%,-49.5%,387,$806,"$2,683,000",9,The Samuel Goldwyn Company,False,True
14,14,"Jeff, Who Lives at Home","$309,782",+61.6%,+13.4%,513,$603,"$2,515,524",16,Paramount Vantage,False,False
15,15,Casa de mi Padre,"$231,458",+41.9%,-51.6%,439,$527,"$4,816,191",16,Lionsgate,False,False
16,17,Friends with Kids,"$213,722",+61.3%,-45.3%,308,$693,"$6,212,079",23,Roadside Attractions,False,False
17,16,This Means War,"$183,736",+29.2%,-59.1%,575,$319,"$52,985,248",44,Twentieth Century Fox,False,False
18,18,The Vow,"$149,430",+42.6%,-59.3%,514,$290,"$123,397,434",51,Screen Gems,False,False
19,19,Ghost Rider: Spirit of Vengeance,"$137,437",+67%,-6.3%,380,$361,"$50,667,717",44,Sony Pictures Releasing,False,False
20,21,The Artist,"$131,440",+80.6%,-41.7%,315,$417,"$43,471,003",128,The Weinstein Company,False,False
21,20,Good Deeds,"$126,825",+72.7%,-62.9%,321,$395,"$34,332,096",37,Lionsgate,False,False
22,23,Alvin and the Chipmunks: Chipwrecked,"$92,224",+62.6%,-16.4%,221,$417,"$132,292,445",107,Twentieth Century Fox,False,False
23,22,Silent House,"$82,197",+44.3%,-72%,325,$252,"$12,335,035",23,Open Road Films (II),False,False
24,24,The Iron Lady,"$78,399",+50.3%,-31.9%,284,$276,"$29,363,370",93,The Weinstein Company,False,False
25,25,The Woman in Black,"$72,020",+55%,-18.1%,179,$402,"$53,911,446",58,CBS Films,False,False
26,27,Hugo,"$57,239",+70.5%,-49.5%,174,$328,"$73,649,363",130,Paramount Pictures,False,False
27,26,Chronicle,"$56,374",+47.3%,-35.7%,198,$284,"$63,719,841",58,Twentieth Century Fox,False,False
28,29,Mission: Impossible - Ghost Protocol,"$49,219",+50%,-43.3%,150,$328,"$209,214,499",107,Paramount Pictures,False,False
29,28,We Bought a Zoo,"$46,707",+41%,-18.9%,136,$343,"$75,251,130",100,Twentieth Century Fox,False,False
30,31,Bully,"$45,684",+49.9%,-,5,"$9,136","$76,169",2,The Weinstein Company,False,False
31,32,Big Miracle,"$40,825",+37.2%,-25.6%,170,$240,"$20,088,480",58,Universal Pictures,False,False
32,33,The Descendants,"$40,810",+58.2%,-42.7%,118,$345,"$82,415,384",137,Fox Searchlight Pictures,False,False
33,30,Born to Be Wild,"$40,115",+22.5%,+2.8%,40,"$1,002","$17,633,148",359,Warner Bros.,False,False
34,34,Wanderlust,"$34,785",+53.8%,-46.2%,116,$299,"$17,238,855",37,Universal Pictures,False,False
35,36,The Grey,"$26,364",+55.7%,-50.5%,131,$201,"$51,457,066",65,Open Road Films (II),False,False
36,35,Red Tails,"$22,410",+1.3%,-31.1%,101,$221,"$49,688,121",72,Twentieth Century Fox,False,False
37,40,Being Flynn,"$20,128",+90.9%,-41.1%,40,$503,"$468,428",30,Focus Features,False,False
38,38,Gone,"$16,974",+34.9%,-50.2%,61,$278,"$11,582,196",37,Lionsgate,False,False
39,37,Sherlock Holmes: A Game of Shadows,"$16,772",+33.2%,-33.2%,55,$304,"$186,822,252",107,Warner Bros.,False,False
40,39,One for the Money,"$15,919",+31.9%,-50.7%,102,$156,"$26,361,148",65,Lionsgate,False,False
41,41,Undefeated,"$12,810",+30.9%,+7.1%,16,$800,"$415,144",44,The Weinstein Company,False,False
42,44,Star Wars: Episode I - The Phantom Menace2012 3D Release,"$11,676",+121.6%,-47.7%,30,$389,"$43,264,353",51,Twentieth Century Fox,False,False
43,43,Albert Nobbs,"$9,419",+71.7%,-31.2%,29,$324,"$2,928,902",65,Roadside Attractions,False,False
44,45,W.E.,"$8,239",+60.9%,+8.3%,21,$392,"$485,003",58,The Weinstein Company,False,False
45,46,Coriolanus,"$8,040",+67.2%,-27.3%,16,$502,"$594,250",72,The Weinstein Company,False,False
46,42,Chico & Rita,"$7,936",+13.1%,+1.1%,23,$345,"$307,396",51,GKIDS,False,False
47,-,They Come to America,"$3,775",-,-,1,"$3,775","$3,775",1,-,True,False
48,47,My Week with Marilyn,"$3,673",+94.1%,-36.8%,12,$306,"$14,595,718",130,The Weinstein Company,False,False
49,48,Seeking Justice,"$1,852",+122.6%,-,8,$231,"$409,632",16,Anchor Bay Films,False,False
