TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,The Lord of the Rings: The Two Towers,"$16,873,539",+9.2%,-12.2%,3622,"$4,658","$168,056,221",10,New Line Cinema,False,False
2,2,Catch Me If You Can,"$10,118,184",+16.2%,-,3156,"$3,206","$28,711,487",3,DreamWorks Distribution,False,False
3,3,Two Weeks Notice,"$5,344,899",+13.4%,+15.4%,2755,"$1,940","$32,870,909",8,Warner Bros.,False,False
4,4,Maid in Manhattan,"$4,277,856",+22%,+30.1%,2938,"$1,456","$48,703,914",15,Revolution Studios,False,False
5,5,Gangs of New York,"$3,525,000",+8.5%,+22.6%,2170,"$1,624","$22,449,344",8,Miramax,False,True
6,6,Drumline,"$2,800,818",+24.9%,+31.3%,1669,"$1,678","$31,312,005",15,Twentieth Century Fox,False,False
7,8,The Wild Thornberrys,"$2,645,653",+48.9%,+63.5%,3012,$878,"$13,699,505",8,Paramount Pictures,False,False
8,7,Harry Potter and the Chamber of Secrets,"$2,181,385",+15.9%,+117.3%,2505,$870,"$236,014,651",43,Warner Bros.,False,False
9,10,The Hot Chick,"$1,619,464",+31.2%,+8.2%,2246,$721,"$19,006,970",15,Walt Disney Studios Motion Pictures,False,False
10,9,Die Another Day,"$1,460,002",+14.5%,+35.8%,1875,$778,"$143,794,347",36,Metro-Goldwyn-Mayer (MGM),False,False
11,11,Star Trek: Nemesis,"$1,386,955",+14.7%,+9.1%,2642,$524,"$31,179,348",15,Paramount Pictures,False,False
12,12,The Santa Clause 2,"$798,686",+17.3%,+13.5%,1511,$528,"$134,188,202",57,Walt Disney Studios Motion Pictures,False,False
13,-,Chicago,"$684,729",-,-,77,"$8,892","$684,729",1,Miramax,True,False
14,13,Analyze That,"$672,583",+26.1%,+3.4%,1611,$417,"$26,466,541",22,Warner Bros.,False,False
15,14,Antwone Fisher,"$586,206",+32.5%,+873.4%,191,"$3,069","$1,786,168",9,Fox Searchlight Pictures,False,False
16,15,Treasure Planet,"$555,095",+40.4%,+105.3%,1414,$392,"$31,854,985",31,Walt Disney Studios Motion Pictures,False,False
17,16,Pinocchio,"$390,000",+16.4%,-,1195,$326,"$1,041,243",3,Miramax,False,True
18,18,Empire,"$329,840",+36.4%,-14.7%,496,$665,"$14,433,495",22,Universal Pictures,False,False
19,17,Adaptation.,"$305,379",+8.9%,+2.1%,109,"$2,801","$3,346,488",22,Sony Pictures Releasing,False,False
20,19,Bowling for Columbine,"$128,058",+11.9%,+30.4%,175,$731,"$14,914,586",78,United Artists,False,False
21,21,8 Mile,"$109,225",+70%,+10.6%,321,$340,"$114,469,700",50,Universal Pictures,False,False
22,-,The Hours,"$105,400",-,-,11,"$9,581","$105,400",1,Paramount Pictures,True,False
23,20,The Ring,"$93,855",+33.4%,-17.6%,237,$396,"$126,557,457",71,DreamWorks Distribution,False,False
24,22,Evelyn,"$77,006",+25.2%,+159.3%,137,$562,"$457,579",15,Metro-Goldwyn-Mayer (MGM),False,False
25,23,Ghost Ship,"$57,832",+68.4%,+33.4%,173,$334,"$29,482,955",64,Warner Bros.,False,False
26,24,Star Wars: Episode II - Attack of the Clones2002 IMAX Release,"$47,609",+61%,-9.4%,17,"$2,800","$7,849,699",57,Twentieth Century Fox,False,False
27,25,25th Hour,"$34,823",+26.8%,+9.6%,5,"$6,964","$274,995",9,Walt Disney Studios Motion Pictures,False,False
28,26,The Emperor's Club,"$33,395",+24.9%,-27.2%,167,$199,"$13,547,975",36,Universal Pictures,False,False
29,27,Jackass: The Movie,"$32,229",+25.1%,+50.9%,182,$177,"$63,981,158",64,Paramount Pictures,False,False
30,-,Eight Crazy Nights,"$27,894",-,-55%,176,$158,"$23,288,718",31,Sony Pictures Releasing,False,False
31,28,Narc,"$18,916",+19.3%,+5.8%,6,"$3,152","$140,846",8,Paramount Pictures,False,False
32,29,Personal Velocity,"$15,901",+5.7%,-19.5%,29,$548,"$585,532",36,Metro-Goldwyn-Mayer (MGM),False,False
33,-,Nicholas Nickleby,"$12,128",-,-,5,"$2,425","$12,128",1,Metro-Goldwyn-Mayer (MGM),True,False
34,31,Brown Sugar,"$8,317",+41.9%,+71.5%,36,$231,"$27,246,512",78,Fox Searchlight Pictures,False,False
35,30,Solaris,"$6,773",-7.7%,-52.5%,59,$114,"$14,814,964",31,Twentieth Century Fox,False,False
36,35,Extreme Ops,"$3,946",+439.8%,+57.8%,69,$57,"$4,762,166",31,Paramount Pictures,False,False
37,32,The Way Home,"$3,811",-5.4%,-15.4%,13,$293,"$284,349",43,Paramount Classics,False,False
38,33,The Transporter,"$2,689",+7.2%,-38.5%,24,$112,"$25,262,331",78,Twentieth Century Fox,False,False
39,34,Mostly Martha,"$1,171",+24.8%,+14.6%,8,$146,"$4,128,245",134,Paramount Classics,False,False
40,36,Bloody Sunday,$627,+92.3%,-28.1%,5,$125,"$755,105",85,Paramount Classics,False,False
