TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,The Conjuring 2,"$14,004,701",-14.5%,-,3343,"$4,189","$30,393,930",2,Warner Bros.,False,False
2,3,Now You See Me 2,"$8,206,254",-2.3%,-,3232,"$2,539","$16,606,443",2,Lionsgate,False,False
3,2,Warcraft,"$7,834,150",-26.8%,-,3400,"$2,304","$18,535,900",2,Universal Pictures,False,False
4,4,Teenage Mutant Ninja Turtles: Out of the Shadows,"$6,012,871",+50.2%,-53.8%,4071,"$1,477","$56,255,259",9,Paramount Pictures,False,False
5,6,X-Men: Apocalypse,"$4,266,746",+54.7%,-54.6%,3585,"$1,190","$133,398,168",16,Twentieth Century Fox,False,False
6,5,Me Before You,"$3,501,121",+14.5%,-43.6%,2762,"$1,267","$34,170,718",9,Warner Bros.,False,False
7,7,The Angry Birds Movie,"$2,769,010",+48.6%,-32.6%,3083,$898,"$96,102,206",23,-,False,False
8,8,Alice Through the Looking Glass,"$2,318,308",+39.1%,-48.2%,2898,$799,"$60,877,615",16,-,False,False
9,9,Captain America: Civil War,"$1,884,866",+61.2%,-43.1%,2101,$897,"$395,611,018",37,-,False,False
10,10,The Jungle Book,"$1,176,434",+59.8%,-35.7%,1496,$786,"$351,841,245",58,-,False,False
11,12,The Nice Guys,"$925,903",+67.4%,-37.8%,1147,$807,"$32,021,205",23,Warner Bros.,False,False
12,11,Neighbors 2: Sorority Rising,"$913,280",+35.1%,-53.7%,1581,$577,"$52,557,355",23,Universal Pictures,False,False
13,13,Popstar: Never Stop Never Stopping,"$728,335",+47.3%,-57.3%,2313,$314,"$7,854,185",9,Universal Pictures,False,False
14,14,Love & Friendship,"$645,322",+65.1%,-27.9%,826,$781,"$9,053,074",30,Roadside Attractions,False,False
15,15,The Lobster2016 Re-release,"$457,800",+74.2%,-25.4%,560,$817,"$4,906,853",30,A24,False,False
16,16,Money Monster,"$342,892",+88.4%,-57.9%,731,$469,"$39,593,527",30,TriStar Pictures,False,False
17,17,Zootopia,"$233,245",+42.2%,-24.7%,319,$731,"$338,038,778",100,-,False,False
18,18,A Aa,"$160,343",+57.4%,-70.6%,95,"$1,687","$2,173,312",11,Blue Sky Cinema,False,False
19,19,Three,"$110,776",+52%,-,104,"$1,065","$183,654",2,-,False,False
20,20,Batman v Superman: Dawn of Justice,"$83,883",+58.1%,-33%,215,$390,"$330,192,182",79,Warner Bros.,False,False
21,21,Barbershop: The Next Cut,"$58,861",+63%,+29.8%,182,$323,"$53,611,806",58,Warner Bros.,False,False
22,24,Genius,"$45,328",+74.6%,-,16,"$2,833","$71,285",2,Roadside Attractions,False,False
23,22,The Darkness,"$43,070",+19.6%,-43.8%,97,$444,"$10,566,287",30,BH Tilt,False,False
24,23,The Huntsman: Winter's War,"$35,850",+35%,-43.1%,141,$254,"$47,928,970",51,Universal Pictures,False,False
25,25,The Boss,"$35,360",+46.7%,-21.9%,127,$278,"$63,014,095",65,Universal Pictures,False,False
26,26,Miracles from Heaven,"$31,464",+46.7%,-30.7%,159,$197,"$61,367,729",88,TriStar Pictures,False,False
27,27,Sing Street,"$31,167",+72.2%,+53.7%,111,$280,"$2,968,190",58,The Weinstein Company,False,False
28,29,A Bigger Splash,"$28,122",+96.2%,-57.7%,57,$493,"$1,853,196",39,Fox Searchlight Pictures,False,False
29,28,Eye in the Sky,"$24,895",+63.7%,+87.2%,84,$296,"$18,495,430",93,Bleecker Street Media,False,False
30,30,Mother's Day,"$17,907",+51%,-56.5%,115,$155,"$32,452,277",44,Open Road Films (II),False,False
31,33,"Hello, My Name Is Doris","$14,324",+84%,-27.3%,49,$292,"$14,323,799",93,Roadside Attractions,False,False
32,32,Kung Fu Panda 3,"$14,217",+28.5%,-46.5%,88,$161,"$143,342,209",135,Twentieth Century Fox,False,False
33,35,The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble,"$12,032",+88.6%,-,3,"$4,010","$18,411",2,The Orchard,False,False
34,31,De Palma,"$10,891",-3.2%,-,3,"$3,630","$22,143",2,A24,False,False
35,34,Puerto Ricans in Paris,"$10,854",+67.6%,-,41,$264,"$81,541",2,Focus World,False,False
36,37,Keanu,"$7,193",+70.5%,-45.1%,31,$232,"$20,414,221",44,Warner Bros.,False,False
37,36,Blackway,"$7,185",+42.1%,-,11,$653,"$12,240",2,Electric Entertainment,False,False
38,39,A Hologram for the King,"$4,972",+117.2%,-19.7%,17,$292,"$4,161,347",51,Roadside Attractions,False,False
39,38,Saturday's Warrior,"$3,384",+45.4%,+23.6%,8,$423,"$623,396",72,Purdie Distribution,False,False
40,41,The Fallen Idol2016 Re-release,"$3,151",+85.1%,-0.3%,4,$787,"$37,909",16,Rialto Pictures,False,False
41,40,God's Not Dead 2,"$2,548",+44.7%,-54.5%,17,$149,"$20,710,456",72,Pure Flix Entertainment,False,False
42,42,Meet the Blacks,"$1,750",+116.3%,-44.5%,10,$175,"$9,092,589",72,Freestyle Releasing,False,False
43,43,The Little Prince,$583,+44.3%,+21.2%,5,$116,"$1,338,894",121,Entertainment One,False,False
44,45,Paths of the Soul,$509,+85.8%,+251%,1,$509,"$11,386",30,Icarus Films,False,False
45,46,Papa Hemingway in Cuba,$107,"+1,683.3%",-86.6%,2,$53,"$1,115,496",44,Yari Film Group Releasing,False,False
