TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,X-Men: Apocalypse,"$20,493,504",-22.1%,-,4150,"$4,938","$46,795,695",2,Twentieth Century Fox,False,False
2,2,Alice Through the Looking Glass,"$9,048,495",-6.7%,-,3763,"$2,404","$18,750,468",2,-,False,False
3,3,The Angry Birds Movie,"$7,284,160",+44.3%,-54.1%,3932,"$1,852","$59,984,539",9,-,False,False
4,4,Captain America: Civil War,"$5,793,941",+43.2%,-60.4%,3395,"$1,706","$367,316,661",23,-,False,False
5,5,Neighbors 2: Sorority Rising,"$3,354,265",+17.8%,-56.8%,3416,$981,"$35,438,925",9,Universal Pictures,False,False
6,6,The Jungle Book,"$2,654,993",+47.1%,-46%,2523,"$1,052","$335,971,216",44,-,False,False
7,7,The Nice Guys,"$2,420,572",+36.6%,-45.5%,2865,$844,"$19,556,768",9,Warner Bros.,False,False
8,8,Money Monster,"$1,661,970",+49.8%,-47%,2315,$717,"$32,424,001",16,TriStar Pictures,False,False
9,9,Love & Friendship,"$922,347",+38.3%,+264.6%,493,"$1,870","$2,582,856",16,Roadside Attractions,False,False
10,12,Zootopia,"$313,274",+71.9%,-60.6%,572,$547,"$335,539,110",86,-,False,False
11,10,The Lobster2016 Re-release,"$272,906",+25.8%,+72%,116,"$2,352","$1,328,971",16,A24,False,False
12,11,The Darkness,"$267,529",+27.9%,-74.3%,1004,$266,"$9,589,103",16,BH Tilt,False,False
13,13,Batman v Superman: Dawn of Justice,"$201,634",+51%,+39%,361,$558,"$329,179,055",65,Warner Bros.,False,False
14,14,A Bigger Splash,"$157,018",+41.9%,+1.6%,378,$415,"$1,180,489",25,Fox Searchlight Pictures,False,False
15,15,The Huntsman: Winter's War,"$150,295",+54.2%,-72.5%,374,$401,"$47,378,525",37,Universal Pictures,False,False
16,18,Barbershop: The Next Cut,"$95,141",+56.1%,-76.3%,265,$359,"$53,137,699",44,Warner Bros.,False,False
17,17,Miracles from Heaven,"$94,395",+39.5%,-37.1%,207,$456,"$60,925,492",74,TriStar Pictures,False,False
18,16,Kung Fu Panda 3,"$92,153",+36.1%,-11.9%,193,$477,"$142,995,219",121,Twentieth Century Fox,False,False
19,19,The Boss,"$87,205",+47%,-69.1%,231,$377,"$62,606,630",51,Universal Pictures,False,False
20,20,Mother's Day,"$87,112",+51%,-81.9%,335,$260,"$32,028,745",30,Open Road Films (II),False,False
21,21,Ratchet & Clank,"$70,957",+38.5%,-25.1%,159,$446,"$8,718,969",30,Focus Features,False,False
22,22,Deadpool,"$60,420",+57%,+13.6%,140,$431,"$362,880,556",107,Twentieth Century Fox,False,False
23,23,Sing Street,"$45,404",+62.6%,-72.1%,175,$259,"$2,719,309",44,The Weinstein Company,False,False
24,24,Allegiant,"$31,632",+26%,-42.3%,153,$206,"$66,110,930",72,Lionsgate,False,False
25,25,10 Cloverfield Lane,"$28,978",+27.5%,-40.7%,120,$241,"$71,998,514",79,Paramount Pictures,False,False
26,27,Keanu,"$27,972",+71.3%,-87.9%,121,$231,"$20,286,722",30,Warner Bros.,False,False
27,26,Eye in the Sky,"$27,090",+61.1%,-67.1%,81,$334,"$18,340,485",79,Bleecker Street Media,False,False
28,28,"Hello, My Name Is Doris","$24,962",+66%,-53%,83,$300,"$14,165,129",79,Roadside Attractions,False,False
29,29,London Has Fallen,"$19,169",+59.5%,-53.5%,96,$199,"$62,472,003",86,Focus Features,False,False
30,30,Green Room,"$13,556",+23.8%,-70.6%,30,$451,"$3,144,002",44,A24,False,False
31,33,Kaptaan,"$13,237",+127.4%,-67.3%,23,$575,"$182,718",9,UTV Motion Pictures,False,False
32,31,God's Not Dead 2,"$8,881",+17%,-60.5%,48,$185,"$20,657,237",58,Pure Flix Entertainment,False,False
33,32,A Hologram for the King,"$8,861",+32.3%,-69.9%,38,$233,"$4,104,647",37,Roadside Attractions,False,False
34,34,The Fallen Idol2016 Re-release,"$4,512",+22.5%,-,2,"$2,256","$8,196",2,Rialto Pictures,False,False
35,35,Meet the Blacks,"$4,353",+72.2%,-63.9%,28,$155,"$9,069,011",58,Freestyle Releasing,False,False
36,36,Saturday's Warrior,"$2,978",+18.9%,-59.6%,6,$496,"$599,140",58,Purdie Distribution,False,False
37,43,The Little Prince,"$1,333",+738.4%,-20.3%,10,$133,"$1,330,387",107,Entertainment One,False,False
38,37,Ran2016 Re-release,$865,-4.7%,+143%,2,$432,"$58,141",93,Rialto Pictures,False,False
39,39,Papa Hemingway in Cuba,$801,+58.3%,-92.4%,12,$66,"$1,108,202",30,Yari Film Group Releasing,False,False
40,41,Almost Holy,$616,+54%,-71.7%,5,$123,"$6,495",9,The Orchard,False,False
41,40,April and the Extraordinary World,$579,+37.9%,-82.3%,9,$64,"$290,972",65,GKIDS,False,False
42,38,Paths of the Soul,$507,-,+402%,2,$253,"$9,703",16,Icarus Films,False,False
43,44,Louder Than Bombs,$230,+84%,-62.3%,3,$76,"$162,889",51,The Orchard,False,False
44,45,No Home Movie,$187,+71.6%,-80.8%,1,$187,"$29,111",101,Icarus Films,False,False
45,46,I Don't Belong Anywhere: The Cinema of Chantal Akerman,$187,+71.6%,-64.7%,1,$187,"$7,540",62,Icarus Films,False,False
