TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Doctor Strange,"$3,717,306",+40.9%,-51.5%,3882,$957,"$159,308,268",12,-,False,False
2,2,Arrival,"$2,443,506",+30.7%,-,2317,"$1,054","$28,386,607",5,Paramount Pictures,False,False
3,3,Trolls,"$1,635,863",+44.5%,-69.3%,4066,$402,"$96,711,767",12,Twentieth Century Fox,False,False
4,4,Hacksaw Ridge,"$1,354,306",+50.2%,-29.4%,2971,$455,"$34,376,441",12,Lionsgate,False,False
5,5,Almost Christmas,"$1,121,010",+34%,-,2376,$471,"$17,091,935",5,Universal Pictures,False,False
6,6,The Accountant,"$524,567",+44.5%,-21.7%,2342,$223,"$78,455,602",33,Warner Bros.,False,False
7,8,Inferno,"$412,482",+61.8%,-44.6%,2656,$155,"$32,259,914",19,-,False,False
8,7,Jack Reacher: Never Go Back,"$379,221",+45.1%,-44.6%,2584,$146,"$55,205,383",26,Paramount Pictures,False,False
9,9,Shut In,"$282,694",+44.1%,-,2058,$137,"$4,092,445",5,EuropaCorp,False,False
10,10,Tyler Perry's Boo! A Madea Halloween,"$205,712",+28.6%,-70.5%,2104,$97,"$70,743,602",26,Lionsgate,False,False
11,11,The Girl on the Train,"$181,710",+45.2%,-37%,1008,$180,"$73,647,940",40,Universal Pictures,False,False
12,12,Moonlight,"$130,961",+17.7%,+66.3%,176,$744,"$4,925,082",26,A24,False,False
13,13,Ouija: Origin of Evil,"$122,895",+27.9%,-67.2%,1538,$79,"$34,459,660",26,Universal Pictures,False,False
14,14,Miss Peregrine's Home for Peculiar Children,"$77,749",+33.4%,-69%,955,$81,"$85,296,529",47,Twentieth Century Fox,False,False
15,16,Keeping Up with the Joneses,"$59,909",+61.6%,-52.5%,510,$117,"$14,379,392",26,Twentieth Century Fox,False,False
16,15,Loving,"$41,745",+4.2%,+422%,46,$907,"$802,831",12,Focus Features,False,False
17,18,Deepwater Horizon,"$39,294",+42.9%,-49.2%,390,$100,"$60,647,539",47,Lionsgate,False,False
18,17,Sully,"$35,203",+20.7%,-37%,303,$116,"$123,887,906",68,Warner Bros.,False,False
19,23,Ae Dil Hai Mushkil,"$26,578",+95.1%,-60.9%,163,$163,"$4,137,727",19,FIP,False,False
20,19,The Magnificent Seven,"$22,221",+10.6%,-56.8%,238,$93,"$92,672,769",54,-,False,False
21,25,Denial,"$17,892",+51.2%,-26.6%,121,$147,"$3,874,757",47,Bleecker Street Media,False,False
22,20,Storks,"$16,869",-11.1%,-87.4%,428,$39,"$70,792,759",54,Warner Bros.,False,False
23,22,The Secret Life of Pets,"$16,410",+7%,-34.7%,221,$74,"$367,243,265",131,Universal Pictures,False,False
24,32,Queen of Katwe,"$16,068",+125.3%,-5.5%,118,$136,"$8,626,820",54,-,False,False
25,26,Pete's Dragon,"$14,953",+39.3%,+181.3%,179,$83,"$75,814,351",96,-,False,False
26,24,What Now?,"$14,225",+6%,-72.7%,196,$72,"$23,513,595",33,Universal Pictures,False,False
27,21,Embrace: The Documentary,"$12,014",-28.1%,+226.1%,34,$353,"$348,385",58,GathrFilms,False,False
28,28,The Birth of a Nation,"$11,455",+16.3%,-63.2%,107,$107,"$15,786,234",40,Fox Searchlight Pictures,False,False
29,30,Hell or High Water,"$9,979",+29.5%,-5.4%,113,$88,"$26,991,206",96,Lionsgate,False,False
30,27,Billy Lynn's Long Halftime Walk,"$9,929",-3.2%,-,2,"$4,964","$134,318",5,TriStar Pictures,False,False
31,33,Finding Dory,"$9,347",+47.3%,-36.4%,140,$66,"$486,098,054",152,-,False,False
32,35,Snowden,"$8,317",+65%,-13.5%,83,$100,"$21,575,704",61,Open Road Films (II),False,False
33,29,Middle School: The Worst Years of My Life,"$8,254",-12%,-91.3%,226,$36,"$19,584,880",40,Lionsgate,False,False
34,31,Desierto,"$7,416",+2%,-39.2%,54,$137,"$1,983,792",33,STX Entertainment,False,False
35,34,I'm Not Ashamed,"$5,986",+6.8%,-60.8%,85,$70,"$2,053,247",26,Pure Flix Entertainment,False,False
36,38,Christine,"$5,244",+48%,+40.2%,57,$92,"$221,728",33,The Orchard,False,False
37,37,Kubo and the Two Strings,"$5,023",+16.6%,-53.7%,107,$46,"$47,910,466",89,Focus Features,False,False
38,36,American Pastoral,"$4,891",+10%,-50.3%,59,$82,"$516,365",26,Lionsgate,False,False
39,39,Luck-Key,"$4,568",+37.1%,-51.2%,11,$415,"$455,053",26,JBG Pictures,False,False
40,41,Don't Breathe,"$2,622",+19.9%,-32.2%,47,$55,"$89,054,612",82,Screen Gems,False,False
41,40,Generation Found,"$2,300",-29.4%,-,7,$328,"$143,239",79,GathrFilms,False,False
42,42,When the Bough Breaks,"$1,903",+12.7%,-59.7%,55,$34,"$29,744,246",68,Screen Gems,False,False
43,48,SEED: The Untold Story,"$1,793",+139.7%,+333.1%,4,$448,"$82,452",86,-,False,False
44,47,American Honey,"$1,694",+120%,-30.1%,11,$154,"$648,527",47,A24,False,False
45,45,The Monster,"$1,386",+45.3%,-,18,$77,"$8,964",5,A24,False,False
46,44,El Jeremías,$967,+0.8%,-67.5%,13,$74,"$646,151",26,-,False,False
47,46,Priceless,$834,-10.4%,-77%,21,$39,"$1,488,008",33,Roadside Attractions,False,False
48,-,The Battle of Algiers2016 Re-release,$223,-,+139.8%,1,$223,"$52,834",40,Rialto Pictures,False,False
49,49,Greater,$141,-74.2%,-78.2%,3,$47,"$1,985,336",82,Hammond Entertainment,False,False
50,51,What Happened Last Night,$40,+344.4%,-89%,6,$6,"$9,238",12,-,False,False
