TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,-,Rogue One: A Star Wars Story,"$71,094,394",-,-,4157,"$17,102","$71,094,394",1,-,True,False
2,1,Moana,"$3,055,917",+135.3%,-27.3%,3587,$851,"$153,250,662",24,-,False,False
3,2,Office Christmas Party,"$2,621,741",+102.8%,-59.9%,3210,$816,"$25,690,008",8,Paramount Pictures,False,False
4,-,Collateral Beauty,"$2,394,692",-,-,3028,$790,"$2,394,692",1,Warner Bros.,True,False
5,16,La La Land,"$1,370,578","+2,233.9%",+357.9%,200,"$6,852","$2,610,744",8,Lionsgate,False,False
6,3,Fantastic Beasts and Where to Find Them,"$1,343,113",+75.7%,-52.5%,3036,$442,"$203,994,208",29,Warner Bros.,False,False
7,6,Manchester by the Sea,"$1,275,856",+284.5%,+38.3%,1206,"$1,057","$11,136,161",29,Roadside Attractions,False,False
8,4,Arrival,"$823,830",+82.7%,-48.6%,2157,$381,"$84,517,197",36,Paramount Pictures,False,False
9,5,Doctor Strange,"$590,378",+64.4%,-51.6%,1930,$305,"$224,640,405",43,-,False,False
10,8,Nocturnal Animals,"$426,476",+81.7%,-62.2%,1246,$342,"$7,847,842",29,Focus Features,False,False
11,7,Allied,"$372,559",+25.4%,-69%,1625,$229,"$37,581,476",24,Paramount Pictures,False,False
12,10,Trolls,"$280,371",+98.6%,-54.3%,1714,$163,"$146,336,308",43,Twentieth Century Fox,False,False
13,9,Hacksaw Ridge,"$265,742",+31.4%,-60.7%,1341,$198,"$62,163,846",43,Lionsgate,False,False
14,19,Jackie,"$162,880",+290.8%,+11.1%,84,"$1,939","$1,205,615",15,Fox Searchlight Pictures,False,False
15,13,Almost Christmas,"$160,850",+104.3%,-57.2%,720,$223,"$40,760,780",36,Universal Pictures,False,False
16,11,Miss Sloane,"$128,978",-5.3%,-80.4%,1463,$88,"$2,868,614",22,EuropaCorp,False,False
17,14,Moonlight,"$96,726",+33.4%,-33.4%,305,$317,"$11,198,402",57,A24,False,False
18,12,Bad Santa 2,"$69,503",-16.8%,-81.2%,414,$167,"$17,377,249",24,Broad Green Pictures,False,False
19,15,Loving,"$59,776",-7.9%,-67.6%,396,$150,"$6,954,018",43,Focus Features,False,False
20,17,Incarnate,"$50,725",-13.2%,-84.7%,318,$159,"$4,590,134",15,BH Tilt,False,False
21,20,The Accountant,"$43,075",+22.4%,-67%,252,$170,"$85,207,528",64,Warner Bros.,False,False
22,-,Fences,"$41,254",-,-,4,"$10,313","$41,254",1,Paramount Pictures,True,False
23,21,Jack Reacher: Never Go Back,"$33,139",+66.2%,-46.6%,235,$141,"$58,196,216",57,Paramount Pictures,False,False
24,23,Lion,"$32,763",+69.7%,-24.9%,16,"$2,047","$603,837",22,The Weinstein Company,False,False
25,24,Storks,"$32,340",+169.2%,-18.8%,235,$137,"$71,773,558",85,Warner Bros.,False,False
26,18,The Edge of Seventeen,"$31,782",-32.1%,-83.7%,221,$143,"$14,181,151",29,STX Entertainment,False,False
27,25,Miss Peregrine's Home for Peculiar Children,"$23,308",+130%,-22.7%,181,$128,"$86,625,661",78,Twentieth Century Fox,False,False
28,36,Tyler Perry's Boo! A Madea Halloween,"$18,951",+536.8%,+55.6%,136,$139,"$73,102,149",57,Lionsgate,False,False
29,-,The Polar Express2016 IMAX Release,"$14,452",-,-,65,$222,"$598,865",36,Warner Bros.,False,False
30,26,Sully,"$12,168",+28.1%,-45.7%,103,$118,"$124,801,179",99,Warner Bros.,False,False
31,31,The Secret Life of Pets,"$12,050",+104.1%,-31.8%,165,$73,"$368,178,830",162,Universal Pictures,False,False
32,27,The Girl on the Train,"$11,915",+43.9%,-53.9%,112,$106,"$75,281,980",71,Universal Pictures,False,False
33,-,Neruda,"$8,070",-,-,3,"$2,690","$8,070",1,The Orchard,True,False
34,32,The Magnificent Seven,"$6,650",+32.8%,-46.8%,59,$112,"$93,367,861",85,-,False,False
35,40,Shut In,"$6,372",+510.3%,+20.9%,78,$81,"$6,846,719",36,EuropaCorp,False,False
36,30,Inferno,"$5,274",-18.4%,-71.7%,64,$82,"$34,085,235",50,-,False,False
37,22,Believe,"$4,038",-79.2%,-88.5%,42,$96,"$865,745",15,Freestyle Releasing,False,False
38,35,Don't Breathe,"$2,875",-19.7%,-65.6%,37,$77,"$89,202,022",113,Screen Gems,False,False
39,-,Sausage Party,"$2,579",-,-,55,$46,"$97,672,937",127,-,False,False
40,41,Denial,"$2,434",+166.3%,+134%,48,$50,"$4,066,827",78,Bleecker Street Media,False,False
41,34,Rules Don't Apply,"$1,489",-68.8%,-88.1%,44,$33,"$3,644,213",24,Twentieth Century Fox,False,False
42,-,The Lion in Winter2016 Re-release,"$1,206",-,-,2,$603,"$1,206",1,Rialto Pictures,True,False
43,-,The Bounce Back,$888,-,-98.9%,22,$40,"$317,897",8,Viva Pictures,False,False
44,47,Elevator to the Gallows2016 Re-release,$809,+635.5%,-,1,$809,"$109,881",136,Rialto Pictures,False,False
45,-,Chosen,$649,-,-,1,$649,$649,1,-,True,False
46,43,Queen of Katwe,$331,-42.2%,-72.5%,6,$55,"$8,786,012",85,-,False,False
47,-,SEED: The Untold Story,$174,-,-,1,$174,"$98,212",117,-,False,False
48,-,Christine,$75,-,-84.2%,5,$15,"$295,370",64,The Orchard,False,False
49,45,Priceless,$42,-75.7%,-71%,2,$21,"$1,499,010",64,Roadside Attractions,False,False
