TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Rogue One: A Star Wars Story,"$16,773,075",+12.1%,-,4157,"$4,034","$221,999,674",7,-,False,False
2,2,Sing,"$9,602,465",-12.8%,-,4022,"$2,387","$20,612,640",2,Universal Pictures,False,False
3,4,Passengers,"$3,218,629",-21.6%,-,3478,$925,"$7,325,201",2,-,False,False
4,3,Assassin's Creed,"$2,868,997",-37.9%,-,2902,$988,"$7,492,398",2,Twentieth Century Fox,False,False
5,5,Moana,"$2,574,204",+21.1%,+98.2%,3053,$843,"$173,032,191",30,-,False,False
6,6,Office Christmas Party,"$1,303,128",+5%,+0.8%,3059,$425,"$37,039,602",14,Paramount Pictures,False,False
7,7,Collateral Beauty,"$905,638",+6%,-,3028,$299,"$11,001,500",7,Warner Bros.,False,False
8,8,Fantastic Beasts and Where to Find Them,"$838,125",+14.1%,+9.6%,1966,$426,"$211,305,251",35,Warner Bros.,False,False
9,10,La La Land,"$683,888",+13.4%,"+1,064.5%",200,"$3,419","$7,882,711",14,Lionsgate,False,False
10,9,Manchester by the Sea,"$676,337",+9.1%,+103.8%,1206,$560,"$16,715,116",35,Roadside Attractions,False,False
11,11,Dangal,"$504,445",+53.7%,-,331,"$1,524","$832,672",2,UTV Motion Pictures,False,False
12,12,Arrival,"$355,159",+15.8%,-21.2%,1091,$325,"$88,302,358",42,Paramount Pictures,False,False
13,14,Doctor Strange,"$288,235",+14%,-19.7%,1017,$283,"$227,618,966",49,-,False,False
14,13,Jackie,"$259,096",-3%,+521.7%,335,$773,"$2,311,442",21,Fox Searchlight Pictures,False,False
15,16,Trolls,"$127,093",+29.2%,-10%,525,$242,"$148,266,158",49,Twentieth Century Fox,False,False
16,15,Nocturnal Animals,"$121,167",+4.8%,-48.4%,593,$204,"$9,487,240",35,Focus Features,False,False
17,17,Hacksaw Ridge,"$82,048",+10.2%,-59.4%,544,$150,"$63,372,876",49,Lionsgate,False,False
18,18,Allied,"$75,106",+3.6%,-74.7%,414,$181,"$39,107,022",30,Paramount Pictures,False,False
19,20,Moonlight,"$61,620",+9%,-15%,159,$387,"$11,733,810",63,A24,False,False
20,21,Lion,"$55,155",+3.3%,+185.6%,53,"$1,040","$853,433",28,The Weinstein Company,False,False
21,22,Almost Christmas,"$54,860",+7.9%,-30.3%,333,$164,"$41,495,425",42,Universal Pictures,False,False
22,23,Storks,"$40,090",+14.6%,+233.7%,235,$170,"$72,025,173",91,Warner Bros.,False,False
23,19,Patriots Day,"$30,768",-52.4%,-,7,"$4,395","$95,412",2,Lionsgate,False,False
