TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,-,The Town,"$8,348,436",-,-,2861,"$2,918","$8,348,436",1,Warner Bros.,True,False
2,-,Easy A,"$6,787,163",-,-,2856,"$2,376","$6,787,163",1,Screen Gems,True,False
3,-,Devil,"$4,803,390",-,-,2809,"$1,710","$4,803,390",1,Universal Pictures,True,False
4,1,Resident Evil: Afterlife,"$3,001,295",+91.2%,-72.1%,3209,$935,"$36,892,661",8,Screen Gems,False,False
5,-,Alpha and Omega,"$2,288,773",-,-,2625,$871,"$2,288,773",1,Lionsgate,True,False
6,3,Takers,"$919,501",+128.2%,-48.6%,2139,$429,"$50,265,565",22,Screen Gems,False,False
7,2,The American,"$833,999",+71%,-53.2%,2457,$339,"$30,933,953",17,Focus Features,False,False
8,9,Inception,"$593,802",+135.6%,-28.6%,1305,$455,"$283,756,520",64,Warner Bros.,False,False
9,8,The Other Guys,"$591,801",+126.8%,-40.8%,1827,$323,"$114,023,195",43,Sony Pictures Releasing,False,False
10,4,Machete,"$530,380",+32.1%,-60.2%,1704,$311,"$23,166,184",15,Twentieth Century Fox,False,False
11,6,Eat Pray Love,"$500,135",+44.3%,-43.9%,1668,$299,"$76,485,939",36,Sony Pictures Releasing,False,False
12,5,Going the Distance,"$459,957",+27.7%,-64.3%,2007,$229,"$15,876,016",15,Warner Bros.,False,False
13,7,The Expendables,"$399,575",+30.4%,-57.5%,1854,$215,"$100,046,810",36,Lionsgate,False,False
14,10,The Last Exorcism,"$393,261",+89.8%,-62.8%,2013,$195,"$39,295,282",22,Lionsgate,False,False
15,11,The Switch,"$297,296",+71.1%,-53%,1158,$256,"$25,967,411",29,Miramax,False,False
16,12,Nanny McPhee Returns,"$222,985",+135.8%,-50.4%,1588,$140,"$26,871,580",29,Universal Pictures,False,False
17,14,Despicable Me,"$198,245",+161.9%,-42.3%,944,$210,"$244,026,295",71,Universal Pictures,False,False
18,17,Lottery Ticket,"$167,058",+160.8%,-48.6%,677,$246,"$23,046,606",29,Warner Bros.,False,False
19,20,Vampires Suck,"$162,678",+210.6%,-60.2%,964,$168,"$35,460,111",31,Twentieth Century Fox,False,False
20,15,Scott Pilgrim vs. the World,"$105,625",+42%,-57.3%,384,$275,"$30,825,525",36,Universal Pictures,False,False
21,-,Salt,"$96,021",-,-48.4%,335,$286,"$116,759,481",57,Sony Pictures Releasing,False,False
