TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Avatar,"$16,326,050",+80.8%,-5.4%,3141,"$5,197","$542,151,962",37,Twentieth Century Fox,False,False
2,3,The Book of Eli,"$7,501,154",+52.1%,-36.3%,3111,"$2,411","$57,436,916",9,Warner Bros.,False,False
3,2,Legion,"$7,090,356",+6%,-,2476,"$2,863","$13,776,589",2,Screen Gems,False,False
4,4,Tooth Fairy,"$6,751,764",+90.5%,-,3344,"$2,019","$10,296,276",2,Twentieth Century Fox,False,False
5,5,The Lovely Bones,"$3,894,394",+50%,-38.7%,2571,"$1,514","$29,314,948",44,DreamWorks,False,False
6,7,Sherlock Holmes,"$3,296,193",+67.3%,-20%,2670,"$1,234","$189,715,032",30,Warner Bros.,False,False
7,9,Alvin and the Chipmunks: The Squeakquel,"$3,239,989",+131.8%,-38.5%,2973,"$1,089","$202,374,650",32,Twentieth Century Fox,False,False
8,6,Extraordinary Measures,"$2,821,567",+38.5%,-,2549,"$1,106","$4,859,533",2,CBS Films,False,False
9,8,It's Complicated,"$2,818,725",+62.3%,-17.6%,2301,"$1,225","$97,016,040",30,Universal Pictures,False,False
10,12,The Spy Next Door,"$2,230,249",+114.2%,-45%,2924,$762,"$17,231,786",9,Lionsgate,False,False
11,10,The Blind Side,"$2,103,901",+70.5%,-10.6%,1932,"$1,088","$232,850,310",65,Warner Bros.,False,False
12,11,Up in the Air,"$1,989,705",+76.5%,-15%,1707,"$1,165","$68,460,236",51,Paramount Pictures,False,False
13,13,Leap Year,"$1,328,215",+41.2%,-44.6%,1939,$685,"$22,234,815",16,Universal Pictures,False,False
14,15,Daybreakers,"$696,761",+46.4%,-65.2%,1523,$457,"$27,718,000",16,Lionsgate,False,False
15,16,Crazy Heart,"$660,280",+84.9%,+132.4%,93,"$7,099","$3,529,929",39,Fox Searchlight Pictures,False,False
16,14,To Save a Life,"$536,882",+1.4%,-,441,"$1,217","$1,066,153",2,The Samuel Goldwyn Company,False,False
17,17,Youth in Revolt,"$366,433",+31%,-66.6%,743,$493,"$14,096,001",16,-,False,False
18,18,The Young Victoria,"$344,438",+69.9%,-13.8%,307,"$1,121","$7,178,580",37,Apparition,False,False
19,19,A Single Man,"$341,422",+82.2%,-5%,216,"$1,580","$4,277,879",44,The Weinstein Company,False,False
20,20,The Twilight Saga: New Moon,"$236,368",+79.4%,-38.6%,444,$532,"$293,029,562",65,Summit Entertainment,False,False
21,21,Invictus,"$213,792",+84.8%,-36.6%,306,$698,"$35,719,056",44,Warner Bros.,False,False
22,22,2012,"$160,491",+75.3%,-13.2%,324,$495,"$165,132,496",72,Sony Pictures Releasing,False,False
23,24,Planet 51,"$156,555",+108%,-6.4%,308,$508,"$40,525,456",65,Sony Pictures Releasing,False,False
24,23,Nine,"$134,589",+54.1%,-44.7%,235,$572,"$18,760,058",37,The Weinstein Company,False,False
25,25,Precious,"$96,285",+68.4%,-3%,194,$496,"$45,084,556",79,Lionsgate,False,False
26,28,3 Idiots,"$73,975",+119%,-46.3%,82,$902,"$6,255,804",32,Reliance Big Pictures,False,False
27,27,Fantastic Mr. Fox,"$68,251",+101.5%,-19%,169,$403,"$20,151,098",72,Twentieth Century Fox,False,False
28,26,Did You Hear About the Morgans?,"$60,429",+49.2%,-63.2%,184,$328,"$29,554,853",37,Sony Pictures Releasing,False,False
29,29,Couples Retreat,"$53,380",+58.1%,+0.3%,157,$340,"$109,045,195",107,Universal Pictures,False,False
30,32,Cloudy with a Chance of Meatballs,"$46,755",+123%,-19.9%,174,$268,"$124,846,006",128,Sony Pictures Releasing,False,False
31,30,Ninja Assassin,"$43,982",+67.9%,-8.5%,168,$261,"$37,918,345",60,Warner Bros.,False,False
32,31,Under the Sea 3D,"$39,288",+86.8%,-8.6%,28,"$1,403","$19,765,436",345,Warner Bros.,False,False
33,34,Where the Wild Things Are,"$33,039",+97.8%,-22.6%,142,$232,"$77,084,133",100,Warner Bros.,False,False
34,33,The Road,"$32,184",+69.5%,-32.5%,100,$321,"$7,743,250",60,-,False,False
35,35,Law Abiding Citizen,"$22,149",+47.8%,-9.1%,98,$226,"$73,284,448",100,Overture Films,False,False
36,36,The Men Who Stare at Goats,"$21,983",+49%,-19.8%,95,$231,"$32,363,693",79,Overture Films,False,False
37,37,That Evening Sun,"$15,150",+9.4%,"+12,020%",8,"$1,893","$77,509",79,Freestyle Releasing,False,False
38,38,Me and Orson Welles,"$10,891",+68%,+17.1%,21,$518,"$1,096,188",60,Freestyle Releasing,False,False
39,40,Chance Pe Dance,"$8,185",+100.7%,-81.6%,32,$255,"$159,834",9,UTV Motion Pictures,False,False
40,39,The Boondock Saints II: All Saints Day,"$8,100",+36%,-19.9%,33,$245,"$10,175,613",86,Apparition,False,False
41,41,Mystery Team,"$1,671",+8.4%,+147.6%,2,$835,"$58,938",149,Roadside Attractions,False,False
42,42,44 Inch Chest2010 Re-release,$861,+76.4%,-28%,1,$861,"$7,569",9,Image Entertainment,False,False
43,43,The Cove,$499,+362%,-,2,$249,"$849,913",177,Roadside Attractions,False,False
44,44,The Slammin' Salmon,$70,+12.9%,-70.1%,1,$70,"$41,387",44,Anchor Bay Films,False,False
45,45,The September Issue,$65,+182.6%,-45.8%,1,$65,"$3,818,741",149,Roadside Attractions,False,False
