TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Avatar,"$3,137,588",-1.9%,-17.3%,3141,$998,"$561,317,325",41,Twentieth Century Fox,False,False
2,2,The Book of Eli,"$1,114,175",-15.7%,-45.2%,3111,$358,"$64,481,163",13,Warner Bros.,False,False
3,3,Legion,"$954,505",-20.5%,-,2476,$385,"$20,929,029",6,Screen Gems,False,False
4,4,It's Complicated,"$528,985",-8.1%,-26.7%,2301,$229,"$99,823,610",34,Universal Pictures,False,False
5,8,Sherlock Holmes,"$482,467",-9.5%,-29.9%,2670,$180,"$192,576,937",34,Warner Bros.,False,False
6,6,The Lovely Bones,"$478,442",-13.6%,-34.9%,2571,$186,"$32,780,339",48,DreamWorks,False,False
7,7,Tooth Fairy,"$442,523",-18.5%,-,3344,$132,"$15,642,954",6,Twentieth Century Fox,False,False
8,5,Extraordinary Measures,"$432,705",-21.8%,-,2549,$169,"$7,428,878",6,CBS Films,False,False
9,9,Up in the Air,"$302,983",-12.5%,-33%,1707,$177,"$70,169,472",55,Paramount Pictures,False,False
10,10,The Blind Side,"$298,088",-4.7%,-27.2%,1932,$154,"$234,593,473",69,Warner Bros.,False,False
11,11,Alvin and the Chipmunks: The Squeakquel,"$249,861",-14.7%,-34.8%,2973,$84,"$205,027,069",36,Twentieth Century Fox,False,False
12,13,Leap Year,"$203,595",-12.5%,-44.1%,1939,$105,"$23,485,555",20,Universal Pictures,False,False
13,12,The Spy Next Door,"$202,044",-19%,-32.1%,2924,$69,"$19,258,666",13,Lionsgate,False,False
14,14,Daybreakers,"$148,060",-9%,-62.2%,1523,$97,"$28,567,274",20,Lionsgate,False,False
15,19,To Save a Life,"$124,439",+102.8%,-,441,$282,"$1,767,516",6,The Samuel Goldwyn Company,False,False
16,15,Crazy Heart,"$117,956",-13.7%,+59.6%,93,"$1,268","$4,234,239",43,Fox Searchlight Pictures,False,False
17,16,Youth in Revolt,"$80,313",-11.6%,-66.2%,743,$108,"$14,520,160",20,-,False,False
18,17,The Young Victoria,"$79,582",-9.1%,-22.6%,307,$259,"$7,608,727",41,Apparition,False,False
19,18,A Single Man,"$64,156",-14.7%,-27.8%,216,$297,"$4,663,705",48,The Weinstein Company,False,False
20,20,The Twilight Saga: New Moon,"$51,542",+0.3%,-26.5%,444,$116,"$293,326,128",69,Summit Entertainment,False,False
21,21,Nine,"$35,341",-16%,-56.1%,235,$150,"$18,955,594",41,The Weinstein Company,False,False
22,22,Invictus,"$33,575",-9.8%,-53.6%,306,$109,"$35,907,711",48,Warner Bros.,False,False
23,23,Precious,"$23,695",+4.2%,-22.2%,194,$122,"$45,209,174",83,Lionsgate,False,False
24,24,Under the Sea 3D,"$17,065",+65.1%,+48.3%,28,$609,"$19,829,981",349,Warner Bros.,False,False
25,25,Fantastic Mr. Fox,"$10,140",-0.7%,-27.2%,169,$60,"$20,226,767",76,Twentieth Century Fox,False,False
26,28,Ninja Assassin,"$9,237",<0.1%,-24.1%,168,$54,"$37,972,510",64,Warner Bros.,False,False
27,27,The Road,"$9,149",-2.9%,-38.5%,100,$91,"$7,788,009",64,-,False,False
28,29,Couples Retreat,"$7,825",-0.3%,-7.4%,157,$49,"$109,088,345",111,Universal Pictures,False,False
29,26,3 Idiots,"$7,690",-20.8%,-50.2%,82,$93,"$6,321,438",36,Reliance Big Pictures,False,False
30,31,Law Abiding Citizen,"$4,632",-2.4%,-23.7%,98,$47,"$73,307,445",104,Overture Films,False,False
31,30,Where the Wild Things Are,"$4,484",-27.9%,-33%,142,$31,"$77,121,612",104,Warner Bros.,False,False
32,32,The Men Who Stare at Goats,"$3,984",-13.7%,-46.2%,95,$41,"$32,386,607",83,Overture Films,False,False
33,33,That Evening Sun,"$2,538",-22.9%,-,8,$317,"$92,385",83,Freestyle Releasing,False,False
34,34,Me and Orson Welles,"$2,481",-7.1%,-16.7%,21,$118,"$1,109,921",64,Freestyle Releasing,False,False
35,35,The Boondock Saints II: All Saints Day,"$2,451",-4.9%,-34.6%,33,$74,"$10,187,576",90,Apparition,False,False
36,36,Chance Pe Dance,"$1,254",-1.7%,-78.2%,32,$39,"$167,624",13,UTV Motion Pictures,False,False
37,37,The Maid,$564,-33.2%,-,9,$62,"$534,802",104,Elephant Eye Films,False,False
38,38,44 Inch Chest2010 Re-release,$464,+75.8%,+54.2%,1,$464,"$9,247",13,Image Entertainment,False,False
39,39,Mystery Team,$132,-26.7%,+238.5%,2,$66,"$59,635",153,Roadside Attractions,False,False
40,41,The Slammin' Salmon,$45,+136.8%,-63.1%,1,$45,"$41,541",48,Anchor Bay Films,False,False
41,43,The Cove,$16,+33.3%,-,2,$8,"$849,993",181,Roadside Attractions,False,False
