TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Megamind,"$12,938,964",-37%,-,3944,"$3,280","$46,016,833",3,DreamWorks,False,False
2,2,Due Date,"$7,436,409",-43%,-,3355,"$2,216","$32,689,406",3,Warner Bros.,False,False
3,3,For Colored Girls,"$4,289,088",-45%,-,2127,"$2,016","$19,497,324",3,Lionsgate,False,False
4,4,RED,"$2,003,621",-50.6%,-22.5%,3229,$620,"$71,664,962",24,Summit Entertainment,False,False
5,5,Saw: The Final Chapter,"$1,734,599",-49%,-69.5%,2808,$617,"$38,331,783",10,Lionsgate,False,False
6,6,Paranormal Activity 2,"$1,460,544",-54.5%,-65.4%,3168,$461,"$76,959,864",17,Paramount Pictures,False,False
7,7,Jackass 3D,"$1,105,985",-50.5%,-43%,2165,$510,"$110,668,357",24,Paramount Pictures,False,False
8,9,Secretariat,"$1,056,847",-41.4%,-17.1%,2614,$404,"$51,031,068",31,Walt Disney Studios Motion Pictures,False,False
9,8,Hereafter,"$979,245",-46.7%,-39.6%,2365,$414,"$28,721,066",24,Warner Bros.,False,False
10,10,The Social Network,"$746,867",-54.1%,-25.2%,1860,$401,"$84,871,492",38,Sony Pictures Releasing,False,False
11,11,Life as We Know It,"$641,944",-54.7%,-25.7%,1950,$329,"$48,506,252",31,Warner Bros.,False,False
12,12,Conviction2010 Re-release,"$407,342",-46%,-16.5%,672,$606,"$4,794,930",24,Fox Searchlight Pictures,False,False
13,13,The Town,"$264,386",-52.9%,-44.8%,801,$330,"$89,748,239",52,Warner Bros.,False,False
14,14,Fair Game,"$180,492",-38.4%,-,46,"$3,923","$651,082",3,Summit Entertainment,False,False
15,16,Legend of the Guardians: The Owls of Ga'Hoole,"$150,387",-31.9%,-65.5%,740,$203,"$54,011,558",45,Warner Bros.,False,False
16,18,Waiting for 'Superman',"$100,705",-41.5%,-18.5%,242,$416,"$5,408,080",45,Paramount Vantage,False,False
17,15,Easy A,"$97,449",-57.8%,-55.8%,468,$208,"$57,227,601",52,Screen Gems,False,False
18,19,Despicable Me,"$92,085",-40%,+44.1%,307,$299,"$248,312,500",122,Universal Pictures,False,False
19,22,127 Hours,"$82,926",-20.8%,-,4,"$20,731","$264,851",3,Fox Searchlight Pictures,False,False
20,20,Inception,"$75,448",-47.4%,-14.2%,291,$259,"$291,448,103",115,Warner Bros.,False,False
21,17,Wall Street: Money Never Sleeps,"$66,919",-62.4%,-66.7%,353,$189,"$51,887,446",45,Twentieth Century Fox,False,False
22,23,Hubble 3D,"$53,081",-33.5%,+40%,60,$884,"$17,746,611",234,Warner Bros.,False,False
23,29,Alpha and Omega,"$49,014",-22%,-48.8%,288,$170,"$24,452,397",52,Lionsgate,False,False
24,25,Stone,"$46,275",-40.8%,-29.8%,109,$424,"$1,490,314",31,Overture Films,False,False
25,21,Devil,"$45,440",-60%,-60.2%,284,$160,"$33,466,560",52,Universal Pictures,False,False
26,26,The Other Guys,"$40,980",-46%,-0.2%,235,$174,"$119,021,117",94,Sony Pictures Releasing,False,False
27,27,Takers,"$40,123",-43.6%,+99.3%,215,$186,"$57,570,732",73,Screen Gems,False,False
28,24,It's Kind of a Funny Story,"$39,120",-50.7%,-62.9%,201,$194,"$6,195,206",31,Focus Features,False,False
29,28,Nowhere Boy,"$38,030",-42.5%,+3.9%,175,$217,"$1,198,003",31,The Weinstein Company,False,False
30,30,Case 39,"$20,602",-30.6%,-56.8%,157,$131,"$13,182,174",38,Paramount Vantage,False,False
31,31,N-Secure,"$13,007",-51.4%,-80.8%,105,$123,"$2,553,852",24,Freestyle Releasing,False,False
32,33,Under the Sea 3D,"$12,470",-38.8%,+83.5%,14,$890,"$24,714,048",633,Warner Bros.,False,False
33,32,Catfish,"$12,375",-43.8%,-54.8%,55,$225,"$3,151,218",52,Rogue Pictures,False,False
34,34,Never Let Me Go,"$11,697",-38.6%,-53.6%,51,$229,"$2,284,280",54,Fox Searchlight Pictures,False,False
35,35,Let Me In,"$7,444",-46.2%,-83.7%,95,$78,"$11,999,419",38,Overture Films,False,False
36,37,Buried,"$7,361",-30.7%,-54.9%,46,$160,"$1,028,658",45,Lionsgate,False,False
37,36,Avatar2010 Special Edition,"$6,949",-42.3%,-13.6%,9,$772,"$10,696,420",73,Twentieth Century Fox,False,False
38,39,The Tillman Story,"$3,904",-27.3%,-15.1%,24,$162,"$764,981",80,The Weinstein Company,False,False
39,40,Wild Target,"$3,712",-6.7%,-42.5%,5,$742,"$44,259",10,Freestyle Releasing,False,False
40,38,Jack Goes Boating,"$3,609",-42.5%,+11.4%,31,$116,"$492,694",52,Overture Films,False,False
41,41,Piranha 3D,"$1,802",-45.8%,+31.3%,6,$300,"$25,001,532",80,-,False,False
42,42,Winter's Bone,"$1,297",-27.5%,-19%,10,$129,"$6,218,195",150,Roadside Attractions,False,False
43,43,Violet Tendencies,"$1,272",-27.1%,-,1,"$1,272","$5,264",3,Embrem Entertainment,False,False
44,44,The Concert,$482,-54.3%,-52%,4,$120,"$655,474",101,The Weinstein Company,False,False
45,45,Breathless2010 Re-release,$328,-34%,-,1,$328,"$339,119",164,Rialto Pictures,False,False
46,46,I Spit on Your Grave,$234,-51.6%,-55.6%,2,$117,"$91,519",31,Anchor Bay Films,False,False
47,-,The Disappearance of Alice Creed,$69,-,-,1,$69,"$166,980",94,Anchor Bay Films,False,False
