TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,American Sniper,"$24,383,294",-29.4%,"+12,804.8%",3555,"$6,858","$92,693,844",25,Warner Bros.,False,False
2,3,Paddington,"$5,945,144",-28.9%,-,3303,"$1,799","$18,966,676",3,-,False,False
3,2,The Wedding Ringer,"$5,236,968",-37.8%,-,3003,"$1,743","$20,649,306",3,Screen Gems,False,False
4,4,Taken 3,"$3,826,710",-42.2%,-56%,3594,"$1,064","$63,502,735",10,Twentieth Century Fox,False,False
5,5,Selma,"$2,719,237",-26.4%,-4.2%,2235,"$1,216","$26,443,325",25,Paramount Pictures,False,False
6,7,Into the Woods,"$2,096,648",-30.3%,-20.3%,2758,$760,"$114,528,012",25,-,False,False
7,6,The Imitation Game,"$1,711,595",-46.5%,-2.6%,1611,"$1,062","$50,407,474",52,The Weinstein Company,False,False
8,8,The Hobbit: The Battle of the Five Armies,"$1,479,399",-33.9%,-45.1%,2220,$666,"$244,581,810",33,Warner Bros.,False,False
9,10,Night at the Museum: Secret of the Tomb,"$1,224,332",-30.4%,-32.7%,2437,$502,"$104,786,985",31,Twentieth Century Fox,False,False
10,9,Unbroken,"$1,042,050",-45.9%,-45.1%,2602,$400,"$108,544,020",25,Universal Pictures,False,False
11,11,Blackhat,"$912,515",-43.1%,-,2567,$355,"$3,901,815",3,Universal Pictures,False,False
12,12,Annie,"$688,834",-25.9%,-50.1%,1585,$434,"$82,171,157",31,-,False,False
13,13,The Hunger Games: Mockingjay - Part 1,"$542,662",-35.8%,-41%,1221,$444,"$332,516,441",59,Lionsgate,False,False
14,15,The Woman in Black 2: Angel of Death,"$489,951",-30.9%,-47.8%,1392,$351,"$24,868,849",17,Relativity Media,False,False
15,17,Spare Parts,"$430,404",-15.9%,-,440,$978,"$1,335,768",3,Lionsgate,False,False
16,14,Birdman or (The Unexpected Virtue of Ignorance),"$424,028",-40.6%,+167.1%,471,$900,"$28,269,636",94,Fox Searchlight Pictures,False,False
17,16,Wild,"$394,844",-39.5%,-41.5%,764,$516,"$33,005,145",47,Fox Searchlight Pictures,False,False
18,19,Big Hero 6,"$376,210",-25.7%,-48.6%,739,$509,"$216,092,561",73,-,False,False
19,18,Inherent Vice,"$299,860",-41.2%,-55.3%,653,$459,"$6,446,332",38,Warner Bros.,False,False
20,20,The Theory of Everything,"$287,455",-34.1%,+57.5%,509,$564,"$27,289,345",73,Focus Features,False,False
21,21,I,"$205,042",-41.2%,-,222,$923,"$1,388,578",6,Aascar Film,False,False
22,23,Penguins of Madagascar,"$172,078",-30.2%,-57.3%,417,$412,"$80,589,454",54,Twentieth Century Fox,False,False
23,24,Big Eyes,"$159,652",-29.9%,-51.1%,587,$271,"$13,464,801",25,The Weinstein Company,False,False
24,22,Interstellar,"$155,180",-38.2%,-48.5%,328,$473,"$185,773,864",75,Paramount Pictures,False,False
25,26,Exodus: Gods and Kings,"$63,089",-33.3%,-80.1%,245,$257,"$64,259,974",38,Twentieth Century Fox,False,False
26,25,The Gambler,"$52,574",-48.6%,-90.5%,415,$126,"$33,414,086",25,Paramount Pictures,False,False
27,28,Horrible Bosses 2,"$48,308",-37.3%,-35%,285,$169,"$54,086,856",54,Warner Bros.,False,False
28,27,Gone Girl,"$46,342",-41.7%,-25.7%,186,$249,"$167,412,284",108,Twentieth Century Fox,False,False
29,29,Dumb and Dumber To,"$41,360",-32.9%,-13.1%,176,$235,"$85,850,125",66,Universal Pictures,False,False
30,31,The Book of Life,"$36,618",-20.6%,-13.1%,96,$381,"$49,864,949",94,Twentieth Century Fox,False,False
31,32,PK,"$36,448",-20.9%,-52.5%,45,$809,"$10,498,605",31,UTV Motion Pictures,False,False
32,30,Top Five,"$34,511",-36.5%,-71.9%,83,$415,"$25,203,811",38,Paramount Pictures,False,False
33,33,The Interview,"$26,502",-38.8%,-73.6%,163,$162,"$6,018,129",25,-,False,False
34,34,St. Vincent,"$21,304",-40%,-23.4%,104,$204,"$43,817,180",101,The Weinstein Company,False,False
35,36,The Boxtrolls,"$16,332",-27.7%,+6.4%,87,$187,"$50,746,756",115,Focus Features,False,False
36,35,Fury,"$14,554",-38%,-50.4%,103,$141,"$85,807,388",94,-,False,False
37,37,Nightcrawler,"$12,604",-42%,-21%,105,$120,"$32,177,631",80,Open Road Films (II),False,False
38,39,The Grand Budapest Hotel,"$12,230",-18.5%,-,38,$321,"$59,119,478",318,Fox Searchlight Pictures,False,False
39,38,The Maze Runner,"$9,541",-37.2%,-36.3%,60,$159,"$102,381,116",122,Twentieth Century Fox,False,False
40,40,Song of the Sea,"$9,338",-13.3%,-25.1%,4,"$2,334","$132,442",31,GKIDS,False,False
41,41,Island of Lemurs: Madagascar,"$7,985",-17.3%,+30.9%,35,$228,"$8,543,084",290,Warner Bros.,False,False
42,42,Beyond the Lights,"$6,478",-30.5%,+880%,57,$113,"$14,595,201",66,Relativity Media,False,False
43,45,The Tale of The Princess Kaguya,"$6,125",+23.9%,+297%,10,$612,"$614,080",94,GKIDS,False,False
44,43,The Homesman,"$4,834",-41.4%,-53%,24,$201,"$2,377,282",66,Saban Films,False,False
45,44,John Wick,"$4,675",-30.6%,-53%,51,$91,"$43,029,925",87,Lionsgate,False,False
46,47,Mommy,"$3,091",+21.1%,+58.8%,10,$309,"$3,330,957",122,Roadside Attractions,False,False
47,46,Dear White People,"$2,540",-5.7%,+5.2%,8,$317,"$4,397,971",94,Roadside Attractions,False,False
48,48,Predestination,$912,-45.2%,-92.9%,7,$130,"$64,686",10,Vertical Entertainment,False,False
49,50,Three Night Stand,$564,-42.3%,-,10,$56,"$2,538",3,Freestyle Releasing,False,False
50,49,Meet the Mormons,$136,-86.2%,+325%,7,$19,"$6,037,827",101,Purdie Distribution,False,False
