TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,-,12 Strong,"$5,672,828",-,-,3002,"$1,889","$5,672,828",1,Warner Bros.,True,False
2,-,Den of Thieves,"$5,634,222",-,-,2432,"$2,316","$5,634,222",1,STX Entertainment,True,False
3,2,Jumanji: Welcome to the Jungle,"$4,856,136",+208.7%,-20.3%,3704,"$1,311","$301,801,284",31,Sony Pictures Entertainment (SPE),False,False
4,1,The Post,"$3,503,966",+105%,-40.7%,2851,"$1,229","$36,545,368",29,Twentieth Century Fox,False,False
5,4,The Greatest Showman,"$2,989,679",+171%,-2.1%,2823,"$1,059","$105,470,286",31,Twentieth Century Fox,False,False
6,5,The Commuter,"$1,967,525",+124.5%,-56.4%,2892,$680,"$20,991,054",8,Lionsgate,False,False
7,7,Insidious: The Last Key,"$1,789,795",+196.8%,-47.5%,2546,$702,"$54,574,060",15,Universal Pictures,False,False
8,8,Paddington 2,"$1,767,488",+236.2%,-27%,3702,$477,"$18,568,721",8,Warner Bros.,False,False
9,6,Star Wars: Episode VIII - The Last Jedi,"$1,625,633",+91%,-39.1%,2456,$661,"$599,344,109",36,-,False,False
10,-,Forever My Girl,"$1,462,399",-,-,1114,"$1,312","$1,462,399",1,Roadside Attractions,True,False
11,21,Phantom Thread,"$1,040,415",+825.9%,+192%,896,"$1,161","$3,853,144",26,Focus Features,False,False
12,10,Proud Mary,"$1,008,955",+141.9%,-68.4%,2125,$474,"$14,290,559",8,Screen Gems,False,False
13,12,Pitch Perfect 3,"$860,425",+164.3%,-40.6%,1772,$485,"$98,373,470",29,Universal Pictures,False,False
14,13,"I, Tonya","$851,728",+202%,-11.8%,799,"$1,065","$12,500,445",43,Neon,False,False
15,9,Darkest Hour,"$802,925",+71.9%,-35.5%,1341,$598,"$38,866,102",59,Focus Features,False,False
16,14,The Shape of Water,"$617,104",+137.6%,-16.8%,853,$723,"$28,626,151",50,Fox Searchlight Pictures,False,False
17,15,"Three Billboards Outside Ebbing, Missouri","$527,118",+106.9%,-16.6%,954,$552,"$30,604,475",71,Fox Searchlight Pictures,False,False
18,11,Molly's Game,"$492,786",+46%,-53.9%,1091,$451,"$23,151,295",26,STX Entertainment,False,False
19,16,Coco,"$370,591",+108.9%,-40.5%,878,$422,"$199,186,891",59,-,False,False
20,18,Lady Bird,"$329,181",+105.4%,-24.4%,675,$487,"$38,188,416",78,A24,False,False
21,17,Ferdinand,"$308,139",+85.3%,-48.4%,1212,$254,"$77,794,355",36,Twentieth Century Fox,False,False
22,23,Hostiles,"$187,377",+510.3%,+150.1%,119,"$1,574","$1,167,678",29,Entertainment Studios Motion Pictures,False,False
23,20,Wonder,"$159,107",+36.8%,-44.1%,496,$320,"$129,513,808",64,Lionsgate,False,False
24,19,All the Money in the World,"$114,045",-11.1%,-66.5%,374,$304,"$23,843,136",26,TriStar Pictures,False,False
25,3,Mary and the Witch's Flower,"$91,447",-92.2%,-,161,$567,"$1,258,911",2,GKIDS,False,False
26,-,The Room2017 Re-release,"$65,723",-,-,170,$386,"$549,602",10,Fathom Events,False,False
27,24,Thor: Ragnarok,"$62,799",+114.9%,-29.2%,184,$341,"$313,261,330",78,-,False,False
28,22,The Disaster Artist,"$54,485",+27.9%,-58.4%,147,$370,"$20,605,520",50,A24,False,False
29,26,Murder on the Orient Express,"$53,163",+107.7%,-20.1%,202,$263,"$102,175,274",71,Twentieth Century Fox,False,False
30,28,Daddy's Home 2,"$50,489",+269.9%,+10%,183,$275,"$103,383,269",71,Paramount Pictures,False,False
31,27,Justice League,"$32,850",+120.5%,-43.1%,151,$217,"$227,608,920",64,Warner Bros.,False,False
32,25,Downsizing,"$20,130",-21.7%,-75.4%,134,$150,"$24,264,439",29,Paramount Pictures,False,False
33,32,Blade Runner 2049,"$17,730",+171.6%,-12.8%,124,$142,"$91,969,768",106,Warner Bros.,False,False
34,31,The Star,"$17,679",+144.1%,-7.7%,132,$133,"$40,659,611",64,Sony Pictures Entertainment (SPE),False,False
35,30,Condorito: The Movie,"$13,725",+89.4%,-74%,134,$102,"$338,171",8,Lionsgate,False,False
36,33,Father Figures,"$11,324",+85.7%,-57.4%,96,$117,"$17,361,374",29,Warner Bros.,False,False
37,29,The Florida Project,"$9,510",+23.3%,-30%,37,$257,"$5,542,299",106,A24,False,False
38,34,Only the Brave,"$4,059",+45.3%,-33.3%,43,$94,"$18,312,811",92,Sony Pictures Entertainment (SPE),False,False
39,37,Parchi,"$2,450",+32.4%,-65.5%,14,$175,"$51,317",8,Atlas Distribution Company,False,False
40,38,"Roman J. Israel, Esq.","$1,697",+13.4%,-53.1%,25,$67,"$11,923,110",64,Sony Pictures Entertainment (SPE),False,False
41,39,Wonder Wheel,"$1,592",+53.7%,+22.4%,6,$265,"$1,388,042",50,Amazon Studios,False,False
42,35,The Breadwinner,"$1,405",-46.1%,-27.4%,4,$351,"$249,338",64,GKIDS,False,False
43,36,Birdboy: The Forgotten Children,"$1,088",-45.1%,-25.1%,5,$217,"$27,050",36,GKIDS,False,False
44,42,Same Kind of Different as Me,$878,+90%,+10.9%,9,$97,"$6,420,020",92,Pure Flix Entertainment,False,False
45,40,Big Sonia,$839,+10.2%,-43%,2,$419,"$144,205",64,Argot Pictures,False,False
46,-,Thelma,$746,-,+84.2%,3,$248,"$141,739",71,The Orchard,False,False
47,41,The Man Who Invented Christmas,$565,+1.1%,-58.3%,8,$70,"$5,674,321",59,Bleecker Street Media,False,False
48,-,Let There Be Light,$270,-,-14.6%,1,$270,"$7,214,716",85,Atlas Distribution Company,False,False
49,-,In Search of Fellini,$213,-,-,1,$213,"$11,009",127,-,False,False
50,-,BPM (Beats Per Minute),$40,-,-86.3%,1,$40,"$96,915",92,The Orchard,False,False
