TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Ant-Man and the Wasp,"$6,983,824",-62.3%,-,4206,"$1,660","$82,796,029",4,-,False,False
2,3,The Incredibles 2,"$3,543,643",-55.9%,-53.8%,4113,$861,"$507,311,480",25,-,False,False
3,2,Jurassic World: Fallen Kingdom,"$3,361,050",-60.2%,-60.8%,4349,$772,"$336,751,090",18,Universal Pictures,False,False
4,4,The First Purge,"$2,389,785",-52.1%,-,3031,$788,"$33,670,010",6,Universal Pictures,False,False
5,5,Sicario: Day of the Soldado,"$926,713",-62.1%,-56.9%,3055,$303,"$36,553,283",11,Sony Pictures Entertainment (SPE),False,False
6,6,Uncle Drew,"$837,765",-55.4%,-53.8%,2742,$305,"$30,768,028",11,Lionsgate,False,False
7,7,Ocean's 8,"$650,128",-53.4%,-52.7%,2604,$249,"$127,184,106",32,Warner Bros.,False,False
8,8,Tag,"$432,215",-50%,-56.6%,2157,$200,"$48,687,686",25,Warner Bros.,False,False
9,9,Won't You Be My Neighbor?,"$374,360",-53.1%,-7.1%,893,$419,"$12,737,297",32,Focus Features,False,False
10,10,Deadpool 2,"$235,450",-49.2%,-61.3%,1267,$185,"$314,781,924",53,Twentieth Century Fox,False,False
11,13,Hereditary,"$165,727",-44.8%,-61.1%,744,$222,"$42,051,531",32,A24,False,False
12,11,Sanju,"$145,675",-65%,-70.1%,359,$405,"$6,154,720",11,FIP,False,False
13,14,Solo: A Star Wars Story,"$141,994",-52.7%,-70.8%,778,$182,"$211,073,523",46,-,False,False
14,12,Whitney,"$141,796",-59%,-,451,$314,"$1,407,368",4,Roadside Attractions,False,False
15,15,Avengers: Infinity War,"$131,183",-50.2%,-54.5%,506,$259,"$674,996,992",74,-,False,False
16,16,Sorry to Bother You,"$88,115",-57.4%,-,16,"$5,507","$815,381",4,Annapurna Pictures,False,False
17,18,SuperFly,"$80,462",-54.8%,-59.8%,535,$150,"$19,915,245",27,Sony Pictures Entertainment (SPE),False,False
18,17,Three Identical Strangers,"$74,929",-62.2%,+149.7%,51,"$1,469","$1,084,649",11,Neon,False,False
19,19,Book Club,"$70,136",-45%,-49.9%,374,$187,"$67,242,470",53,Paramount Pictures,False,False
20,-,The Bolshoi Ballet: Live From Moscow - Giselle,"$58,093",-,-,281,$206,"$302,681",93,Fathom Events,False,False
21,20,Leave No Trace,"$44,822",-59%,+46.2%,37,"$1,211","$826,497",11,Bleecker Street Media,False,False
22,21,Adrift,"$34,949",-52.6%,-60.8%,323,$108,"$30,873,199",39,STX Entertainment,False,False
23,22,Rampage,"$27,512",-60.8%,-37.8%,120,$229,"$99,011,607",88,Warner Bros.,False,False
24,24,The Fall of the American Empire,"$25,268",-42.4%,-66.3%,73,$346,"$797,194",11,Entertainment One,False,False
25,25,A Quiet Place,"$21,955",-45.4%,-34.8%,162,$135,"$187,467,981",95,Paramount Pictures,False,False
26,23,American Animals,"$20,591",-55.8%,-67.1%,135,$152,"$2,574,704",39,The Orchard,False,False
27,30,Pandas,"$18,726",-4.2%,-10.6%,35,$535,"$2,765,044",95,Warner Bros.,False,False
28,26,Life of the Party,"$14,961",-54.9%,+33.2%,152,$98,"$52,538,343",60,Warner Bros.,False,False
29,28,Breaking In,"$11,035",-57.5%,-31.8%,92,$119,"$46,349,480",60,Universal Pictures,False,False
30,29,Gotti,"$10,515",-57.3%,-77.5%,100,$105,"$4,272,473",25,Vertical Entertainment,False,False
31,33,Show Dogs,"$9,550",-42.1%,-32.9%,132,$72,"$17,571,225",53,-,False,False
32,31,2001: A Space Odyssey2017 Re-release,"$9,453",-51.3%,-11.7%,7,"$1,350","$1,232,272",53,Warner Bros.,False,False
33,34,Upgrade,"$9,225",-42.8%,-68.7%,83,$111,"$11,838,690",39,BH Tilt,False,False
34,27,The Catcher Was a Spy,"$8,873",-67.1%,-34.9%,52,$170,"$493,277",18,IFC Films,False,False
35,32,First Reformed,"$8,709",-54.4%,-69.1%,77,$113,"$3,326,017",53,A24,False,False
36,37,Hotel Artemis,"$2,788",-17.9%,-13.9%,18,$154,"$6,658,799",32,-,False,False
37,35,Black Panther,"$2,408",-60%,-55.3%,52,$46,"$699,878,227",144,-,False,False
38,36,Fireworks,"$2,142",-47.6%,-,10,$214,"$514,686",7,GKIDS,False,False
39,39,Eating Animals,"$1,150",-58.5%,-51.4%,18,$63,"$111,001",25,IFC Films,False,False
40,41,I Can Only Imagine,"$1,075",-50.5%,-59.1%,21,$51,"$83,478,344",116,Roadside Attractions,False,False
41,40,Disobedience,"$1,024",-56.3%,-80.1%,21,$48,"$3,476,490",74,Bleecker Street Media,False,False
42,38,Five Seasons: The Gardens of Piet Oudolf,$963,-69.5%,-68%,5,$192,"$70,980",27,Argot Pictures,False,False
43,43,On Chesil Beach,$962,-46%,-52.5%,27,$35,"$742,593",53,Bleecker Street Media,False,False
44,44,The Death of Stalin,$820,-13.3%,-5.1%,5,$164,"$8,030,101",123,IFC Films,False,False
45,42,En el séptimo día,$540,-72.9%,+0.2%,8,$67,"$49,714",32,The Cinema Guild,False,False
46,49,Let the Sunshine In,$477,+2.8%,+20.2%,4,$119,"$858,755",74,IFC Films,False,False
47,48,Marlina the Murderer in Four Acts,$212,-60.3%,-78.3%,2,$106,"$14,596",18,Icarus Films,False,False
48,50,Summer of '67,$179,+36.6%,-18.3%,1,$179,"$7,305",11,-,False,False
49,47,Chappaquiddick,$76,-87.7%,-57.1%,5,$15,"$17,389,937",95,Entertainment Studios Motion Pictures,False,False
