TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Night at the Museum: Battle of the Smithsonian,"$3,067,773",<0.1%,-,4096,$748,"$79,796,400",7,Twentieth Century Fox,False,False
2,2,Terminator Salvation,"$2,657,056",-6.9%,-80.1%,3530,$752,"$74,516,559",8,Warner Bros.,False,False
3,3,Angels & Demons,"$1,918,936",-1.3%,-26.7%,3527,$544,"$93,560,099",14,Sony Pictures Releasing,False,False
4,4,Star Trek,"$1,871,777",+3.9%,-37.2%,4053,$461,"$196,700,157",21,Paramount Pictures,False,False
5,5,X-Men Origins: Wolverine,"$588,428",+3.5%,-27.4%,3183,$184,"$166,970,335",28,Twentieth Century Fox,False,False
6,6,Dance Flick,"$536,814",+2.9%,-,2450,$219,"$14,341,271",7,Paramount Pictures,False,False
7,7,Ghosts of Girlfriends Past,"$401,379",+3.9%,-26.4%,2255,$177,"$48,110,378",28,Warner Bros.,False,False
8,8,Obsessed,"$166,588",+2.8%,-42.2%,1603,$103,"$66,843,480",35,Screen Gems,False,False
9,9,Monsters vs. Aliens,"$129,656",-1.1%,-30.2%,1434,$90,"$194,101,824",63,DreamWorks,False,False
10,10,17 Again,"$95,276",+0.9%,-48.6%,1107,$86,"$60,894,341",42,Warner Bros.,False,False
11,11,The Soloist,"$87,368",+5.7%,-55.7%,654,$133,"$29,766,408",35,DreamWorks,False,False
12,12,Under the Sea 3D,"$77,913",+7.5%,+7.2%,40,"$1,947","$8,609,349",105,Warner Bros.,False,False
13,13,Earth,"$69,163",+2.6%,-64.1%,619,$111,"$30,818,228",37,Walt Disney Studios Motion Pictures,False,False
14,14,Next Day Air,"$56,639",-4%,-51.5%,542,$104,"$9,276,634",21,Summit Entertainment,False,False
15,15,Hannah Montana: The Movie,"$45,343",+15.3%,-45%,628,$72,"$77,127,521",49,Walt Disney Studios Motion Pictures,False,False
16,16,The Brothers Bloom,"$38,327",+6.1%,+472%,52,$737,"$732,159",14,Summit Entertainment,False,False
17,17,"I Love You, Man","$33,622",+3%,+38%,274,$122,"$71,210,782",70,DreamWorks,False,False
18,19,Fast & Furious,"$30,090",+12.9%,-20.2%,378,$79,"$153,703,600",56,Universal Pictures,False,False
19,18,State of Play,"$29,075",+5.1%,-48.5%,278,$104,"$36,373,250",42,Universal Pictures,False,False
20,22,Knowing,"$21,152",+20%,-22.1%,264,$80,"$79,267,172",70,Summit Entertainment,False,False
21,20,Is Anybody There?,"$20,816",+0.6%,+6.6%,136,$153,"$1,631,187",42,-,False,False
22,21,Sunshine Cleaning,"$18,432",+4%,-24.4%,147,$125,"$11,582,286",77,Overture Films,False,False
23,23,Fighting,"$15,150",-1%,-64.9%,253,$59,"$22,747,485",35,Universal Pictures,False,False
24,24,Sin Nombre,"$10,351",-3.9%,-10.6%,62,$166,"$2,317,771",70,Focus Features,False,False
25,25,Taken,"$9,670",+4.1%,-37.6%,154,$62,"$144,812,788",119,Twentieth Century Fox,False,False
26,26,Gran Torino,"$8,080",+16%,-27.7%,203,$39,"$147,981,404",168,Warner Bros.,False,False
27,28,The Limits of Control,"$7,559",+24.9%,+25%,20,$377,"$288,184",28,Focus Features,False,False
28,27,Adventureland,"$5,894",-11.4%,-43.6%,69,$85,"$16,044,025",56,Miramax,False,False
29,30,Observe and Report,"$5,137",+22%,-65.1%,38,$135,"$23,653,351",49,Warner Bros.,False,False
30,29,Goodbye Solo,"$5,074",+10.3%,+13.2%,26,$195,"$523,657",63,Roadside Attractions,False,False
31,31,Duplicity,"$4,620",+15.9%,-36.4%,66,$70,"$40,572,825",70,Universal Pictures,False,False
32,32,Hotel for Dogs,"$3,913",+4.2%,-19%,101,$38,"$73,034,460",133,DreamWorks,False,False
33,33,Dragonball Evolution,"$3,703",+26.9%,+36.7%,42,$88,"$9,326,925",49,Twentieth Century Fox,False,False
34,34,Coraline,"$3,310",+29%,-18.2%,49,$67,"$75,177,370",112,Focus Features,False,False
35,35,Watchmen,"$1,953",-15.8%,-74%,45,$43,"$107,509,799",84,Warner Bros.,False,False
36,37,The Boys: The Sherman Brothers' Story,"$1,843",+10.4%,-,5,$368,"$25,356",7,Walt Disney Studios Motion Pictures,False,False
37,38,He's Just Not That Into You,"$1,757",+9.9%,-46.6%,22,$79,"$93,929,200",112,Warner Bros.,False,False
38,-,Throw Down Your Heart,$784,-,-,1,$784,"$44,959",77,Argot Pictures,False,False
39,40,Battle for Terra,$706,+19.9%,-39%,14,$50,"$1,618,410",28,Lionsgate,False,False
40,36,Pressure Cooker,$495,-76.8%,-,1,$495,"$2,625",2,-,False,False
41,39,Not Forgotten,$470,-38.6%,+9.3%,4,$117,"$49,683",28,Anchor Bay Films,False,False
