TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Friday the 13th,"$6,986,233",-51.1%,-,3105,"$2,249","$40,570,365",3,Warner Bros.,False,False
2,3,Taken,"$5,261,989",-42%,+1.2%,3109,"$1,692","$77,660,012",17,Twentieth Century Fox,False,False
3,2,He's Just Not That Into You,"$5,167,746",-44.7%,-19.6%,3175,"$1,627","$54,986,933",10,Warner Bros.,False,False
4,4,Coraline,"$5,069,642",-24.4%,-2.8%,2320,"$2,185","$35,019,078",10,Focus Features,False,False
5,5,Confessions of a Shopaholic,"$4,245,780",-34.1%,-,2507,"$1,693","$15,066,360",3,Walt Disney Studios Motion Pictures,False,False
6,6,Paul Blart: Mall Cop,"$3,173,203",-41.6%,+8.6%,2965,"$1,070","$109,797,819",31,Sony Pictures Releasing,False,False
7,7,The International,"$2,597,857",-37.2%,-,2364,"$1,098","$9,331,739",3,Sony Pictures Releasing,False,False
8,8,The Pink Panther 2,"$2,579,424",-36.3%,-13.7%,3245,$794,"$21,834,470",10,Sony Pictures Releasing,False,False
9,9,Slumdog Millionaire,"$2,321,535",-32.6%,+19.9%,1634,"$1,420","$86,680,723",96,Fox Searchlight Pictures,False,False
10,11,Push,"$1,835,922",-44.3%,-25.1%,2313,$793,"$19,257,450",10,Summit Entertainment,False,False
11,10,Gran Torino,"$1,806,738",-45.4%,-3.9%,2303,$784,"$128,631,419",66,Warner Bros.,False,False
12,13,Hotel for Dogs,"$1,493,302",-28.1%,-15.6%,2207,$676,"$60,320,496",31,DreamWorks,False,False
13,12,The Uninvited,"$920,319",-56.7%,-29.2%,1803,$510,"$23,713,227",17,DreamWorks,False,False
14,15,The Reader,"$778,936",-18.4%,+19.4%,742,"$1,049","$19,157,194",68,The Weinstein Company,False,False
15,14,Underworld: Rise of the Lycans,"$672,780",-42.1%,-43.3%,1224,$549,"$43,463,630",24,Screen Gems,False,False
16,17,The Wrestler,"$633,461",-23%,+1.2%,667,$949,"$18,751,411",61,Fox Searchlight Pictures,False,False
17,18,The Curious Case of Benjamin Button,"$486,469",-38.5%,-17.7%,909,$535,"$122,256,143",53,Paramount Pictures,False,False
18,19,New in Town,"$353,308",-54.7%,-53.4%,1022,$345,"$14,298,188",17,Lionsgate,False,False
19,20,Revolutionary Road,"$330,875",-25%,-27.5%,511,$647,"$20,319,509",52,Paramount Vantage,False,False
20,21,Milk,"$330,617",-10.3%,-2.3%,387,$854,"$26,542,976",82,Focus Features,False,False
21,16,My Bloody Valentine,"$310,108",-62.9%,-38.8%,532,$582,"$50,554,146",31,Lionsgate,False,False
22,24,Under the Sea 3D,"$255,253",-16.3%,-,49,"$5,209","$661,185",3,Warner Bros.,False,False
23,22,Defiance,"$233,975",-30.6%,-38.7%,442,$529,"$26,366,732",47,Paramount Vantage,False,False
24,25,Doubt,"$222,685",-16.1%,+4.6%,326,$683,"$30,022,601",66,Miramax,False,False
25,23,Twilight,"$218,681",-28.5%,+66.9%,460,$475,"$188,615,708",87,Summit Entertainment,False,False
26,28,Frost/Nixon,"$191,700",-13.5%,-11.9%,270,$710,"$16,432,026",73,Universal Pictures,False,False
27,27,Inkheart,"$148,209",-34%,-63.8%,391,$379,"$15,613,277",24,Warner Bros.,False,False
28,26,Bride Wars,"$134,307",-43.5%,-60.9%,449,$299,"$57,096,515",38,Twentieth Century Fox,False,False
29,29,Marley & Me,"$123,797",-32%,-8.6%,334,$370,"$141,060,468",53,Twentieth Century Fox,False,False
