TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,-,2012,"$23,441,334",-,-,3404,"$6,886","$23,441,334",1,Sony Pictures Releasing,True,False
2,1,A Christmas Carol,"$5,586,189",+264.2%,-37.1%,3683,"$1,516","$46,550,033",8,Walt Disney Studios Motion Pictures,False,False
3,2,The Men Who Stare at Goats,"$1,942,167",+136.6%,-58.2%,2453,$791,"$19,118,464",8,Overture Films,False,False
4,11,Precious,"$1,904,375","+1,032.5%",+224%,174,"$10,944","$4,728,927",8,Lionsgate,False,False
5,4,The Fourth Kind,"$1,772,005",+218.6%,-64.5%,2530,$700,"$17,616,300",8,Universal Pictures,False,False
6,3,This Is It,"$1,529,754",+95%,-62%,3037,$503,"$63,641,130",17,Sony Pictures Releasing,False,False
7,6,Paranormal Activity,"$1,498,580",+231.8%,-47.7%,2712,$552,"$101,145,347",50,Paramount Pictures,False,False
8,7,Couples Retreat,"$1,417,585",+242.2%,-30.1%,2509,$565,"$99,297,975",36,Universal Pictures,False,False
9,5,Law Abiding Citizen,"$1,258,763",+138.5%,-33.2%,2071,$607,"$64,652,888",29,Overture Films,False,False
10,8,The Box,"$1,146,165",+182.2%,-59.7%,2635,$434,"$11,167,419",8,Warner Bros.,False,False
11,-,Pirate Radio,"$884,240",-,-,882,"$1,002","$884,240",1,Focus Features,True,False
12,9,Where the Wild Things Are,"$628,772",+143.4%,-47.1%,2090,$300,"$71,651,045",29,Warner Bros.,False,False
13,19,The Boondock Saints II: All Saints Day,"$399,155",+813.5%,+179.1%,251,"$1,590","$1,860,635",15,Apparition,False,False
14,13,Astro Boy,"$327,758",+187.8%,-40%,1354,$242,"$16,590,148",22,Summit Entertainment,False,False
15,15,The Stepfather,"$306,130",+227.6%,-49.7%,858,$356,"$28,271,934",29,Screen Gems,False,False
16,10,Amelia,"$286,445",+58.3%,-50.5%,830,$345,"$12,506,172",22,Fox Searchlight Pictures,False,False
17,12,Saw VI,"$177,577",+20.9%,-75%,777,$228,"$27,173,183",22,Lionsgate,False,False
18,16,A Serious Man,"$165,089",+131.3%,-28.5%,240,$687,"$6,342,686",43,Focus Features,False,False
19,14,Zombieland,"$158,563",+50.4%,-61.1%,511,$310,"$74,225,567",43,Sony Pictures Releasing,False,False
20,18,Cirque du Freak: The Vampire's Assistant,"$83,335",+17.4%,-73.9%,520,$160,"$13,498,340",22,Universal Pictures,False,False
21,17,Cloudy with a Chance of Meatballs,"$79,017",+11%,-75.4%,348,$227,"$121,808,804",57,Sony Pictures Releasing,False,False
22,-,Fantastic Mr. Fox,"$71,614",-,-,4,"$17,903","$71,614",1,Twentieth Century Fox,True,False
23,31,The Informant!,"$42,076",+387.1%,+32.5%,247,$170,"$33,007,887",57,Warner Bros.,False,False
24,20,Inglourious Basterds,"$40,775",+44%,-34.7%,233,$175,"$120,042,907",85,The Weinstein Company,False,False
25,29,All About Steve,"$28,629",+198.7%,-11.3%,142,$201,"$33,679,341",71,Twentieth Century Fox,False,False
26,28,The Hangover,"$27,950",+182.4%,-22.2%,130,$215,"$277,017,402",162,Warner Bros.,False,False
27,23,Good Hair,"$27,575",+80%,-57.2%,89,$309,"$3,934,332",36,Roadside Attractions,False,False
28,25,The Invention of Lying,"$25,196",+81.8%,-57.9%,119,$211,"$18,046,395",43,Warner Bros.,False,False
29,24,"New York, I Love You","$25,065",+65.6%,-35.4%,47,$533,"$1,324,856",29,Vivendi Entertainment,False,False
30,26,The Time Traveler's Wife,"$22,419",+117.2%,-38.3%,121,$185,"$63,287,977",92,Warner Bros.,False,False
31,22,Under the Sea 3D,"$22,253",+27.1%,-10.4%,30,$741,"$18,588,906",274,Warner Bros.,False,False
32,35,Shorts,"$21,257",+251.6%,-34.1%,172,$123,"$20,655,199",85,Warner Bros.,False,False
33,21,Capitalism: A Love Story,"$20,574",-5%,-51.6%,129,$159,"$14,136,063",52,Overture Films,False,False
34,30,Whip It,"$19,988",+115.9%,-34.3%,116,$172,"$12,876,108",43,Fox Searchlight Pictures,False,False
35,32,9,"$18,112",+111.8%,-31%,111,$163,"$31,573,465",66,Focus Features,False,False
36,48,Halloween II,"$17,222","+2,015.7%",+220.6%,130,$132,"$33,291,530",78,-,False,False
37,33,Harry Potter and the Half-Blood Prince,"$15,693",+106.7%,-34.5%,95,$165,"$301,762,841",122,Warner Bros.,False,False
38,-,Julie & Julia,"$15,589",-,-37.3%,72,$216,"$93,683,882",99,Sony Pictures Releasing,False,False
39,27,Bright Star,"$14,462",+45.4%,-29.6%,72,$200,"$4,305,472",59,Apparition,False,False
40,-,The Hurt Locker,"$12,629",-,-,138,$91,"$12,620,108",141,Summit Entertainment,False,False
41,39,The Maid,"$11,899",+261.8%,+26%,16,$743,"$229,060",29,Elephant Eye Films,False,False
42,36,The Final Destination,"$9,512",+61.1%,-47.9%,82,$116,"$66,410,909",78,Warner Bros.,False,False
43,34,The September Issue,"$9,152",+35.3%,-23.2%,23,$397,"$3,707,038",78,Roadside Attractions,False,False
44,41,Gentlemen Broncos,"$8,364",+306%,-26.4%,18,$464,"$68,318",15,Fox Searchlight Pictures,False,False
45,38,More Than a Game,"$8,022",+140.3%,-14.9%,56,$143,"$909,532",43,Lionsgate,False,False
46,-,Dare,"$4,574",-,-,2,"$2,287","$4,574",1,Image Entertainment,True,False
47,44,Fame,"$4,439",+193.2%,-13.9%,39,$113,"$22,357,205",50,Metro-Goldwyn-Mayer (MGM),False,False
48,40,Pandorum,"$3,635",+75.9%,-13.4%,44,$82,"$10,318,829",50,Overture Films,False,False
49,46,Bicycle Thieves2008 Re-release,"$2,354",+77%,-5.6%,1,"$2,354","$20,602",14,Corinth Films,False,False
50,42,My One and Only,"$2,157",+15%,-45.3%,10,$215,"$2,468,831",85,Freestyle Releasing,False,False
51,-,Oh My God,"$2,108",-,-,3,$702,"$2,108",1,Mitropoulos Films,True,False
52,-,Mystery Team,"$1,866",-,-,1,"$1,866","$23,263",78,Roadside Attractions,False,False
53,49,That Evening Sun,"$1,124",+80.1%,-60.5%,1,"$1,124","$11,021",8,Freestyle Releasing,False,False
54,52,The Polar Express2009 IMAX Release,"$1,089",+450%,+56.7%,2,$544,"$5,163",8,Warner Bros.,False,False
55,45,Motherhood,$363,-74.9%,-89.3%,8,$45,"$92,269",22,Freestyle Releasing,False,False
56,51,The Cove,$276,-23.3%,-15.6%,6,$46,"$842,537",106,Roadside Attractions,False,False
