TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Exodus: Gods and Kings,"$6,001,967",-35.1%,-,3503,"$1,713","$24,115,934",3,Twentieth Century Fox,False,False
2,2,The Hunger Games: Mockingjay - Part 1,"$3,215,453",-43.9%,-41%,3731,$861,"$276,884,991",24,Lionsgate,False,False
3,3,Penguins of Madagascar,"$2,129,269",-39.2%,-33.5%,3667,$580,"$58,745,002",19,Twentieth Century Fox,False,False
4,4,Big Hero 6,"$1,753,003",-39.9%,-23.9%,2943,$595,"$185,235,910",38,-,False,False
5,6,Interstellar,"$1,512,431",-38%,-27%,2692,$561,"$166,752,480",40,Paramount Pictures,False,False
6,5,Top Five,"$1,503,452",-47.7%,-,979,"$1,535","$6,896,593",3,Paramount Pictures,False,False
7,7,Horrible Bosses 2,"$1,132,161",-43.8%,-43.9%,3202,$353,"$43,582,371",19,Warner Bros.,False,False
8,8,Dumb and Dumber To,"$669,195",-49.4%,-35.3%,2842,$235,"$82,145,680",31,Universal Pictures,False,False
9,9,The Theory of Everything,"$631,607",-42%,-7.5%,1220,$517,"$17,089,434",38,Focus Features,False,False
10,10,Wild,"$424,478",-32.4%,+140.9%,116,"$3,659","$2,404,183",12,Fox Searchlight Pictures,False,False
11,11,Birdman or (The Unexpected Virtue of Ignorance),"$334,808",-43.9%,+12.9%,606,$552,"$20,778,965",59,Fox Searchlight Pictures,False,False
12,12,Gone Girl,"$253,868",-46.9%,-26.6%,963,$263,"$164,408,908",73,Twentieth Century Fox,False,False
13,13,The Imitation Game,"$245,015",-31.4%,+108.2%,25,"$9,800","$1,974,647",17,The Weinstein Company,False,False
14,17,The Pyramid,"$166,126",-33.9%,-53.6%,685,$242,"$2,383,665",10,Twentieth Century Fox,False,False
15,14,St. Vincent,"$162,056",-50.4%,-37.1%,1012,$160,"$41,877,049",66,The Weinstein Company,False,False
16,15,Fury,"$158,856",-40.7%,-34.8%,726,$218,"$84,273,208",59,-,False,False
17,16,Nightcrawler,"$153,788",-42%,-45.2%,798,$192,"$31,087,115",45,Open Road Films (II),False,False
18,18,The Homesman,"$99,263",-38.2%,-20.4%,222,$447,"$1,640,949",31,Saban Films,False,False
19,20,Inherent Vice,"$86,666",-21.6%,-,5,"$17,333","$328,184",3,Warner Bros.,False,False
20,19,Beyond the Lights,"$68,522",-53%,-59%,459,$149,"$14,323,343",31,Relativity Media,False,False
21,23,The Book of Life,"$54,565",-30.2%,+14.6%,228,$239,"$48,750,137",59,Twentieth Century Fox,False,False
22,22,The Equalizer,"$50,945",-42.7%,-36%,262,$194,"$100,769,141",80,-,False,False
23,25,John Wick,"$48,420",-32.8%,-44.5%,260,$186,"$42,404,946",52,Lionsgate,False,False
24,21,The Maze Runner,"$46,038",-49.1%,-21.7%,241,$191,"$101,620,746",87,Twentieth Century Fox,False,False
25,24,The Judge,"$37,349",-51.8%,-42.6%,303,$123,"$46,752,535",66,Warner Bros.,False,False
26,28,Citizenfour,"$34,734",-22.3%,-20.7%,105,$330,"$1,908,185",52,RADiUS-TWC,False,False
27,26,Ouija,"$31,185",-53.8%,-32.2%,250,$124,"$50,820,940",52,Universal Pictures,False,False
28,27,The Boxtrolls,"$30,658",-37.3%,-29.3%,223,$137,"$50,226,995",80,Focus Features,False,False
29,29,Rosewater,"$16,708",-46%,-63.9%,115,$145,"$3,040,662",31,Open Road Films (II),False,False
30,30,Kirk Cameron's Saving Christmas,"$13,374",-41.3%,-61.2%,180,$74,"$2,745,116",31,The Samuel Goldwyn Company,False,False
31,31,The Best of Me,"$8,707",-50.5%,-38%,90,$96,"$26,584,550",59,Relativity Media,False,False
32,33,Annabelle,"$6,915",-45%,-42.7%,101,$68,"$84,263,837",73,Warner Bros.,False,False
33,34,Dear White People,"$6,792",-31%,-51.9%,29,$234,"$4,327,572",59,Roadside Attractions,False,False
34,32,The Good Lie,"$6,628",-47.7%,+15.6%,35,$189,"$2,652,698",73,Warner Bros.,False,False
35,36,The Tale of The Princess Kaguya,"$6,584",-22.4%,+15.7%,19,$346,"$529,480",59,GKIDS,False,False
36,35,Island of Lemurs: Madagascar,"$5,877",-32.1%,-27.5%,40,$146,"$8,298,553",255,Warner Bros.,False,False
37,38,Dolphin Tale 2,"$3,127",-40.8%,-61.2%,66,$47,"$42,019,483",94,Warner Bros.,False,False
38,40,Elsa & Fred,"$2,589",-32.2%,-48.6%,17,$152,"$269,069",38,Millennium Entertainment,False,False
39,39,Mommy,"$2,575",-35.1%,-33.4%,13,$198,"$3,272,446",87,Roadside Attractions,False,False
40,41,Hector and the Search for Happiness,"$1,953",-8.1%,-96%,22,$88,"$1,121,961",87,Relativity Media,False,False
41,42,The Passionate Thief,"$1,721",+2.9%,-39.1%,1,"$1,721","$18,404",10,Rialto Pictures,False,False
42,37,Meet the Mormons,$720,-90.6%,-52.6%,34,$21,"$5,966,881",66,Purdie Distribution,False,False
43,43,The Skeleton Twins,$564,-58.9%,-62.8%,7,$80,"$5,279,678",94,Roadside Attractions,False,False
44,45,Keep on Keepin' On,$161,-19.5%,-92.3%,3,$53,"$162,530",87,RADiUS-TWC,False,False
45,44,Hiroshima Mon Amour2014 Re-release,$71,-90.8%,-91.4%,2,$35,"$87,642",59,Rialto Pictures,False,False
