TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Identity Thief,"$8,653,455",-41.6%,-,3141,"$2,755","$34,551,025",3,Universal Pictures,False,False
2,2,Warm Bodies,"$2,762,229",-48.1%,-13.4%,3009,$917,"$36,481,172",10,Lionsgate,False,False
3,3,Side Effects,"$2,387,111",-42%,-,2605,$916,"$9,303,145",3,Open Road Films (II),False,False
4,5,Hansel & Gretel: Witch Hunters,"$1,714,824",-35.2%,-7%,3285,$522,"$43,836,018",17,Paramount Pictures,False,False
5,4,Silver Linings Playbook,"$1,712,863",-44.9%,+46.5%,2809,$609,"$89,519,510",87,The Weinstein Company,False,False
6,7,Zero Dark Thirty,"$1,111,772",-42.5%,+65.7%,2562,$433,"$83,567,450",54,-,False,False
7,6,Mama,"$963,725",-53.5%,+1.9%,2677,$360,"$63,951,810",24,Universal Pictures,False,False
8,8,Argo,"$667,703",-42.1%,+110.9%,1405,$475,"$123,608,957",122,Warner Bros.,False,False
9,9,Django Unchained,"$664,572",-38.7%,+47.8%,1502,$442,"$154,516,627",48,The Weinstein Company,False,False
10,10,Bullet to the Head,"$653,743",-28.1%,-18.6%,2404,$271,"$8,269,214",10,Warner Bros.,False,False
11,14,Top Gun2013 3D Release,"$647,583",-18.1%,-,300,"$2,158","$1,965,737",3,Paramount Pictures,False,False
12,12,Parker,"$561,975",-32.6%,-4.4%,2004,$280,"$15,848,064",17,FilmDistrict,False,False
13,13,Life of Pi,"$555,150",-32%,+43%,924,$600,"$108,530,249",82,Twentieth Century Fox,False,False
14,11,Lincoln,"$541,764",-40.1%,+33.6%,1517,$357,"$173,621,006",94,Walt Disney Studios Motion Pictures,False,False
15,16,The Hobbit: An Unexpected Journey,"$455,974",-35.1%,+15.7%,1001,$455,"$298,333,426",59,Warner Bros.,False,False
16,15,Les Misérables,"$455,835",-37%,-1.3%,1447,$315,"$143,983,705",48,Universal Pictures,False,False
17,18,Wreck-It Ralph,"$348,787",-32.3%,+125.4%,757,$460,"$184,414,532",101,Walt Disney Studios Motion Pictures,False,False
18,17,Parental Guidance,"$311,863",-39.9%,+6.3%,1219,$255,"$74,344,256",48,Twentieth Century Fox,False,False
19,20,Quartet,"$286,473",-33%,-3.5%,244,"$1,174","$5,000,417",31,The Weinstein Company,False,False
20,19,The Impossible,"$278,741",-36.4%,+18.7%,739,$377,"$16,668,338",52,Lionsgate,False,False
21,21,Gangster Squad,"$244,975",-38.5%,-4.4%,942,$260,"$44,807,911",31,Warner Bros.,False,False
22,22,A Haunted House,"$209,012",-45%,-11.1%,913,$228,"$39,000,451",31,Open Road Films (II),False,False
23,23,Stand Up Guys,"$190,889",-32.7%,-21.9%,670,$284,"$2,766,674",10,Lionsgate,False,False
24,24,Broken City,"$137,415",-39.9%,-30.5%,755,$182,"$19,233,000",24,Twentieth Century Fox,False,False
25,25,Skyfall,"$110,236",-47.2%,+36.4%,370,$297,"$303,460,116",94,-,False,False
26,27,Rise of the Guardians,"$87,817",-27%,+19.4%,275,$319,"$100,865,908",82,DreamWorks,False,False
27,26,Movie 43,"$66,495",-48.2%,-71.5%,777,$85,"$8,661,180",17,Relativity Media,False,False
28,28,Jack Reacher,"$54,079",-51.3%,+36.5%,307,$176,"$79,116,944",52,Paramount Pictures,False,False
29,30,Hotel Transylvania,"$49,243",-38.4%,-13.1%,191,$257,"$148,151,975",136,-,False,False
30,29,This Is 40,"$43,090",-54.4%,-14.4%,278,$155,"$67,255,620",52,Universal Pictures,False,False
