TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Prisoners,"$1,603,054",-26.4%,-,3260,$491,"$26,255,777",6,Warner Bros.,False,False
2,2,Insidious: Chapter 2,"$594,303",-24%,-52.1%,3155,$188,"$62,202,935",13,FilmDistrict,False,False
3,3,The Family,"$580,965",-21.6%,-43.5%,3091,$187,"$27,511,789",13,Relativity Media,False,False
4,8,The Wizard of Oz2013 3D/IMAX Release,"$387,789",+10.5%,-,318,"$1,219","$4,143,966",6,Warner Bros.,False,False
5,4,Lee Daniels' The Butler,"$373,427",-17.4%,-25.5%,2931,$127,"$107,510,612",41,The Weinstein Company,False,False
6,5,We're the Millers,"$373,221",-14.9%,-17.6%,3003,$124,"$139,212,349",50,Warner Bros.,False,False
7,6,Riddick,"$302,505",-19.9%,-44.5%,3022,$100,"$38,162,475",20,Universal Pictures,False,False
8,7,Instructions Not Included,"$277,551",-21.8%,-6.8%,978,$283,"$34,918,696",27,Lionsgate,False,False
9,9,Battle of the Year,"$183,396",-35.9%,-,2008,$91,"$5,293,383",6,Screen Gems,False,False
10,10,Elysium,"$135,988",-17.8%,-34.2%,1392,$97,"$91,225,189",48,TriStar Pictures,False,False
11,11,Planes,"$133,951",-4.6%,-13.4%,2446,$54,"$86,799,350",48,Walt Disney Studios Motion Pictures,False,False
12,12,Percy Jackson: Sea of Monsters,"$75,247",-19.4%,-10.3%,1473,$51,"$64,505,129",50,Twentieth Century Fox,False,False
13,13,The World's End,"$68,979",-11.1%,-46.8%,832,$82,"$25,437,102",34,Focus Features,False,False
14,14,2 Guns,"$63,920",-10.5%,-25.8%,752,$85,"$74,659,905",55,Universal Pictures,False,False
15,15,Despicable Me 2,"$60,240",-14.3%,-0.2%,1004,$60,"$360,926,600",85,Universal Pictures,False,False
16,18,Thanks for Sharing,"$53,357",-3.4%,-,269,$198,"$694,400",6,Roadside Attractions,False,False
17,16,One Direction: This Is Us,"$48,552",-24%,-37%,1706,$28,"$28,618,739",27,TriStar Pictures,False,False
18,17,The Mortal Instruments: City of Bones,"$46,767",-18%,-43%,1047,$44,"$30,806,540",36,Screen Gems,False,False
19,19,The Wolverine,"$35,790",-19.2%,-20.2%,462,$77,"$131,000,157",62,Twentieth Century Fox,False,False
20,20,The Conjuring,"$35,589",-11%,-24.9%,561,$63,"$136,735,730",69,Warner Bros.,False,False
21,21,The Spectacular Now,"$35,088",-7.2%,-48.6%,571,$61,"$6,506,309",55,A24,False,False
22,22,The Grandmaster,"$27,440",-0.9%,-44.5%,473,$58,"$6,376,228",34,The Weinstein Company,False,False
23,23,The Heat,"$23,373",-10.6%,-0.9%,310,$75,"$158,743,160",90,Twentieth Century Fox,False,False
24,24,Salinger,"$21,251",-0.5%,+303.3%,138,$153,"$420,947",20,The Weinstein Company,False,False
25,25,Enough Said,"$20,542",-2.9%,-25.9%,4,"$5,135","$347,479",8,Fox Searchlight Pictures,False,False
26,26,In a World...,"$20,296",-1%,-27.8%,144,$140,"$2,464,808",48,Roadside Attractions,False,False
27,28,Rush,"$19,630",-0.6%,-,5,"$3,926","$244,810",6,Universal Pictures,False,False
28,29,Turbo,"$18,400",-5.9%,-23.8%,333,$55,"$81,695,723",71,Twentieth Century Fox,False,False
29,31,Getaway,"$16,223",-7%,-69.4%,515,$31,"$10,454,809",27,Warner Bros.,False,False
30,27,"The Way, Way Back","$15,771",-20.8%,-36%,324,$48,"$21,218,454",83,Fox Searchlight Pictures,False,False
31,32,Pacific Rim,"$14,905",-6.9%,-15.5%,202,$73,"$101,497,747",76,Warner Bros.,False,False
32,30,You're Next,"$14,275",-20.6%,-65.7%,532,$26,"$18,365,119",34,Lionsgate,False,False
33,33,World War Z,"$13,673",-11.7%,-45.5%,203,$67,"$202,177,951",97,Paramount Pictures,False,False
34,34,Kick-Ass 2,"$11,055",-15.4%,-46.3%,201,$55,"$28,785,885",41,Universal Pictures,False,False
35,35,Jobs,"$9,164",-15%,-51.3%,152,$60,"$16,081,200",41,Open Road Films (II),False,False
36,37,RED 2,"$8,523",-2.9%,-27.2%,178,$47,"$52,796,178",69,Lionsgate,False,False
37,36,The Ultimate Life,"$7,682",-12.7%,-64.4%,184,$41,"$1,285,773",20,High Top Releasing,False,False
38,38,Paranoia,"$6,712",-16.1%,+122%,88,$76,"$7,350,332",41,Relativity Media,False,False
39,40,Fruitvale Station,"$6,347",-7.6%,-29.3%,103,$61,"$15,980,307",76,The Weinstein Company,False,False
40,41,Now You See Me,"$6,308",-6.5%,-35.5%,133,$47,"$117,717,657",118,Lionsgate,False,False
41,39,R.I.P.D.,"$6,055",-19.8%,-26.6%,151,$40,"$33,612,060",69,Universal Pictures,False,False
42,45,Much Ado About Nothing,"$4,191",+127.2%,+368.3%,18,$232,"$4,313,305",111,Roadside Attractions,False,False
43,42,Closed Circuit,"$3,844",-29.6%,-85.2%,105,$36,"$5,746,234",29,Focus Features,False,False
44,43,C.O.G.,"$2,862",-9.1%,-,20,$143,"$41,261",6,Screen Media Films,False,False
45,44,Populaire,"$2,822",+2.4%,-31.4%,20,$141,"$113,982",20,The Weinstein Company,False,False
46,47,Unfinished Song,"$1,994",+105.8%,-23.5%,23,$86,"$1,685,657",97,The Weinstein Company,False,False
47,46,Haute Cuisine,"$1,936",+14.6%,-,3,$645,"$20,965",6,The Weinstein Company,False,False
48,48,Chennai Express,$819,+18.9%,-8.8%,19,$43,"$5,297,183",49,UTV Motion Pictures,False,False
49,-,Antoine and Antoinette,$656,-,-,1,$656,$656,1,Rialto Pictures,True,False
50,50,The Lovely Month of May,$506,+31.4%,-75.3%,2,$253,"$21,469",13,Icarus Films,False,False
51,52,Stories We Tell,$286,+5.9%,+460.8%,5,$57,"$1,597,622",139,Roadside Attractions,False,False
52,51,The Revolution Has Begun,$170,-50%,-85.1%,9,$18,"$737,602",27,UTV Motion Pictures,False,False
53,55,I Spit on Your Grave 2,$126,+72.6%,-,1,$126,$768,6,Anchor Bay Films,False,False
54,53,Jayne Mansfield's Car,$122,-23.3%,-82.8%,6,$20,"$14,676",13,Anchor Bay Films,False,False
55,54,Savannah,$122,-11.6%,-39.6%,4,$30,"$37,105",34,Ketchup Entertainment,False,False
56,49,Passion,$121,-77.9%,-85.3%,4,$30,"$92,137",27,Entertainment One,False,False
57,-,Far from Vietnam,$105,-,-,1,$105,"$3,418",29,Icarus Films,False,False
