TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Evil Dead,"$1,854,306",+8.8%,-,3025,$612,"$29,334,140",5,TriStar Pictures,False,False
2,2,G.I. Joe: Retaliation,"$1,584,991",+28.2%,-60.5%,3734,$424,"$89,259,359",13,Paramount Pictures,False,False
3,3,Jurassic Park2013 Re-release,"$1,316,225",+21.8%,-,2771,$475,"$21,017,060",5,Universal Pictures,False,False
4,4,The Croods,"$1,137,621",+17.4%,-70.6%,3879,$293,"$127,458,629",19,Twentieth Century Fox,False,False
5,5,Olympus Has Fallen,"$978,823",+32.2%,-40.8%,3059,$319,"$72,955,765",19,FilmDistrict,False,False
6,6,Temptation: Confessions of a Marriage Counselor,"$712,254",+8.8%,-61.1%,2047,$347,"$39,835,894",12,Lionsgate,False,False
7,7,Oz the Great and Powerful,"$539,873",+21.7%,-65.5%,2905,$185,"$213,590,410",33,Walt Disney Studios Motion Pictures,False,False
8,8,The Host,"$428,012",+34%,-58.6%,3202,$133,"$20,371,752",12,Open Road Films (II),False,False
9,9,The Call,"$345,478",+40%,-47.2%,2002,$172,"$46,073,623",26,TriStar Pictures,False,False
10,10,Admission,"$198,219",+46.2%,-54.6%,1407,$140,"$15,599,421",19,Focus Features,False,False
11,11,Spring Breakers,"$165,518",+37.6%,-58.9%,1072,$154,"$12,902,537",26,A24,False,False
12,12,The Place Beyond the Pines,"$74,843",+18.6%,+184.9%,30,"$2,494","$1,227,378",12,Focus Features,False,False
13,13,Identity Thief,"$68,855",+19.4%,-47%,721,$95,"$131,358,870",61,Universal Pictures,False,False
14,14,Silver Linings Playbook,"$55,398",+31.9%,-44.7%,524,$105,"$129,822,507",145,The Weinstein Company,False,False
15,16,Jack the Giant Slayer,"$50,078",+41.5%,-63%,502,$99,"$62,555,304",40,Warner Bros.,False,False
16,15,The Incredible Burt Wonderstone,"$49,535",+32%,-72.2%,535,$92,"$21,894,563",26,Warner Bros.,False,False
17,17,Quartet,"$42,934",+37.2%,-31.8%,252,$170,"$17,274,772",89,The Weinstein Company,False,False
18,18,Life of Pi,"$37,825",+40.2%,-38.1%,269,$140,"$123,985,378",140,Twentieth Century Fox,False,False
19,20,Safe Haven,"$30,410",+49.4%,-48.6%,360,$84,"$70,378,718",55,Relativity Media,False,False
20,21,The Sapphires,"$25,297",+26.2%,+250.1%,60,$421,"$489,326",19,The Weinstein Company,False,False
21,24,21 & Over,"$23,879",+52.9%,-45.9%,180,$132,"$25,318,725",40,Relativity Media,False,False
22,19,Warm Bodies,"$23,713",+7.2%,+46%,287,$82,"$65,629,853",68,Lionsgate,False,False
23,23,Snitch,"$21,031",+29.8%,-59.6%,304,$69,"$41,821,568",47,Lionsgate,False,False
24,25,Escape from Planet Earth,"$18,589",+33%,-69.6%,432,$43,"$54,473,030",54,The Weinstein Company,False,False
25,28,Django Unchained,"$17,914",+52.2%,-22.8%,183,$97,"$162,578,847",106,The Weinstein Company,False,False
26,26,A Good Day to Die Hard,"$17,595",+40.4%,-19.8%,225,$78,"$66,825,781",55,Twentieth Century Fox,False,False
