TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Rush Hour 3,"$4,493,000",-14%,-,3778,"$1,189","$58,820,000",5,New Line Cinema,False,True
2,2,The Bourne Ultimatum,"$3,336,205",-6.2%,-55.3%,3686,$905,"$138,444,055",12,Universal Pictures,False,False
3,3,The Simpsons Movie,"$1,575,580",-1.4%,-53.2%,3552,$443,"$155,555,996",19,Twentieth Century Fox,False,False
4,4,Stardust,"$1,227,772",-0.6%,-,2540,$483,"$11,632,666",5,Paramount Pictures,False,False
5,5,Hairspray,"$1,075,000",+6.5%,-39.6%,2805,$383,"$94,224,000",26,New Line Cinema,False,True
6,6,Underdog,"$875,111",+5.9%,-50.8%,3013,$290,"$26,344,778",12,Walt Disney Studios Motion Pictures,False,False
7,7,I Now Pronounce You Chuck & Larry,"$782,885",-0.2%,-49.9%,2799,$279,"$105,344,560",26,Universal Pictures,False,False
8,8,Harry Potter and the Order of the Phoenix,"$772,384",-1.1%,-45.8%,2585,$298,"$273,600,922",35,Warner Bros.,False,False
9,9,No Reservations,"$558,134",+11.4%,-46%,2053,$271,"$33,084,237",19,Warner Bros.,False,False
10,10,Daddy Day Camp,"$546,184",+16.2%,-,2332,$234,"$5,903,463",7,Revolution Studios,False,False
11,11,Transformers,"$419,713",-2.5%,-49.3%,1803,$232,"$303,719,648",43,DreamWorks,False,False
12,12,Becoming Jane,"$417,000",+3.2%,+174.3%,601,$693,"$5,324,000",12,Miramax,False,True
13,13,Hot Rod,"$393,691",-1.5%,-56.1%,2607,$151,"$11,809,855",12,Paramount Pictures,False,False
14,14,Ratatouille,"$376,427",+7.3%,-46.9%,1835,$205,"$194,142,699",47,Walt Disney Studios Motion Pictures,False,False
15,15,Bratz,"$228,640",+2.7%,-56.1%,1509,$151,"$8,018,033",12,Lionsgate,False,False
16,16,El cantante,"$120,826",-3.4%,-51.6%,537,$225,"$5,825,183",12,Picturehouse,False,False
17,17,Live Free or Die Hard,"$96,670",+12.4%,-64.9%,503,$192,"$132,071,238",49,Twentieth Century Fox,False,False
18,18,Skinwalkers,"$75,000",-5.1%,-,745,$100,"$708,000",5,After Dark Films,False,True
19,21,Ocean's Thirteen,"$47,725",+13.8%,+135.3%,321,$148,"$116,357,188",68,Warner Bros.,False,False
20,19,Evan Almighty,"$47,700",+11.1%,-20.7%,318,$150,"$97,989,520",54,Universal Pictures,False,False
21,24,Knocked Up,"$43,555",+10.7%,-30.5%,281,$155,"$146,925,445",75,Universal Pictures,False,False
22,22,Deep Sea,"$43,199",+8.2%,-7.3%,30,"$1,439","$31,370,329",530,Warner Bros.,False,False
23,20,Talk to Me,"$43,000",+2.4%,-38.6%,193,$222,"$3,595,000",33,Focus Features,False,True
24,23,Sicko,"$40,762",+3.2%,-50.1%,204,$199,"$23,329,577",54,Lionsgate,False,False
25,25,Rescue Dawn,"$38,700",+0.8%,-55.7%,403,$96,"$4,903,876",42,Metro-Goldwyn-Mayer (MGM),False,False
26,26,Once,"$35,011",+4.9%,-14.8%,124,$282,"$7,032,456",91,Fox Searchlight Pictures,False,False
27,27,Fantastic 4: Rise of the Silver Surfer,"$33,594",+9.3%,-33.8%,255,$131,"$130,852,424",61,Twentieth Century Fox,False,False
28,28,La Vie En Rose,"$29,167",+1.6%,-21.4%,130,$224,"$9,047,795",68,Picturehouse,False,False
29,29,Sunshine,"$27,863",+1.6%,-64.1%,116,$240,"$3,221,853",26,Fox Searchlight Pictures,False,False
30,31,Nancy Drew,"$21,252",+20.6%,-47.3%,189,$112,"$25,394,716",61,Warner Bros.,False,False
31,30,Who's Your Caddy?,"$19,297",-2.6%,-81.8%,311,$62,"$5,410,541",19,-,False,False
32,33,License to Wed,"$14,440",+11.8%,-50.5%,135,$106,"$42,920,813",43,Warner Bros.,False,False
33,32,1408,"$13,604",-1.4%,-53.8%,135,$100,"$70,945,472",54,-,False,False
34,34,Waitress,"$9,530",+22.9%,-18%,65,$146,"$18,717,058",105,Fox Searchlight Pictures,False,False
35,35,Rocket Science,"$7,087",+0.6%,-,6,"$1,181","$72,667",5,Picturehouse,False,False
36,36,Arctic Tale,"$3,352",+13.8%,-55.2%,24,$139,"$154,188",21,Paramount Vantage,False,False
37,37,Mr. Brooks,"$3,067",+6.1%,-62.9%,55,$55,"$28,482,177",75,Metro-Goldwyn-Mayer (MGM),False,False
38,38,A Mighty Heart,"$1,576",+35.9%,-69.3%,28,$56,"$9,165,268",54,Paramount Vantage,False,False
39,39,Introducing the Dwights,$416,+26.4%,-83.3%,6,$69,"$377,056",42,Warner Independent Pictures (WIP),False,False
