TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,-,Norbit,"$10,411,339",-,-,3136,"$3,319","$10,411,339",1,DreamWorks,True,False
2,-,Hannibal Rising,"$4,752,710",-,-,3003,"$1,582","$4,752,710",1,-,True,False
3,1,Because I Said So,"$2,757,805",+241.2%,-41.1%,2529,"$1,090","$19,342,395",8,Universal Pictures,False,False
4,2,The Messengers,"$2,328,200",+277.1%,-61.7%,2529,$920,"$19,852,218",8,Screen Gems,False,False
5,6,Epic Movie,"$1,276,315",+312.4%,-53.5%,2806,$454,"$32,300,484",15,Twentieth Century Fox,False,False
6,5,Night at the Museum,"$1,274,835",+293.8%,-24.4%,2702,$471,"$227,670,831",50,Twentieth Century Fox,False,False
7,3,Smokin' Aces,"$1,176,465",+125.2%,-46.4%,2199,$535,"$28,237,585",15,Universal Pictures,False,False
8,4,Pan's Labyrinth,"$968,972",+197.1%,-14.7%,1143,$847,"$24,010,746",43,Picturehouse,False,False
9,7,Dreamgirls,"$766,179",+148.3%,-34%,2284,$335,"$94,792,084",57,DreamWorks,False,False
10,11,Stomp the Yard,"$650,216",+229.7%,-47.3%,2045,$317,"$57,372,727",29,Screen Gems,False,False
11,9,The Pursuit of Happyness,"$629,318",+179.9%,-32%,1777,$354,"$158,766,393",57,Sony Pictures Releasing,False,False
12,8,The Queen,"$594,000",+117.6%,-21.4%,1564,$379,"$47,119,000",133,Miramax,False,True
13,13,Catch and Release,"$556,066",+210.4%,-40%,1561,$356,"$13,202,690",15,Sony Pictures Releasing,False,False
14,12,Letters from Iwo Jima,"$436,230",+142.7%,-14.4%,781,$558,"$8,642,700",52,Warner Bros.,False,False
15,15,Babel,"$423,999",+177%,-14.6%,919,$461,"$30,766,187",106,Paramount Vantage,False,False
16,14,Notes on a Scandal,"$396,686",+151.1%,-19.3%,649,$611,"$12,780,511",47,Fox Searchlight Pictures,False,False
17,17,The Last King of Scotland,"$333,171",+171.9%,-12.8%,540,$616,"$10,441,801",136,Fox Searchlight Pictures,False,False
18,10,The Departed,"$328,205",+66.2%,-52%,766,$428,"$129,730,741",127,Warner Bros.,False,False
19,16,Freedom Writers,"$299,999",+101.3%,-51.3%,1125,$266,"$35,032,829",36,Paramount Pictures,False,False
20,18,Children of Men,"$228,420",+131.3%,-36.4%,486,$470,"$33,343,593",47,Universal Pictures,False,False
21,19,Blood Diamond,"$207,054",+129.4%,-24.8%,451,$459,"$54,526,654",64,Warner Bros.,False,False
