TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,National Treasure,"$7,666,947",+51.5%,-39.6%,3243,"$2,364","$105,837,303",16,Walt Disney Studios Motion Pictures,False,False
2,2,Christmas with the Kranks,"$5,080,868",+59.2%,-40.5%,3416,"$1,487","$42,035,592",11,Revolution Studios,False,False
3,3,The Polar Express,"$4,634,949",+62.4%,-38.4%,3650,"$1,269","$92,839,111",25,Warner Bros.,False,False
4,5,The Incredibles,"$4,171,286",+78.3%,-53.8%,3178,"$1,312","$223,353,755",30,Walt Disney Studios Motion Pictures,False,False
5,6,The SpongeBob SquarePants Movie,"$3,574,924",+102.3%,-47%,3307,"$1,081","$65,895,142",16,Paramount Pictures,False,False
6,4,Closer,"$3,077,165",+11%,-,476,"$6,464","$5,848,299",2,Sony Pictures Releasing,False,False
7,7,Alexander,"$1,978,698",+36.2%,-61.3%,2445,$809,"$28,362,897",11,Warner Bros.,False,False
8,9,Finding Neverland,"$1,204,000",+34.7%,-34.8%,526,"$2,288","$10,957,000",23,Miramax,False,True
9,8,Bridget Jones: The Edge of Reason,"$1,192,170",+30.7%,-52.7%,2433,$490,"$35,664,195",23,Universal Pictures,False,False
10,10,Ray,"$897,855",+70.5%,-45.4%,1547,$580,"$67,328,220",37,Universal Pictures,False,False
11,12,Sideways,"$846,581",+68.6%,-28.8%,499,"$1,696","$12,024,896",44,Fox Searchlight Pictures,False,False
12,11,After the Sunset,"$727,000",+40.6%,-43.2%,1889,$384,"$26,313,000",23,New Line Cinema,False,True
13,13,The Grudge,"$521,482",+44.1%,-37.8%,1286,$405,"$109,010,807",44,Sony Pictures Releasing,False,False
14,14,Saw,"$385,898",+38.3%,-40.1%,937,$411,"$54,233,747",37,Lionsgate,False,False
15,15,Kinsey,"$341,826",+68.9%,-35.8%,190,"$1,799","$3,456,601",23,Fox Searchlight Pictures,False,False
16,16,House of Flying Daggers,"$155,000",+29.2%,-,15,"$10,333","$275,000",2,Sony Pictures Classics,False,True
17,17,Napoleon Dynamite,"$83,649",+24.5%,-15.1%,222,$376,"$43,684,856",177,Fox Searchlight Pictures,False,False
18,18,Friday Night Lights,"$79,135",+25.6%,-35.7%,323,$245,"$60,807,865",58,Universal Pictures,False,False
19,19,I Am David,"$67,335",+25.7%,-,226,$297,"$120,918",2,Lionsgate,False,False
20,22,Shark Tale,"$66,931",+102.2%,-46%,408,$164,"$159,112,809",65,DreamWorks Distribution,False,False
21,20,I Heart Huckabees,"$60,610",+43.4%,-31.3%,128,$473,"$12,213,379",65,Fox Searchlight Pictures,False,False
22,21,The Machinist,"$49,565",+48.5%,+17.6%,60,$826,"$659,206",44,Paramount Classics,False,False
23,24,Without a Paddle,"$38,915",+45.9%,-37.6%,160,$243,"$57,843,725",107,Paramount Pictures,False,False
24,23,Team America: World Police,"$38,304",+31.7%,-0.3%,213,$179,"$32,484,807",51,Paramount Pictures,False,False
25,25,A Very Long Engagement,"$31,011",+72%,-19%,4,"$7,752","$189,489",9,Warner Independent Pictures (WIP),False,False
26,26,Alfie,"$21,871",+27.1%,-72.2%,142,$154,"$13,251,571",30,Paramount Pictures,False,False
27,27,Sky Captain and the World of Tomorrow,"$19,185",+45.9%,-48%,142,$135,"$37,702,539",79,Paramount Pictures,False,False
28,28,Garden State,"$18,269",+45.9%,-7.8%,54,$338,"$26,593,276",130,Fox Searchlight Pictures,False,False
29,29,Fade to Black,"$9,160",+27.2%,"+2,667.4%",38,$241,"$707,164",30,Paramount Classics,False,False
30,31,"I, Robot","$6,758",+71.5%,-41.5%,36,$187,"$144,754,480",142,Twentieth Century Fox,False,False
31,30,NASCAR: The IMAX Experience,"$6,655",+52.3%,-60.2%,22,$302,"$19,411,532",268,Warner Bros.,False,False
32,32,Enduring Love,"$5,451",+69.2%,-57.1%,38,$143,"$320,283",37,Paramount Classics,False,False
33,33,After Midnight,"$2,658",+85.2%,-,2,"$1,329","$4,093",2,Avatar Films,False,False
34,34,Mean Creek,$15,+66.7%,-,1,$15,"$603,794",107,Paramount Classics,False,False
