TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,The Princess Diaries 2: Royal Engagement,"$1,304,471",-4.1%,-46.9%,3490,$373,"$66,981,760",16,Walt Disney Studios Motion Pictures,False,False
2,2,Without a Paddle,"$1,227,613",-6.8%,-,2730,$449,"$19,157,229",7,Paramount Pictures,False,False
3,3,Exorcist: The Beginning,"$1,172,494",-10.9%,-,2803,$418,"$24,085,989",7,Warner Bros.,False,False
4,5,Collateral,"$935,683",-2.8%,-43.6%,3029,$308,"$73,688,271",21,DreamWorks Distribution,False,False
5,4,Alien vs. Predator,"$890,573",-10%,-63%,3401,$261,"$67,265,624",14,Twentieth Century Fox,False,False
6,6,Open Water,"$832,000",-9%,+511.8%,2709,$307,"$18,502,216",21,Lionsgate,False,False
7,7,The Bourne Supremacy,"$645,775",-3.6%,-38%,2532,$255,"$153,102,730",35,Universal Pictures,False,False
8,8,The Manchurian Candidate,"$391,851",-2.7%,-37.7%,1920,$204,"$56,173,490",28,Paramount Pictures,False,False
9,10,Garden State,"$366,836",-3.5%,+71.3%,652,$562,"$8,065,807",30,Fox Searchlight Pictures,False,False
10,9,The Village,"$358,110",-5.8%,-55.7%,2249,$159,"$108,617,876",28,Walt Disney Studios Motion Pictures,False,False
11,12,Napoleon Dynamite,"$280,923",<0.1%,-18%,577,$486,"$20,296,701",77,Fox Searchlight Pictures,False,False
12,11,Yu-Gi-Oh!: The Movie - Pyramid of Light,"$261,360",-11.3%,-55.1%,2411,$108,"$16,758,573",14,Warner Bros.,False,False
13,13,Spider-Man 2,"$245,817",-6.6%,-43.7%,1343,$183,"$366,241,738",58,Sony Pictures Releasing,False,False
14,14,"I, Robot","$233,902",-4.6%,-51.1%,1609,$145,"$139,292,372",42,Twentieth Century Fox,False,False
15,15,Little Black Book,"$183,917",-3%,-65.1%,1640,$112,"$19,203,247",21,Revolution Studios,False,False
16,16,De-Lovely,"$83,499",+6.9%,-27.4%,317,$263,"$11,080,975",56,United Artists,False,False
17,17,Shrek 2,"$61,362",+0.6%,-42.9%,435,$141,"$436,721,703",100,DreamWorks Distribution,False,False
18,18,Harry Potter and the Prisoner of Azkaban,"$50,658",-1.5%,-36%,248,$204,"$247,112,921",84,Warner Bros.,False,False
19,19,Catwoman,"$50,248",+2.1%,-50.4%,444,$113,"$39,265,078",35,Warner Bros.,False,False
20,20,A Cinderella Story,"$38,907",+5.8%,-73.8%,435,$89,"$50,411,304",42,Warner Bros.,False,False
21,23,Dodgeball,"$35,531",+8.2%,-22.2%,283,$125,"$113,153,842",70,Twentieth Century Fox,False,False
22,22,Garfield,"$35,106",+4.9%,-12.5%,293,$119,"$74,548,188",77,Twentieth Century Fox,False,False
23,21,Anchorman: The Legend of Ron Burgundy,"$31,718",-8.4%,-69%,322,$98,"$84,271,247",49,DreamWorks Distribution,False,False
24,26,Intimate Strangers,"$24,782",-4.3%,+8.3%,75,$330,"$915,207",28,Paramount Classics,False,False
25,25,We Don't Live Here Anymore,"$24,761",-7.6%,+130.9%,29,$853,"$440,419",14,Warner Independent Pictures (WIP),False,False
26,24,NASCAR: The IMAX Experience,"$24,501",-22.5%,-43.3%,56,$437,"$17,961,968",168,Warner Bros.,False,False
27,27,Before Sunset,"$23,804",+4.2%,-37.4%,113,$210,"$4,650,337",56,Warner Independent Pictures (WIP),False,False
28,28,The Day After Tomorrow,"$23,454",+7.9%,-10.1%,233,$100,"$186,081,521",91,Twentieth Century Fox,False,False
29,29,The Stepford Wives,"$19,389",+2.9%,-34.3%,206,$94,"$59,257,349",77,Paramount Pictures,False,False
30,30,A Home at the End of the World,"$12,997",+8.9%,-38.2%,51,$254,"$824,242",35,Warner Independent Pictures (WIP),False,False
31,31,The Terminal,"$11,472",+6%,-48.4%,153,$74,"$77,073,959",70,DreamWorks Distribution,False,False
32,32,Thunderbirds,"$9,235",-8.4%,-78.4%,171,$54,"$6,810,050",28,Universal Pictures,False,False
33,33,Mean Girls,"$7,809",+6.8%,-1.8%,79,$98,"$86,005,724",119,Paramount Pictures,False,False
34,34,Code 46,"$6,737",-5.9%,+52%,21,$320,"$171,098",21,United Artists,False,False
35,36,Mean Creek,"$3,370",-3.6%,-,4,$842,"$44,148",7,Paramount Classics,False,False
36,35,The Clearing,"$3,144",-12.4%,-19.7%,36,$87,"$5,689,938",56,Fox Searchlight Pictures,False,False
37,37,I'll Sleep When I'm Dead,$610,+35%,-40.5%,7,$87,"$321,100",72,Paramount Classics,False,False
38,38,Love Me If You Dare,$324,+46.6%,+20%,5,$64,"$540,615",98,Paramount Classics,False,False
