TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Hero,"$640,000",-18.4%,-48.1%,2092,$305,"$36,661,000",13,Miramax,False,True
2,2,Paparazzi,"$458,087",-15.7%,-,2115,$216,"$8,856,565",6,Twentieth Century Fox,False,False
3,3,Without a Paddle,"$372,245",-16.3%,-46.2%,2756,$135,"$40,671,982",20,Paramount Pictures,False,False
4,5,Collateral,"$368,328",-1.7%,-30.8%,2348,$156,"$89,640,342",34,DreamWorks Distribution,False,False
5,4,Wicker Park,"$367,412",-12.8%,-,2598,$141,"$7,607,917",6,Metro-Goldwyn-Mayer (MGM),False,False
6,6,Vanity Fair,"$363,000",-2.9%,-39.5%,1051,$345,"$8,144,000",8,Focus Features,False,True
7,7,Anacondas: The Hunt for the Blood Orchid,"$289,879",-20.5%,-56.2%,2905,$99,"$24,514,902",13,Screen Gems,False,False
8,8,The Princess Diaries 2: Royal Engagement,"$257,057",-23.6%,-57.8%,3139,$81,"$86,094,221",29,Walt Disney Studios Motion Pictures,False,False
9,10,The Bourne Supremacy,"$248,965",-6.7%,-38.7%,1717,$145,"$165,285,065",48,Universal Pictures,False,False
10,9,Exorcist: The Beginning,"$246,425",-10.1%,-53.4%,2452,$100,"$38,567,128",20,Warner Bros.,False,False
11,11,Garden State,"$246,333",-1.6%,-17.9%,813,$302,"$16,375,528",43,Fox Searchlight Pictures,False,False
12,12,Napoleon Dynamite,"$186,981",-13.1%,-25.1%,886,$211,"$27,601,733",90,Fox Searchlight Pictures,False,False
13,14,Suspect Zero,"$171,799",-5.3%,-41%,1501,$114,"$7,580,578",13,Paramount Pictures,False,False
14,13,Alien vs. Predator,"$160,945",-17.7%,-58.6%,1944,$82,"$77,386,765",27,Twentieth Century Fox,False,False
15,15,The Manchurian Candidate,"$127,113",-4.6%,-38.6%,1085,$117,"$62,759,511",41,Paramount Pictures,False,False
16,16,Superbabies: Baby Geniuses 2,"$93,681",-27.9%,-55.7%,1276,$73,"$7,027,053",13,Triumph Releasing Corporation,False,False
17,17,Spider-Man 2,"$62,715",-8.8%,-49.8%,807,$77,"$370,019,970",71,Sony Pictures Releasing,False,False
18,18,The Village,"$56,850",-5.5%,-57.4%,751,$75,"$112,296,422",41,Walt Disney Studios Motion Pictures,False,False
19,19,"I, Robot","$42,330",-16%,-56.4%,551,$76,"$141,979,392",55,Twentieth Century Fox,False,False
20,20,De-Lovely,"$42,226",+9.5%,-22.7%,320,$131,"$12,443,686",69,United Artists,False,False
21,22,We Don't Live Here Anymore,"$33,449",+3%,+5.6%,190,$176,"$1,483,988",27,Warner Independent Pictures (WIP),False,False
22,24,Before Sunset,"$24,884",+12.2%,+70.8%,197,$126,"$5,221,456",69,Warner Independent Pictures (WIP),False,False
23,21,Yu-Gi-Oh!: The Movie - Pyramid of Light,"$24,501",-29.6%,-73.2%,1103,$22,"$19,366,704",27,Warner Bros.,False,False
24,23,Harry Potter and the Prisoner of Azkaban,"$23,447",-5%,-41.4%,391,$59,"$248,392,636",97,Warner Bros.,False,False
25,26,Intimate Strangers,"$17,076",+29.5%,-12%,94,$181,"$1,517,885",41,Paramount Classics,False,False
26,25,Dodgeball,"$12,481",-15.3%,-46.2%,238,$52,"$113,753,323",83,Twentieth Century Fox,False,False
27,27,The Day After Tomorrow,"$10,414",-16%,-22.8%,129,$80,"$186,392,359",104,Twentieth Century Fox,False,False
28,30,NASCAR: The IMAX Experience,"$10,282",+12%,-34.6%,58,$177,"$18,444,044",181,Warner Bros.,False,False
29,31,Mean Creek,"$7,646",-3.4%,-6.1%,41,$186,"$311,484",20,Paramount Classics,False,False
30,28,Garfield,"$7,156",-27.8%,-57.6%,209,$34,"$75,021,624",90,Twentieth Century Fox,False,False
31,29,A Cinderella Story,"$6,137",-36.8%,-53.4%,208,$29,"$50,829,148",55,Warner Bros.,False,False
32,32,Catwoman,"$4,241",-16.1%,-53.4%,121,$35,"$39,530,210",48,Warner Bros.,False,False
33,33,The Stepford Wives,"$3,872",-12.2%,-64.4%,63,$61,"$59,456,985",90,Paramount Pictures,False,False
34,34,A Home at the End of the World,"$3,850",+12.9%,-39.1%,34,$113,"$959,146",48,Warner Independent Pictures (WIP),False,False
35,37,Love Me If You Dare,$511,"+4,545.5%",+766.1%,3,$170,"$542,156",111,Paramount Classics,False,False
36,35,Mean Girls,$412,-11%,-69.5%,13,$31,"$86,050,293",132,Paramount Pictures,False,False
37,36,I'll Sleep When I'm Dead,$391,+38.7%,+76.1%,3,$130,"$329,111",85,Paramount Classics,False,False
