TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,-,Blade: Trinity,"$5,521,319",-,-,2912,"$1,896","$5,521,319",1,New Line Cinema,True,False
2,2,The Polar Express,"$1,088,460",+5.9%,+12.6%,3650,$298,"$99,094,953",29,Warner Bros.,False,False
3,1,National Treasure,"$959,118",-15%,-29.9%,3243,$295,"$113,307,817",20,Walt Disney Studios Motion Pictures,False,False
4,3,Closer,"$562,296",-8.2%,-,476,"$1,181","$9,486,642",6,Sony Pictures Releasing,False,False
5,4,Christmas with the Kranks,"$551,368",-7.1%,-19.9%,3416,$161,"$46,613,988",15,Revolution Studios,False,False
6,5,The Incredibles,"$409,408",-9%,-29%,3178,$128,"$227,141,381",34,Walt Disney Studios Motion Pictures,False,False
7,6,Alexander,"$303,227",-29.4%,-56.1%,2445,$124,"$30,826,209",15,Warner Bros.,False,False
8,8,The SpongeBob SquarePants Movie,"$274,080",+4.1%,-32%,3307,$82,"$69,004,935",20,Paramount Pictures,False,False
9,7,Bridget Jones: The Edge of Reason,"$250,800",-10.4%,-38.5%,2090,$120,"$37,069,575",27,Universal Pictures,False,False
10,9,Finding Neverland,"$207,000",-10.4%,-20.7%,526,$393,"$12,324,000",27,Miramax,False,True
11,12,Sideways,"$138,397",-4%,-22.4%,499,$277,"$12,897,614",48,Fox Searchlight Pictures,False,False
12,11,Ray,"$125,970",-14.7%,-32.6%,1322,$95,"$68,205,645",41,Universal Pictures,False,False
13,15,Kinsey,"$59,294",-3.6%,-34.5%,190,$312,"$3,832,013",27,Fox Searchlight Pictures,False,False
14,14,The Grudge,"$44,656",-29.3%,-46.3%,1286,$34,"$109,402,132",48,Sony Pictures Releasing,False,False
15,13,Saw,"$44,445",-36.2%,-51%,937,$47,"$54,600,304",41,Lionsgate,False,False
16,16,Napoleon Dynamite,"$17,076",-3.6%,-19.4%,223,$76,"$43,778,351",181,Fox Searchlight Pictures,False,False
17,21,The Machinist,"$14,749",+15.3%,+60.5%,60,$245,"$733,557",48,Paramount Classics,False,False
18,17,I Heart Huckabees,"$12,715",-14.1%,-23.9%,131,$97,"$12,287,358",69,Fox Searchlight Pictures,False,False
19,19,Team America: World Police,"$12,519",-7.3%,+60.1%,213,$58,"$32,547,687",55,Paramount Pictures,False,False
20,20,I Am David,"$11,436",-14.5%,-,226,$50,"$198,430",6,Lionsgate,False,False
21,18,Friday Night Lights,"$11,280",-22.4%,-16.8%,281,$40,"$60,883,745",62,Universal Pictures,False,False
22,22,Shark Tale,"$7,758",-5.8%,-28.2%,408,$19,"$159,185,039",69,DreamWorks Distribution,False,False
23,25,A Very Long Engagement,"$6,903",+7.2%,-31.5%,4,"$1,725","$232,762",13,Warner Independent Pictures (WIP),False,False
24,23,Without a Paddle,"$6,265",-14%,-32.7%,160,$39,"$57,886,082",111,Paramount Pictures,False,False
25,24,Alfie,"$5,856",-16.8%,-63.6%,142,$41,"$13,284,399",34,Paramount Pictures,False,False
26,26,Garden State,"$4,551",-5.6%,+25.9%,54,$84,"$26,615,989",134,Fox Searchlight Pictures,False,False
27,27,Sky Captain and the World of Tomorrow,"$3,136",-27.3%,-62.8%,142,$22,"$37,724,465",83,Paramount Pictures,False,False
28,31,Enduring Love,"$1,710",+68%,-41.7%,38,$45,"$326,798",41,Paramount Classics,False,False
29,28,Fade to Black,"$1,623",-14.6%,+947.1%,38,$42,"$718,844",34,Paramount Classics,False,False
30,30,NASCAR: The IMAX Experience,"$1,424",+27.4%,-45.7%,22,$64,"$19,421,677",272,Warner Bros.,False,False
31,29,"I, Robot","$1,078",-19.6%,-21.4%,36,$29,"$144,762,061",146,Twentieth Century Fox,False,False
32,32,Mean Creek,$9,-65.4%,-96.4%,1,$9,"$603,859",111,Paramount Classics,False,False
