TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,The Passion of the Christ,"$3,666,346",-26.3%,-8.4%,3240,"$1,131","$353,006,351",47,Newmarket Films,False,False
2,2,Hellboy,"$2,762,306",-33.5%,-52.7%,3043,$907,"$40,828,171",10,Revolution Studios,False,False
3,3,Johnson Family Vacation,"$2,727,267",-23.3%,-,1317,"$2,070","$11,814,504",5,Fox Searchlight Pictures,False,False
4,4,The Alamo,"$2,258,746",-35.4%,-,2609,$865,"$9,124,701",3,Walt Disney Studios Motion Pictures,False,False
5,5,Walking Tall,"$2,237,896",-30.5%,-43.8%,2836,$789,"$28,953,956",10,Metro-Goldwyn-Mayer (MGM),False,False
6,7,Scooby-Doo 2: Monsters Unleashed,"$1,896,269",-34.5%,-57.7%,3130,$605,"$62,878,150",17,Warner Bros.,False,False
7,6,Home on the Range,"$1,736,703",-42.2%,-57.7%,3058,$567,"$27,418,973",10,Walt Disney Studios Motion Pictures,False,False
8,8,The Whole Ten Yards,"$1,582,248",-35.3%,-,2654,$596,"$6,685,381",3,Warner Bros.,False,False
9,9,The Girl Next Door,"$1,471,430",-31.2%,-,2148,$685,"$6,003,806",3,Twentieth Century Fox,False,False
10,10,Ella Enchanted,"$1,346,000",-35.5%,-,1931,$697,"$6,169,030",3,Miramax,False,True
11,12,The Ladykillers,"$1,162,664",-39.3%,-34.9%,1589,$731,"$30,390,156",17,Walt Disney Studios Motion Pictures,False,False
12,11,The Prince and Me,"$1,140,641",-43.2%,-46.5%,2711,$420,"$18,417,930",10,Paramount Pictures,False,False
13,13,Jersey Girl,"$712,000",-35.3%,-40.9%,1591,$447,"$20,836,027",17,Miramax,False,True
14,14,Eternal Sunshine of the Spotless Mind,"$632,942",-36%,-31.3%,734,$862,"$25,863,153",24,Focus Features,False,False
15,15,Dawn of the Dead,"$507,170",-31.7%,-57.8%,1237,$410,"$55,468,990",24,Universal Pictures,False,False
16,16,Taking Lives,"$420,774",-28.3%,-55.4%,902,$466,"$30,407,962",24,Warner Bros.,False,False
17,17,Starsky & Hutch,"$323,307",-38.7%,-59.4%,1035,$312,"$84,605,877",38,Warner Bros.,False,False
18,18,Hidalgo,"$278,119",-38%,-59.3%,715,$388,"$62,912,722",38,Walt Disney Studios Motion Pictures,False,False
19,19,Secret Window,"$205,544",-48%,-63.3%,708,$290,"$46,214,021",31,Sony Pictures Releasing,False,False
20,20,NASCAR: The IMAX Experience,"$145,947",-58.3%,-36.5%,71,"$2,055","$7,425,559",31,Warner Bros.,False,False
21,22,The Lord of the Rings: The Return of the King,"$72,328",-39.7%,-33.7%,338,$213,"$375,667,233",117,New Line Cinema,False,False
22,21,50 First Dates,"$62,506",-48.4%,-65.6%,235,$265,"$118,804,464",59,Sony Pictures Releasing,False,False
23,25,Never Die Alone,"$54,474",-9%,-80.8%,159,$342,"$5,406,784",17,Fox Searchlight Pictures,False,False
24,23,Barbershop 2: Back in Business,"$52,046",-40.7%,-2.7%,376,$138,"$63,181,643",66,Metro-Goldwyn-Mayer (MGM),False,False
25,24,Agent Cody Banks 2: Destination London,"$48,930",-31.9%,-71.2%,527,$92,"$22,906,599",31,Metro-Goldwyn-Mayer (MGM),False,False
26,26,Cheaper by the Dozen,"$33,769",-39.2%,-47.8%,215,$157,"$138,144,025",109,Twentieth Century Fox,False,False
27,27,The United States of Leland,"$32,924",-32%,+128.9%,90,$365,"$189,532",10,Paramount Classics,False,False
28,28,You Got Served,"$25,785",-21.6%,-31.8%,119,$216,"$40,066,497",73,Screen Gems,False,False
29,32,Along Came Polly,"$16,065",-30.8%,-32.4%,119,$135,"$87,856,565",87,Universal Pictures,False,False
30,29,Mystic River,"$14,206",-45.1%,-31.4%,63,$225,"$89,052,994",187,Warner Bros.,False,False
31,30,Osama,"$14,108",-40.6%,-3.9%,27,$522,"$1,005,911",66,United Artists,False,False
32,33,Monster,"$12,378",-32.4%,-53.8%,111,$111,"$34,282,333",110,Newmarket Films,False,False
33,31,Master and Commander: The Far Side of the World,"$12,370",-46.9%,-48.5%,102,$121,"$93,802,409",150,Twentieth Century Fox,False,False
34,34,Spartan,"$9,829",-46.1%,-35.9%,89,$110,"$4,357,745",31,Warner Bros.,False,False
35,35,In America,"$5,299",-50.6%,-54.5%,34,$155,"$15,436,796",138,Fox Searchlight Pictures,False,False
36,37,Catch That Kid,"$5,272",-34.7%,-36.7%,125,$42,"$16,657,437",66,Twentieth Century Fox,False,False
37,36,Twisted,"$5,054",-44.3%,-75.8%,155,$32,"$24,957,254",45,Paramount Pictures,False,False
38,38,The Dreamers,"$4,974",-29.5%,-36.1%,16,$310,"$2,453,477",66,Fox Searchlight Pictures,False,False
39,39,The Reckoning,"$3,697",-40.1%,-55.8%,17,$217,"$193,061",38,Paramount Classics,False,False
40,40,Welcome to Mooseport,"$2,507",-57.7%,-55.8%,43,$58,"$14,408,198",52,Twentieth Century Fox,False,False
41,41,The Lost Skeleton of Cadavra,$741,-45.3%,-18.3%,4,$185,"$110,536",66,Sony Pictures Repertory,False,False
