TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Vanilla Sky,"$2,236,000",-65%,-,2742,$815,"$27,251,518",4,Paramount Pictures,False,False
2,2,Ocean's Eleven,"$2,010,597",-62.8%,-33.8%,3075,$653,"$74,316,787",11,Warner Bros.,False,False
3,4,Not Another Teen Movie,"$952,807",-66.9%,-,2365,$402,"$13,567,923",4,Sony Pictures Releasing,False,False
4,3,Harry Potter and the Sorcerer's Stone,"$812,000",-73.9%,-6.5%,3422,$237,"$254,081,579",32,Warner Bros.,False,False
5,6,Behind Enemy Lines,"$434,070",-68.3%,-16.7%,2792,$155,"$39,247,399",18,Twentieth Century Fox,False,False
6,5,"Monsters, Inc.","$367,781",-75.5%,+8.7%,2462,$149,"$219,182,893",46,Walt Disney Studios Motion Pictures,False,False
7,7,Spy Game,"$238,125",-63.4%,-28.4%,2503,$95,"$58,063,230",27,Universal Pictures,False,False
8,8,Black Knight,"$133,824",-73.9%,-14.9%,1907,$70,"$29,880,997",27,Twentieth Century Fox,False,False
9,9,Shallow Hal,"$120,253",-64.8%,-27.3%,1767,$68,"$67,087,563",39,Twentieth Century Fox,False,False
10,11,The Royal Tenenbaums,"$63,281",-29.5%,-,5,"$12,656","$340,262",4,Walt Disney Studios Motion Pictures,False,False
11,10,Out Cold,"$43,380",-68.6%,-39.4%,1183,$36,"$13,288,507",27,Walt Disney Studios Motion Pictures,False,False
12,12,K-PAX,"$17,775",-59.6%,-39.8%,440,$40,"$50,057,980",53,Universal Pictures,False,False
13,14,Mulholland Drive,"$10,790",-49%,+27.6%,83,$130,"$5,378,503",71,Universal Pictures,False,False
14,13,The Last Castle,"$8,452",-63.5%,+702.7%,211,$40,"$18,216,530",60,DreamWorks Distribution,False,False
15,15,Moulin Rouge!,"$3,196",-50.3%,-2.2%,22,$145,"$56,990,528",214,Twentieth Century Fox,False,False
16,17,American Pie 2,"$1,845",-35.7%,-61.4%,41,$45,"$145,098,665",130,Universal Pictures,False,False
17,16,Jurassic Park III,"$1,205",-80.7%,-45.4%,48,$25,"$181,167,320",153,Universal Pictures,False,False
