TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,The Score,"$5,382,000",-28.5%,-,2129,"$2,527","$19,018,807",3,Paramount Pictures,False,False
2,2,Final Fantasy: The Spirits Within,"$3,132,580",-28%,-,2649,"$1,182","$19,028,896",5,Sony Pictures Releasing,False,False
3,3,Scary Movie 2,"$2,822,000",-20.4%,-52.6%,3220,$876,"$52,975,784",12,Miramax,False,False
4,4,The Fast and the Furious,"$2,319,185",-26.3%,-37.4%,2899,$799,"$115,615,345",24,Universal Pictures,False,False
5,5,A.I. Artificial Intelligence,"$1,478,000",-32.4%,-64.2%,2830,$522,"$70,097,455",17,Warner Bros.,False,False
6,6,Shrek,"$1,093,716",-24%,-44.1%,1767,$618,"$247,280,575",61,DreamWorks Distribution,False,False
7,7,Moulin Rouge!,"$210,079",-32.6%,-47.7%,492,$426,"$52,467,635",59,Twentieth Century Fox,False,False
8,8,The Mummy Returns,"$136,390",-29.2%,-33.7%,593,$230,"$200,219,380",73,Universal Pictures,False,False
9,9,Evolution,"$50,179",-28.6%,-58.6%,256,$196,"$37,112,319",38,DreamWorks Distribution,False,False
