TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,American Pie 2,"$46,970",-8.3%,-61.1%,854,$55,"$143,403,479",62,Universal Pictures,False,False
2,2,The Musketeer,"$35,770",-12.1%,-69.8%,1022,$35,"$26,703,065",34,Universal Pictures,False,False
3,3,Shrek,"$23,405",-0.5%,-11.2%,522,$44,"$265,998,916",148,DreamWorks Distribution,False,False
4,4,Jurassic Park III,"$18,035",-0.6%,-25%,363,$49,"$179,865,110",85,Universal Pictures,False,False
5,5,The Fast and the Furious,"$16,350",-0.6%,-24.8%,253,$64,"$144,120,655",111,Universal Pictures,False,False
6,6,Mulholland Drive,"$15,867",+4.9%,-,5,"$3,173","$62,256",3,Universal Pictures,False,False
7,7,Captain Corelli's Mandolin,"$7,640",-11.1%,-72.2%,191,$40,"$25,485,240",55,Universal Pictures,False,False
8,8,Glitter,"$6,340",-10.7%,-86.1%,259,$24,"$4,201,157",20,Twentieth Century Fox,False,False
9,9,Moulin Rouge!,"$4,379",+27.4%,-20.5%,31,$141,"$56,641,206",146,Twentieth Century Fox,False,False
10,10,The Curse of the Jade Scorpion,"$3,127",+28.3%,-57.1%,49,$63,"$7,464,092",48,DreamWorks Distribution,False,False
