TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,The Hitman's Bodyguard,"$524,001",-17.5%,-48.4%,3370,$155,"$60,047,007",21,Lionsgate,False,False
2,2,Wind River,"$386,642",-22.1%,-26.5%,2602,$148,"$21,791,992",35,The Weinstein Company,False,False
3,3,Annabelle: Creation,"$306,173",-33.6%,-57.9%,3358,$91,"$92,267,010",28,Warner Bros.,False,False
4,4,Dunkirk,"$260,104",-20%,-44.3%,2752,$94,"$181,160,279",49,Warner Bros.,False,False
5,5,Logan Lucky,"$236,708",-10.7%,-49.7%,2975,$79,"$23,402,241",21,Bleecker Street Media,False,False
6,6,Leap!2017 Re-release,"$142,608",-26%,-58.2%,2705,$52,"$13,374,436",14,The Weinstein Company,False,False
7,7,Spider-Man: Homecoming,"$141,189",-20.4%,-56.6%,2036,$69,"$325,687,794",63,Sony Pictures Entertainment (SPE),False,False
8,8,Girls Trip,"$114,695",-24.8%,-54.6%,1607,$71,"$112,558,470",49,Universal Pictures,False,False
9,9,The Glass Castle,"$114,584",-17.3%,-38.7%,1360,$84,"$15,544,885",28,Lionsgate,False,False
10,13,The Dark Tower,"$88,052",-13.9%,-54.6%,1820,$48,"$48,153,461",35,Sony Pictures Entertainment (SPE),False,False
11,17,All Saints,"$81,879",-5.4%,-44.6%,846,$96,"$4,139,277",14,Affirm Films,False,False
12,10,Close Encounters of the Third Kind2017 Re-release,"$75,781",-44.2%,-,901,$84,"$2,581,070",7,Sony Pictures Entertainment (SPE),False,False
13,11,Birth of the Dragon,"$74,770",-30.2%,-60.1%,1633,$45,"$6,225,485",14,BH Tilt,False,False
14,14,Wonder Woman,"$72,008",-25.1%,-60%,1808,$39,"$409,841,142",98,Warner Bros.,False,False
15,12,Baby Driver,"$70,645",-31.5%,-55.4%,1463,$48,"$106,142,278",72,TriStar Pictures,False,False
16,15,The Emoji Movie,"$67,159",-30%,-73.1%,2108,$31,"$81,456,858",42,Sony Pictures Entertainment (SPE),False,False
17,16,Tulip Fever,"$63,443",-28%,-,765,$82,"$1,650,220",7,The Weinstein Company,False,False
18,22,Cars 3,"$60,026",-9.5%,+247%,2445,$24,"$151,743,509",84,-,False,False
19,18,The Big Sick,"$58,209",-32.7%,-30.9%,1270,$45,"$41,548,894",77,Lionsgate,False,False
20,20,The Nut Job 2: Nutty by Nature,"$58,007",-27.7%,-78.5%,2651,$21,"$26,891,894",28,Open Road Films (II),False,False
21,19,Despicable Me 3,"$54,350",-33.8%,-72.1%,2132,$25,"$259,048,175",70,Universal Pictures,False,False
22,25,Do It Like An Hombre,"$46,601",-24%,-,382,$121,"$1,646,851",7,Pantelion Films,False,False
23,23,War for the Planet of the Apes,"$45,026",-32.1%,-58.1%,1041,$43,"$144,878,705",56,Twentieth Century Fox,False,False
24,24,Atomic Blonde,"$44,975",-28.7%,-57%,741,$60,"$50,751,270",42,Focus Features,False,False
25,21,Kidnap,"$42,212",-40.8%,-66.9%,1689,$24,"$30,001,115",35,Aviron Pictures,False,False
26,26,Ingrid Goes West,"$38,654",-21.8%,-57.5%,625,$61,"$2,603,099",28,Neon,False,False
27,27,Good Time,"$24,337",-31%,-64.7%,635,$38,"$1,811,441",28,A24,False,False
28,30,Valerian and the City of a Thousand Planets,"$15,912",-3.4%,-52.1%,280,$56,"$40,203,005",49,STX Entertainment,False,False
29,28,Patti Cake$,"$14,919",-26.6%,-54%,295,$50,"$654,496",21,Fox Searchlight Pictures,False,False
30,29,Menashe,"$14,243",-17%,-29.3%,126,$113,"$1,344,084",42,A24,False,False
31,31,Detroit,"$13,668",-15.2%,-59.6%,331,$41,"$16,640,627",42,Annapurna Pictures,False,False
32,33,47 Meters Down,"$9,170",-8.6%,-2.6%,430,$21,"$44,100,508",84,Entertainment Studios Motion Pictures,False,False
33,37,Guardians of the Galaxy Vol. 2,"$8,943",+23%,-14.8%,196,$45,"$389,706,914",126,-,False,False
34,34,Pirates of the Caribbean: Dead Men Tell No Tales,"$8,418",-3.7%,-38.9%,186,$45,"$172,353,737",105,-,False,False
35,35,An Inconvenient Sequel: Truth to Power,"$8,086",-4.8%,-52.9%,80,$101,"$3,496,795",42,Paramount Pictures,False,False
