TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,-,Annabelle: Creation,"$15,012,427",-,-,3502,"$4,286","$15,012,427",1,Warner Bros.,True,False
2,1,Dunkirk,"$3,120,296",+73.2%,-37.4%,3762,$829,"$145,427,847",22,Warner Bros.,False,False
3,-,The Nut Job 2: Nutty by Nature,"$3,010,381",-,-,4003,$752,"$3,010,381",1,Open Road Films (II),True,False
4,3,The Dark Tower,"$2,310,883",+76.7%,-70.1%,3451,$669,"$28,741,647",8,Sony Pictures Entertainment (SPE),False,False
5,4,Girls Trip,"$2,064,340",+90.4%,-43.3%,2303,$896,"$92,737,845",22,Universal Pictures,False,False
6,2,The Emoji Movie,"$1,935,023",+35%,-50.1%,3219,$601,"$58,921,970",15,Sony Pictures Entertainment (SPE),False,False
7,5,Spider-Man: Homecoming,"$1,726,392",+62.3%,-33.4%,2607,$662,"$302,080,086",36,Sony Pictures Entertainment (SPE),False,False
8,-,The Glass Castle,"$1,650,668",-,-,1461,"$1,129","$1,650,668",1,Lionsgate,True,False
9,7,Kidnap,"$1,497,041",+97.7%,-59.9%,2418,$619,"$15,666,324",8,Aviron Pictures,False,False
10,6,Atomic Blonde,"$1,293,755",+59.4%,-46.7%,2093,$618,"$39,540,980",15,Focus Features,False,False
11,9,War for the Planet of the Apes,"$1,004,816",+79%,-41.9%,2098,$478,"$134,633,309",29,Twentieth Century Fox,False,False
12,8,Despicable Me 3,"$882,970",+38.2%,-47.3%,2013,$438,"$245,489,415",43,Universal Pictures,False,False
13,10,Detroit,"$852,214",+72.9%,-67.8%,3007,$283,"$11,263,678",15,Annapurna Pictures,False,False
14,11,Baby Driver,"$418,180",+55.9%,-44.3%,865,$483,"$99,010,107",45,TriStar Pictures,False,False
15,12,Wonder Woman,"$411,121",+71.3%,-39.5%,961,$427,"$401,139,206",71,Warner Bros.,False,False
16,14,The Big Sick,"$405,202",+94.1%,-33.5%,709,$571,"$35,349,050",50,Lionsgate,False,False
17,15,An Inconvenient Sequel: Truth to Power,"$278,816",+271.6%,-21.2%,556,$501,"$1,774,477",15,Paramount Pictures,False,False
18,13,Valerian and the City of a Thousand Planets,"$251,274",+14.2%,-63%,785,$320,"$37,709,268",22,STX Entertainment,False,False
19,26,Wind River,"$190,417","+1,273.8%",+264.7%,45,"$4,231","$418,635",8,The Weinstein Company,False,False
20,-,Toilet: A Love Story,"$184,596",-,-,178,"$1,037","$184,596",1,Reliance Big Pictures,True,False
21,16,Cars 3,"$91,252",+25.8%,-44.2%,308,$296,"$148,085,448",57,-,False,False
22,33,Step,"$88,781",+865.7%,+59.7%,185,$479,"$289,147",8,Fox Searchlight Pictures,False,False
23,17,Guardians of the Galaxy Vol. 2,"$73,574",+53.4%,-38.7%,210,$350,"$388,695,522",99,-,False,False
24,20,Transformers: The Last Knight,"$70,053",+138.1%,-16.4%,255,$274,"$129,621,536",52,Paramount Pictures,False,False
25,-,Good Time,"$54,149",-,-,4,"$13,537","$54,149",1,A24,True,False
26,-,Ingrid Goes West,"$48,822",-,-,3,"$16,274","$48,822",1,Neon,True,False
27,19,Captain Underpants: The First Epic Movie,"$44,617",+50.9%,-32.4%,178,$250,"$73,045,783",71,Twentieth Century Fox,False,False
