TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Stuart Little,"$6,762,000",+33.8%,+104.4%,2900,"$2,331","$75,194,370",16,Sony Pictures Releasing,False,False
2,6,Any Given Sunday,"$6,209,000",+195.4%,+8.8%,2505,"$2,478","$42,404,267",11,Warner Bros.,False,False
3,5,The Talented Mr. Ripley,"$6,136,000",+180.6%,-4%,2309,"$2,657","$35,707,126",8,Paramount Pictures,False,False
4,3,The Green Mile,"$5,849,000",+125.2%,+70.4%,2875,"$2,034","$73,352,123",23,Warner Bros.,False,False
5,2,Toy Story 2,"$4,974,364",+45.6%,+59.5%,3102,"$1,603","$204,817,418",44,Walt Disney Studios Motion Pictures,False,False
6,4,Galaxy Quest,"$4,457,826",+92.7%,+32.5%,2442,"$1,825","$24,376,624",8,DreamWorks Distribution,False,False
7,7,Bicentennial Man,"$3,638,000",+80.2%,+44.2%,2767,"$1,314","$36,985,111",16,Walt Disney Studios Motion Pictures,False,False
8,9,Man on the Moon,"$2,817,045",+261.3%,-12.6%,2079,"$1,355","$22,741,970",11,Universal Pictures,False,False
9,8,Anna and the King,"$2,409,000",+105.5%,+38%,2129,"$1,131","$22,951,000",16,Twentieth Century Fox,False,False
10,10,Snow Falling on Cedars,"$17,102",+142.7%,+82.7%,3,"$5,700","$118,394",11,Universal Pictures,False,False
