TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Stuart Little,"$1,774,321",-66.6%,-69%,2900,$611,"$81,177,448",18,Sony Pictures Releasing,False,False
2,2,The Talented Mr. Ripley,"$1,578,042",-61.2%,-60.4%,2309,$683,"$41,349,692",10,Paramount Pictures,False,False
3,4,Any Given Sunday,"$1,538,911",-60.5%,-57.8%,2505,$614,"$47,291,030",13,Warner Bros.,False,False
4,5,The Green Mile,"$1,521,242",-60.7%,-50.3%,2875,$529,"$78,203,256",25,Warner Bros.,False,False
5,3,Toy Story 2,"$1,458,638",-63.8%,-69.4%,3102,$470,"$210,309,895",46,Walt Disney Studios Motion Pictures,False,False
6,6,Galaxy Quest,"$1,093,281",-62.8%,-59.4%,2442,$447,"$28,405,199",10,DreamWorks Distribution,False,False
7,7,Bicentennial Man,"$866,558",-66.5%,-65.4%,2767,$313,"$40,477,254",18,Walt Disney Studios Motion Pictures,False,False
8,8,Anna and the King,"$763,667",-57.8%,-50.9%,2129,$358,"$25,496,449",18,Twentieth Century Fox,False,False
9,9,Man on the Moon,"$758,835",-58%,-60.1%,2079,$365,"$25,309,535",13,Universal Pictures,False,False
10,10,American Beauty,"$89,531",-52.6%,-27.5%,275,$325,"$71,107,346",111,DreamWorks Distribution,False,False
11,11,The Hurricane,"$51,673",-59.3%,-,11,"$4,697","$541,225",6,Universal Pictures,False,False
12,12,Snow Falling on Cedars,"$10,080",-31.1%,-9.9%,3,"$3,360","$143,105",13,Universal Pictures,False,False
