TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,2,Next Friday,"$849,345",-65.7%,-,1103,$770,"$22,353,258",7,New Line Cinema,False,False
2,5,The Hurricane,"$705,190",-52.9%,+204.8%,1454,$485,"$15,281,681",21,Universal Pictures,False,False
3,6,"Girl, Interrupted","$676,017",-43.5%,-,1902,$355,"$10,817,007",29,Sony Pictures Releasing,False,False
4,7,The Green Mile,"$502,044",-53.2%,-34.3%,2483,$202,"$103,346,313",40,Warner Bros.,False,False
5,1,Stuart Little,"$423,504",-86.4%,-14.1%,3092,$136,"$110,056,867",33,Sony Pictures Releasing,False,False
6,8,The Talented Mr. Ripley,"$388,322",-52%,-44.2%,2369,$163,"$63,852,954",25,Paramount Pictures,False,False
7,3,Galaxy Quest,"$370,477",-78.9%,-20.8%,2450,$151,"$49,129,157",25,DreamWorks Distribution,False,False
8,9,Any Given Sunday,"$321,524",-55.9%,-49.2%,2505,$128,"$67,225,397",28,Warner Bros.,False,False
9,4,Toy Story 2,"$262,970",-83.1%,-23.8%,2326,$113,"$227,878,302",61,Walt Disney Studios Motion Pictures,False,False
10,10,Magnolia,"$255,425",-50.1%,-46.2%,1038,$246,"$12,502,731",33,New Line Cinema,False,False
11,11,Snow Falling on Cedars,"$219,450",-51.9%,-35.3%,1155,$190,"$8,606,203",28,Universal Pictures,False,False
12,12,Anna and the King,"$180,214",-55.7%,-46.6%,1535,$117,"$34,748,978",33,Twentieth Century Fox,False,False
13,13,Man on the Moon,"$109,795",-37.9%,-62.1%,1220,$89,"$32,719,895",28,Universal Pictures,False,False
