TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Next Friday,"$2,526,000",+248.7%,-42%,1175,"$2,149","$26,328,000",10,New Line Cinema,False,False
2,2,The Hurricane,"$1,794,000",+229%,-28.4%,2101,$853,"$18,180,721",24,Universal Pictures,False,False
3,4,The Green Mile,"$1,439,000",+242%,-27.1%,2483,$579,"$105,643,835",43,Warner Bros.,False,False
4,3,"Girl, Interrupted","$1,309,000",+158.4%,-49.3%,1935,$676,"$13,159,709",32,Sony Pictures Releasing,False,False
5,7,Stuart Little,"$1,248,000",+293.1%,-28.4%,3151,$396,"$111,926,550",36,Sony Pictures Releasing,False,False
6,6,Galaxy Quest,"$1,169,050",+266%,-27.1%,2259,$517,"$50,922,244",28,DreamWorks Distribution,False,False
7,5,The Talented Mr. Ripley,"$1,044,000",+222.4%,-34.6%,2215,$471,"$65,564,275",28,Paramount Pictures,False,False
8,10,Toy Story 2,"$597,598",+183.5%,-43%,1990,$300,"$228,877,884",64,Walt Disney Studios Motion Pictures,False,False
9,11,Snow Falling on Cedars,"$417,620",+126%,-41.7%,1099,$380,"$9,404,978",31,Universal Pictures,False,False
10,13,Man on the Moon,"$130,240",+77.9%,-63.2%,592,$220,"$32,996,660",31,Universal Pictures,False,False
