TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,The Hurricane,"$556,765",-14.5%,-0.5%,2101,$265,"$24,706,681",29,Universal Pictures,False,False
2,3,Next Friday,"$447,096",+2.6%,-38.3%,1175,$380,"$33,286,278",15,New Line Cinema,False,False
3,2,"Girl, Interrupted","$410,696",-18.3%,-22.1%,1935,$212,"$17,487,314",37,Sony Pictures Releasing,False,False
4,4,The Green Mile,"$376,544",-7.9%,-14%,2483,$151,"$110,755,360",48,Warner Bros.,False,False
5,5,The Talented Mr. Ripley,"$302,334",-3.6%,-12%,2215,$136,"$69,100,725",33,Paramount Pictures,False,False
6,6,Stuart Little,"$272,059",-3.8%,-10.6%,-,-,"$117,975,236",41,Sony Pictures Releasing,False,False
7,7,Galaxy Quest,"$258,989",-5.3%,-15%,2259,$114,"$55,112,548",33,DreamWorks Distribution,False,False
8,8,Magnolia,"$191,098",-20.4%,-16.9%,1077,$177,"$15,693,243",41,New Line Cinema,False,False
9,9,Any Given Sunday,"$181,358",-5.9%,-33.1%,2201,$82,"$70,726,379",36,Warner Bros.,False,False
10,10,Toy Story 2,"$179,911",+10.9%,-5.9%,1990,$90,"$231,779,219",69,Walt Disney Studios Motion Pictures,False,False
11,11,Snow Falling on Cedars,"$109,925",-16.6%,-44%,1099,$100,"$10,751,303",36,Universal Pictures,False,False
12,12,Anna and the King,"$79,769",-8%,-46.7%,940,$84,"$36,196,139",41,Twentieth Century Fox,False,False
13,14,Man on the Moon,"$32,560",-21.4%,-55.6%,592,$55,"$33,411,060",36,Universal Pictures,False,False
