TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,The Hurricane,"$535,755",-3.8%,-1.7%,2101,$255,"$25,242,436",30,Universal Pictures,False,False
2,2,Next Friday,"$459,800",+2.8%,-36.5%,1175,$391,"$33,746,078",16,New Line Cinema,False,False
3,3,"Girl, Interrupted","$418,815",+2%,-17.3%,1935,$216,"$17,906,129",38,Sony Pictures Releasing,False,False
4,4,The Green Mile,"$380,563",+1.1%,-9.5%,2483,$153,"$111,135,923",49,Warner Bros.,False,False
5,5,The Talented Mr. Ripley,"$284,312",-6%,-12.2%,2215,$128,"$69,433,037",34,Paramount Pictures,False,False
6,6,Stuart Little,"$257,408",-5.4%,-18.9%,3151,$81,"$118,232,644",42,Sony Pictures Releasing,False,False
7,7,Galaxy Quest,"$254,884",-1.6%,-20.2%,2259,$112,"$55,367,432",34,DreamWorks Distribution,False,False
8,8,Magnolia,"$184,087",-3.7%,-14.3%,1077,$170,"$15,877,330",42,New Line Cinema,False,False
9,10,Toy Story 2,"$180,843",+0.5%,-14.2%,1990,$90,"$231,960,062",70,Walt Disney Studios Motion Pictures,False,False
10,9,Any Given Sunday,"$179,662",-0.9%,-29.3%,2201,$81,"$70,906,038",37,Warner Bros.,False,False
11,11,Snow Falling on Cedars,"$115,395",+5%,-37.6%,1099,$105,"$10,866,698",37,Universal Pictures,False,False
12,12,Anna and the King,"$80,388",+0.8%,-46.2%,940,$85,"$36,276,527",42,Twentieth Century Fox,False,False
13,13,Man on the Moon,"$35,520",+9.1%,-51.5%,592,$60,"$33,446,580",37,Universal Pictures,False,False
