TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Next Friday,"$724,470",<0.1%,-58.6%,1103,$656,"$23,802,475",9,New Line Cinema,False,False
2,2,The Hurricane,"$545,250",-2.6%,+165.8%,1454,$375,"$16,386,721",23,Universal Pictures,False,False
3,3,"Girl, Interrupted","$506,594",-3.9%,-,1902,$266,"$11,850,709",31,Sony Pictures Releasing,False,False
4,4,The Green Mile,"$420,742",-3.9%,-30.8%,2483,$169,"$104,204,835",42,Warner Bros.,False,False
5,5,The Talented Mr. Ripley,"$323,801",-5.7%,-26%,2369,$136,"$64,520,275",27,Paramount Pictures,False,False
6,6,Galaxy Quest,"$319,425",+4.9%,-26.2%,2450,$130,"$49,753,194",27,DreamWorks Distribution,False,False
7,7,Stuart Little,"$317,513",+4.4%,-25.9%,3092,$102,"$110,678,550",35,Sony Pictures Releasing,False,False
8,8,Any Given Sunday,"$253,967",-6.4%,-42.9%,2505,$101,"$67,760,654",30,Warner Bros.,False,False
9,9,Magnolia,"$214,744",-6.6%,-41.8%,1038,$206,"$12,947,461",35,New Line Cinema,False,False
10,11,Toy Story 2,"$210,806",+10.3%,-31.3%,2326,$90,"$228,280,286",63,Walt Disney Studios Motion Pictures,False,False
11,10,Snow Falling on Cedars,"$184,805",-5.9%,-34.4%,1155,$160,"$8,987,358",30,Universal Pictures,False,False
12,12,Anna and the King,"$149,535",<0.1%,-45.5%,1535,$97,"$35,048,167",35,Twentieth Century Fox,False,False
13,13,Man on the Moon,"$73,200",-0.2%,-64.5%,1220,$60,"$32,866,420",30,Universal Pictures,False,False
