TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Stuart Little,"$3,555,000",-34.7%,-33%,2979,"$1,193","$95,320,551",24,Sony Pictures Releasing,False,False
2,2,The Green Mile,"$2,458,000",-46.2%,-36.5%,2678,$917,"$91,298,396",31,Warner Bros.,False,False
3,4,Any Given Sunday,"$2,206,000",-44%,-43.4%,2505,$880,"$59,218,170",19,Warner Bros.,False,False
4,6,Toy Story 2,"$2,171,342",-35%,-46.2%,2752,$789,"$219,705,755",52,Walt Disney Studios Motion Pictures,False,False
5,5,Galaxy Quest,"$2,170,237",-41.5%,-26.1%,2450,$885,"$38,454,133",16,DreamWorks Distribution,False,False
6,3,The Talented Mr. Ripley,"$2,153,000",-50.3%,-47%,2316,$929,"$54,186,228",16,Paramount Pictures,False,False
7,7,Magnolia,"$1,506,000",-37.7%,-,1034,"$1,456","$6,610,047",24,New Line Cinema,False,False
8,8,Snow Falling on Cedars,"$954,545",-45.4%,"+6,424.1%",1150,$830,"$4,078,058",19,Universal Pictures,False,False
9,9,Anna and the King,"$937,000",-42.8%,-48.2%,2004,$467,"$30,929,136",24,Twentieth Century Fox,False,False
10,10,Man on the Moon,"$795,025",-46.5%,-56%,2065,$385,"$30,193,435",19,Universal Pictures,False,False
11,11,The Hurricane,"$755,000",-24.3%,+494.5%,159,"$4,748","$3,191,951",12,Universal Pictures,False,False
12,-,American Beauty,"$130,000",-,-31.2%,289,$449,"$71,917,100",117,DreamWorks Distribution,False,False
