TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,2,The Green Mile,"$682,535",-72.2%,-55.1%,2678,$254,"$91,980,931",32,Warner Bros.,False,False
2,6,The Talented Mr. Ripley,"$621,515",-71.1%,-60.6%,2316,$268,"$54,807,744",17,Paramount Pictures,False,False
3,3,Any Given Sunday,"$609,672",-72.4%,-60.4%,2505,$243,"$59,827,842",20,Warner Bros.,False,False
4,1,Stuart Little,"$451,712",-87.3%,-74.5%,2979,$151,"$95,772,263",25,Sony Pictures Releasing,False,False
5,5,Galaxy Quest,"$440,111",-79.7%,-59.7%,2450,$179,"$38,894,244",17,DreamWorks Distribution,False,False
6,7,Magnolia,"$439,142",-70.8%,-,1034,$424,"$7,049,189",25,New Line Cinema,False,False
7,4,Toy Story 2,"$323,529",-85.1%,-77.8%,2752,$117,"$220,029,284",53,Walt Disney Studios Motion Pictures,False,False
8,8,Snow Falling on Cedars,"$281,750",-70.5%,"+2,695.1%",1150,$245,"$4,359,808",20,Universal Pictures,False,False
9,9,Anna and the King,"$258,075",-72.5%,-66.2%,2004,$128,"$31,187,211",25,Twentieth Century Fox,False,False
10,10,Man on the Moon,"$247,795",-68.8%,-67.3%,2065,$119,"$30,441,230",20,Universal Pictures,False,False
11,11,The Hurricane,"$218,625",-71%,+323.1%,159,"$1,375","$3,410,576",13,Universal Pictures,False,False
12,12,American Beauty,"$57,533",-55.7%,-35.7%,289,$199,"$71,974,633",118,DreamWorks Distribution,False,False
