TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,2,Next Friday,"$1,095,000",-60.2%,-48.3%,1335,$820,"$39,521,569",19,New Line Cinema,False,False
2,1,The Hurricane,"$907,000",-69.2%,-40.9%,2135,$424,"$30,943,521",33,Universal Pictures,False,False
3,4,Galaxy Quest,"$683,432",-61.2%,-40.5%,2209,$309,"$58,769,534",37,DreamWorks Distribution,False,False
4,5,"Girl, Interrupted","$675,000",-56%,-37.8%,1935,$348,"$21,160,203",41,Sony Pictures Releasing,False,False
5,3,The Green Mile,"$624,000",-71.8%,-47.8%,2371,$263,"$115,158,512",52,Warner Bros.,False,False
6,7,Toy Story 2,"$602,877",-50.6%,-33.8%,1796,$335,"$234,301,509",73,Walt Disney Studios Motion Pictures,False,False
7,6,The Talented Mr. Ripley,"$455,000",-69.6%,-44.8%,2142,$212,"$72,213,467",37,Paramount Pictures,False,False
8,8,Isn't She Great,"$314,985",-50.9%,-,750,$419,"$1,368,705",3,Universal Pictures,False,False
9,-,Magnolia,"$297,000",-,-44.9%,1086,$273,"$17,438,194",45,New Line Cinema,False,False
10,9,Snow Falling on Cedars,"$189,885",-56.8%,-42.4%,1000,$189,"$11,771,703",40,Universal Pictures,False,False
11,-,Any Given Sunday,"$164,000",-,-68.3%,2012,$81,"$72,343,586",40,Warner Bros.,False,False
12,10,Man on the Moon,"$62,450",-64.3%,-36.1%,624,$100,"$33,796,090",40,Universal Pictures,False,False
