TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,The Talented Mr. Ripley,"$1,123,509",-2.7%,-69.2%,2309,$486,"$44,863,694",13,Paramount Pictures,False,False
2,2,The Green Mile,"$1,102,502",-1.8%,-65.4%,2875,$383,"$81,566,918",28,Warner Bros.,False,False
3,3,Any Given Sunday,"$1,018,786",-5.1%,-69.2%,2505,$406,"$50,438,290",16,Warner Bros.,False,False
4,4,Stuart Little,"$853,066",-5.5%,-85.7%,2900,$294,"$84,106,048",21,Sony Pictures Releasing,False,False
5,5,Toy Story 2,"$653,847",-4.2%,-86%,3102,$210,"$212,552,266",49,Walt Disney Studios Motion Pictures,False,False
6,6,Galaxy Quest,"$640,563",-0.3%,-77.4%,2442,$262,"$30,431,280",13,DreamWorks Distribution,False,False
7,7,Anna and the King,"$550,405",-4%,-65.2%,2129,$258,"$27,282,201",21,Twentieth Century Fox,False,False
8,8,Man on the Moon,"$457,380",-10.2%,-71.8%,2079,$220,"$26,868,785",16,Universal Pictures,False,False
9,9,Bicentennial Man,"$424,556",-5.2%,-83.8%,2767,$153,"$41,916,539",21,Walt Disney Studios Motion Pictures,False,False
10,10,American Beauty,"$77,621",-1.1%,-,275,$282,"$71,339,790",114,DreamWorks Distribution,False,False
11,11,The Hurricane,"$37,970",-5%,-52.6%,11,"$3,451","$660,671",9,Universal Pictures,False,False
12,12,Snow Falling on Cedars,"$8,359",+11.8%,-20.4%,3,"$2,786","$168,003",16,Universal Pictures,False,False
