TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,2,The Hurricane,"$2,944,000",+71.9%,-7.3%,2135,"$1,378","$29,899,436",32,Universal Pictures,False,False
2,1,Next Friday,"$2,748,000",+52.8%,-18.4%,1335,"$2,058","$38,293,000",18,New Line Cinema,False,False
3,3,The Green Mile,"$2,209,000",+91.8%,-19.8%,2371,$931,"$114,496,923",51,Warner Bros.,False,False
4,5,Galaxy Quest,"$1,761,439",+84%,-20.7%,2209,$797,"$58,086,102",36,DreamWorks Distribution,False,False
5,4,"Girl, Interrupted","$1,533,000",+41%,-20.2%,1935,$792,"$20,526,129",40,Sony Pictures Releasing,False,False
6,6,The Talented Mr. Ripley,"$1,498,000",+77.3%,-18.6%,2142,$699,"$71,776,037",36,Paramount Pictures,False,False
7,7,Toy Story 2,"$1,221,221",+136.1%,-15.2%,1796,$679,"$233,698,632",72,Walt Disney Studios Motion Pictures,False,False
8,8,Isn't She Great,"$641,255",+55.5%,-,750,$855,"$1,053,720",2,Universal Pictures,False,False
9,9,Snow Falling on Cedars,"$439,995",+59.9%,-32.7%,1000,$439,"$11,581,818",39,Universal Pictures,False,False
10,10,Man on the Moon,"$174,735",+55.6%,-14.4%,624,$280,"$33,733,640",39,Universal Pictures,False,False
