TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,The Talented Mr. Ripley,"$1,154,291",-6.6%,-65%,2309,$499,"$43,740,185",12,Paramount Pictures,False,False
2,3,The Green Mile,"$1,122,398",-1.4%,-59.6%,2875,$390,"$80,464,416",27,Warner Bros.,False,False
3,4,Any Given Sunday,"$1,073,641",+1.8%,-65.2%,2505,$428,"$49,419,504",15,Warner Bros.,False,False
4,2,Stuart Little,"$902,837",-23%,-85.4%,2900,$311,"$83,252,982",20,Sony Pictures Releasing,False,False
5,5,Toy Story 2,"$682,784",-24.6%,-85.3%,3102,$220,"$211,898,419",48,Walt Disney Studios Motion Pictures,False,False
6,6,Galaxy Quest,"$642,244",-13.6%,-74.6%,2442,$262,"$29,790,717",12,DreamWorks Distribution,False,False
7,7,Anna and the King,"$573,429",-13%,-61.3%,2129,$269,"$26,728,796",20,Twentieth Century Fox,False,False
8,8,Man on the Moon,"$509,355",-14%,-67.5%,2079,$245,"$26,411,405",15,Universal Pictures,False,False
9,9,Bicentennial Man,"$447,931",-21%,-82.4%,2767,$161,"$41,491,983",20,Walt Disney Studios Motion Pictures,False,False
10,10,American Beauty,"$78,511",+2.9%,-33.7%,275,$285,"$71,262,169",113,DreamWorks Distribution,False,False
11,11,The Hurricane,"$39,969",-3.7%,-47.7%,11,"$3,633","$622,701",8,Universal Pictures,False,False
12,12,Snow Falling on Cedars,"$7,480",-17.4%,-21.8%,3,"$2,493","$159,644",15,Universal Pictures,False,False
