TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Next Friday,"$4,353,000",+148.6%,-,1103,"$3,946","$8,801,000",3,New Line Cinema,False,False
2,-,"Girl, Interrupted","$2,581,000",-,-,1902,"$1,356","$3,401,649",25,Sony Pictures Releasing,False,False
3,12,The Hurricane,"$2,506,000","+1,121.8%",+273.5%,1454,"$1,723","$6,570,066",17,Universal Pictures,False,False
4,2,The Green Mile,"$1,974,000",+224.6%,-27.6%,2483,$795,"$95,977,221",36,Warner Bros.,False,False
5,6,Stuart Little,"$1,742,000",+306.6%,-28.9%,3092,$563,"$98,860,347",29,Sony Pictures Releasing,False,False
6,5,Galaxy Quest,"$1,604,579",+271%,-25.1%,2450,$654,"$41,820,248",21,DreamWorks Distribution,False,False
7,4,The Talented Mr. Ripley,"$1,597,000",+265.1%,-43.1%,2369,$674,"$58,141,000",21,Paramount Pictures,False,True
8,3,Any Given Sunday,"$1,319,000",+196.3%,-50.8%,2505,$526,"$62,728,000",24,Warner Bros.,False,False
9,8,Toy Story 2,"$1,047,673",+241.5%,-36.1%,2326,$450,"$222,031,589",57,Walt Disney Studios Motion Pictures,False,False
10,7,Magnolia,"$923,000",+150.1%,-46.2%,1038,$889,"$9,221,439",29,New Line Cinema,False,False
11,9,Snow Falling on Cedars,"$716,095",+154.2%,-40.7%,1155,$619,"$6,001,653",24,Universal Pictures,False,False
12,11,Man on the Moon,"$353,785",+71.7%,-66.1%,1220,$289,"$31,518,165",24,Universal Pictures,False,False
