TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,The Green Mile,"$763,760",+11.9%,-32.9%,2678,$285,"$92,744,691",33,Warner Bros.,False,False
2,2,The Talented Mr. Ripley,"$695,372",+11.9%,-43.7%,2316,$300,"$55,503,116",18,Paramount Pictures,False,False
3,3,Any Given Sunday,"$632,592",+3.8%,-40%,2505,$252,"$60,460,434",21,Warner Bros.,False,False
4,4,Stuart Little,"$493,170",+9.2%,-57.9%,2979,$165,"$96,265,433",26,Sony Pictures Releasing,False,False
5,6,Magnolia,"$474,684",+8.1%,-,1034,$459,"$7,523,873",26,New Line Cinema,False,False
6,5,Galaxy Quest,"$467,539",+6.2%,-37.1%,2450,$190,"$39,361,783",18,DreamWorks Distribution,False,False
7,7,Toy Story 2,"$344,967",+6.6%,-61.9%,2752,$125,"$220,374,251",54,Walt Disney Studios Motion Pictures,False,False
8,8,Snow Falling on Cedars,"$339,250",+20.4%,"+3,644.9%",1150,$295,"$4,699,058",21,Universal Pictures,False,False
9,9,Anna and the King,"$337,645",+30.8%,-48.8%,2004,$168,"$31,524,856",26,Twentieth Century Fox,False,False
10,10,Man on the Moon,"$290,005",+17%,-51.1%,2065,$140,"$30,731,235",21,Universal Pictures,False,False
11,11,The Hurricane,"$231,345",+5.8%,+457.4%,159,"$1,455","$3,641,921",14,Universal Pictures,False,False
12,12,American Beauty,"$64,346",+11.8%,-15.7%,289,$222,"$72,038,979",119,DreamWorks Distribution,False,False
