TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,The Pink Panther,"$5,063,105",-45.3%,-,3477,"$1,456","$20,220,412",3,Sony Pictures Releasing,False,False
2,2,Final Destination 3,"$4,425,000",-42%,-,2880,"$1,536","$19,173,094",3,New Line Cinema,False,True
3,3,Curious George,"$4,144,090",-39.1%,-,2566,"$1,615","$14,703,405",3,Universal Pictures,False,False
4,4,Firewall,"$3,218,593",-47.1%,-,2840,"$1,133","$13,635,463",3,Warner Bros.,False,False
5,5,When a Stranger Calls,"$1,768,208",-57%,-36.3%,3004,$588,"$33,958,222",10,Screen Gems,False,False
6,6,Big Momma's House 2,"$1,746,615",-47.4%,-32.5%,2733,$639,"$54,908,725",17,Twentieth Century Fox,False,False
7,7,Nanny McPhee,"$1,385,455",-42.2%,-44.1%,2148,$644,"$32,956,035",17,Universal Pictures,False,False
8,8,Brokeback Mountain,"$1,081,000",-40%,-19.7%,1966,$549,"$66,460,791",66,Focus Features,False,True
9,10,Underworld: Evolution,"$802,672",-28.6%,-24.1%,1835,$437,"$57,354,686",24,Screen Gems,False,False
10,9,Hoodwinked!,"$757,982",-34.6%,-40.4%,2085,$363,"$47,269,225",59,The Weinstein Company,False,False
11,12,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$613,321",-38.7%,-2.4%,1302,$471,"$284,742,799",66,Walt Disney Studios Motion Pictures,False,False
12,11,Something New,"$537,000",-47%,-32.6%,1265,$424,"$8,213,332",10,Focus Features,False,True
13,13,Walk the Line,"$492,203",-49%,-9.4%,1248,$394,"$113,633,384",87,Twentieth Century Fox,False,False
14,14,Match Point,"$363,678",-43.9%,+11.4%,512,$710,"$18,416,505",47,DreamWorks Distribution,False,False
15,15,Annapolis,"$359,195",-41.9%,-27.2%,1250,$287,"$15,316,083",17,Walt Disney Studios Motion Pictures,False,False
16,16,Capote,"$348,000",-41.1%,-22.8%,930,$374,"$20,129,191",136,Sony Pictures Classics,False,True
17,17,The Matador,"$306,008",-44.5%,-14.6%,712,$429,"$10,515,807",45,The Weinstein Company,False,False
18,18,Glory Road,"$285,978",-47.2%,-10.1%,1351,$211,"$40,713,387",31,Walt Disney Studios Motion Pictures,False,False
19,19,"Good Night, and Good Luck.","$247,198",-37.9%,-8.5%,685,$360,"$28,190,802",129,Warner Independent Pictures (WIP),False,False
20,20,Munich,"$215,670",-41.5%,-22.1%,546,$395,"$44,313,605",52,Universal Pictures,False,False
21,22,Mrs. Henderson Presents,"$195,108",-37.2%,-25.9%,259,$753,"$4,363,175",66,The Weinstein Company,False,False
22,21,Last Holiday,"$166,034",-48.5%,-67.7%,949,$174,"$37,647,752",31,Paramount Pictures,False,False
23,23,King Kong,"$156,335",-38.9%,-36.5%,441,$354,"$215,699,910",61,Universal Pictures,False,False
24,25,Transamerica,"$132,933",-36.2%,-1.1%,126,"$1,055","$2,861,800",73,The Weinstein Company,False,False
25,24,Fun with Dick and Jane,"$116,129",-51.9%,-51.7%,536,$216,"$109,512,491",54,Sony Pictures Releasing,False,False
26,26,Memoirs of a Geisha,"$98,713",-34.4%,-52.7%,287,$343,"$56,070,640",66,Sony Pictures Releasing,False,False
27,27,Cheaper by the Dozen 2,"$85,780",-40.8%,-28.6%,370,$231,"$80,829,808",54,Twentieth Century Fox,False,False
28,28,Syriana,"$75,197",-42.6%,-27.6%,226,$332,"$48,723,888",82,Warner Bros.,False,False
29,29,Harry Potter and the Goblet of Fire,"$70,718",-45.9%,-22.4%,160,$441,"$287,180,682",87,Warner Bros.,False,False
30,30,"Yours, Mine & Ours","$53,344",-40.7%,-14.4%,242,$220,"$53,302,217",82,Paramount Pictures,False,False
31,31,Rumor Has It...,"$42,852",-45%,+130%,348,$123,"$42,747,869",50,Warner Bros.,False,False
32,32,Imagine Me & You,"$35,861",-31.8%,+31.8%,106,$338,"$354,238",17,Fox Searchlight Pictures,False,False
33,34,Hostel,"$27,549",-39.5%,-69.7%,158,$174,"$47,277,326",38,Lionsgate,False,False
34,33,The Family Stone,"$24,167",-48.4%,-34.2%,198,$122,"$59,703,894",59,Twentieth Century Fox,False,False
35,35,The Ringer,"$21,663",-41.6%,-25%,146,$148,"$35,019,634",52,Fox Searchlight Pictures,False,False
36,36,The Producers,"$18,225",-45.7%,-30.7%,146,$124,"$19,282,432",59,Universal Pictures,False,False
37,38,Neil Young: Heart of Gold,"$13,842",-39.4%,-,4,"$3,460","$53,908",3,Paramount Classics,False,False
38,37,Tristan & Isolde,"$13,113",-45.5%,-74.8%,96,$136,"$14,564,306",31,Twentieth Century Fox,False,False
39,41,Wolf Creek,"$8,313",-16.2%,+355.3%,16,$519,"$16,044,236",50,-,False,False
40,39,A Good Woman,"$8,041",-34.1%,-66.6%,26,$309,"$159,113",10,Lionsgate,False,False
41,40,Paradise Now,"$6,673",-38.6%,-32.9%,26,$256,"$1,255,977",108,Warner Independent Pictures (WIP),False,False
42,42,Grandma's Boy,"$3,583",-25.9%,-33%,46,$77,"$6,076,345",38,Twentieth Century Fox,False,False
43,43,Derailed,"$2,400",-50.1%,-50.6%,38,$63,"$36,020,063",94,The Weinstein Company,False,False
44,44,Looking for Comedy in the Muslim World,"$2,327",-40.4%,-61.4%,19,$122,"$864,732",24,Warner Independent Pictures (WIP),False,False
