TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,2,Happy Feet,"$8,227,390",+91.2%,-40.9%,3804,"$2,162","$116,486,219",16,Warner Bros.,False,False
2,1,Casino Royale,"$6,824,841",+47.3%,-41.6%,3386,"$2,015","$112,220,560",16,Sony Pictures Releasing,False,False
3,3,Deja Vu,"$4,925,055",+42.9%,-39.5%,3108,"$1,584","$41,430,810",11,Walt Disney Studios Motion Pictures,False,False
4,5,Deck the Halls,"$3,123,523",+72.9%,-33.9%,3205,$974,"$23,270,929",11,Twentieth Century Fox,False,False
5,4,The Nativity Story,"$2,919,000",+18.3%,-,3083,$946,"$5,387,000",2,New Line Cinema,False,True
6,8,The Santa Clause 3: The Escape Clause,"$2,321,063",+95.5%,-40.4%,2617,$886,"$71,653,639",30,Walt Disney Studios Motion Pictures,False,False
7,6,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"$2,124,494",+41.3%,-46.5%,2237,$949,"$115,122,333",30,Twentieth Century Fox,False,False
8,9,Stranger Than Fiction,"$1,778,452",+90.9%,-21.4%,1804,$985,"$36,264,513",23,Sony Pictures Releasing,False,False
9,7,Turistas,"$1,400,481",+7.3%,-,1570,$892,"$2,705,596",2,Fox Atomic,False,False
10,13,Flushed Away,"$1,045,849",+120.5%,-52.4%,2053,$509,"$59,356,737",30,DreamWorks,False,False
11,10,Van Wilder 2: The Rise of Taj,"$886,317",+0.8%,-,1979,$447,"$1,765,209",2,Metro-Goldwyn-Mayer (MGM),False,False
12,11,Bobby,"$866,136",+46.2%,-54.3%,1670,$518,"$8,662,630",16,-,False,False
13,12,The Fountain,"$749,131",+35.8%,-47.2%,1472,$508,"$7,756,968",11,Warner Bros.,False,False
14,15,The Queen,"$613,000",+65.7%,-39%,712,$860,"$22,704,000",64,Miramax,False,True
15,14,Tenacious D in the Pick of Destiny,"$543,000",+26.6%,-53.7%,1919,$282,"$7,079,000",11,New Line Cinema,False,True
16,16,Babel,"$431,044",+52%,-43.8%,609,$707,"$16,487,376",37,Paramount Vantage,False,False
17,19,For Your Consideration,"$385,655",+59.3%,-47%,625,$617,"$4,056,665",16,Warner Independent Pictures (WIP),False,False
18,18,The Departed,"$377,462",+53.5%,-45.6%,572,$659,"$117,800,811",58,Warner Bros.,False,False
19,17,Saw III,"$319,132",+21.4%,-48.7%,553,$577,"$79,313,582",37,Lionsgate,False,False
20,20,The Polar Express2006 IMAX Release,"$105,380",+141.6%,+4.1%,29,"$3,633","$592,152",16,Warner Bros.,False,False
21,21,Let's Go to Prison,"$59,290",+53.1%,-84.5%,242,$245,"$4,493,420",16,Universal Pictures,False,False
22,22,Flicka,"$56,258",+75%,-18.3%,303,$185,"$20,559,046",44,Twentieth Century Fox,False,False
23,23,Little Miss Sunshine,"$48,706",+60.2%,-2.3%,136,$358,"$59,057,684",130,Fox Searchlight Pictures,False,False
24,26,The Wedding Weekend,"$45,163",+74.2%,-10.8%,84,$537,"$749,950",37,The Weinstein Company,False,False
25,24,Flags of Our Fathers,"$44,110",+63.9%,-63.3%,204,$216,"$33,455,575",44,DreamWorks,False,False
26,31,Open Season,"$40,322",+114%,-40.3%,124,$325,"$84,281,164",65,Sony Pictures Releasing,False,False
27,29,The History Boys,"$37,168",+88.9%,-3%,8,"$4,646","$238,532",12,Fox Searchlight Pictures,False,False
28,32,The Marine,"$30,999",+83.2%,-28%,128,$242,"$18,582,675",51,Twentieth Century Fox,False,False
29,30,Marie Antoinette,"$30,174",+53.5%,-49.6%,80,$377,"$15,941,935",44,Sony Pictures Releasing,False,False
30,25,The Illusionist,"$29,491",+10.8%,-48%,173,$170,"$39,498,935",107,Yari Film Group Releasing,False,False
31,28,A Good Year,"$29,335",+43.5%,-74.8%,138,$212,"$7,285,122",23,Twentieth Century Fox,False,False
32,27,Deep Sea,"$25,643",+6.5%,-49.5%,26,$986,"$21,338,090",275,Warner Bros.,False,False
33,33,Fast Food Nation,"$22,247",+47.6%,-70.9%,58,$383,"$891,029",16,Fox Searchlight Pictures,False,False
34,34,The Last King of Scotland,"$21,862",+77.5%,-24.2%,17,"$1,286","$3,424,748",67,Fox Searchlight Pictures,False,False
35,35,School for Scoundrels,"$18,403",+57.5%,-35.3%,125,$147,"$17,739,320",65,-,False,False
36,36,Copying Beethoven,"$16,029",+102.5%,+35.7%,13,"$1,233","$247,442",23,Metro-Goldwyn-Mayer (MGM),False,False
37,37,Fur: An Imaginary Portrait of Diane Arbus,"$9,408",+35.1%,-22.8%,33,$285,"$181,485",23,Picturehouse,False,False
38,38,The Science of Sleep,"$6,820",+48.9%,+2.4%,25,$272,"$4,622,312",72,Warner Independent Pictures (WIP),False,False
39,39,Harsh Times,"$3,674",+24.5%,-76.3%,21,$174,"$3,324,889",23,Metro-Goldwyn-Mayer (MGM),False,False
40,40,Christmas at Maxwell's,"$3,324",+28.6%,-,41,$81,"$5,909",2,-,False,False
41,41,Infamous,"$1,868",+113.5%,+113%,8,$233,"$1,145,167",51,Warner Independent Pictures (WIP),False,False
42,42,Flyboys,$53,+23.3%,-82.5%,2,$26,"$13,006,598",72,Metro-Goldwyn-Mayer (MGM),False,False
