TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Ice Age: The Meltdown,"$3,637,457",+38.4%,+18.2%,3969,$916,"$127,200,291",14,Twentieth Century Fox,False,False
2,2,The Benchwarmers,"$2,138,775",+54%,-,3274,$653,"$25,968,631",7,Revolution Studios,False,False
3,3,Take the Lead,"$1,153,000",+36.8%,-,3009,$383,"$15,817,322",7,New Line Cinema,False,True
4,4,Inside Man,"$887,775",+29.1%,-16.3%,2867,$309,"$68,993,365",21,Universal Pictures,False,False
5,5,Lucky Number Slevin,"$688,443",+18.7%,-,1984,$346,"$9,544,347",7,-,False,False
6,7,Failure to Launch,"$453,529",+34%,-11.7%,2616,$173,"$80,571,236",35,Paramount Pictures,False,False
7,6,V for Vendetta,"$452,363",+27.3%,-19.2%,2003,$225,"$63,813,416",28,Warner Bros.,False,False
8,9,She's the Man,"$354,879",+54.8%,+33.5%,2026,$175,"$30,854,536",28,DreamWorks,False,False
9,8,ATL,"$321,262",+31.3%,-24.4%,1602,$200,"$18,309,659",14,Warner Bros.,False,False
10,12,Stay Alive,"$271,618",+51.8%,+11.5%,1845,$147,"$21,349,900",21,Walt Disney Studios Motion Pictures,False,False
11,10,Thank You for Smoking,"$270,120",+32.9%,+91.4%,299,$903,"$7,048,469",28,Fox Searchlight Pictures,False,False
12,11,Phat Girlz,"$238,856",+23.7%,-,1060,$225,"$3,996,739",7,Fox Searchlight Pictures,False,False
13,13,The Shaggy Dog,"$188,650",+21.3%,-24.9%,1701,$110,"$56,336,675",35,Walt Disney Studios Motion Pictures,False,False
14,14,Slither,"$165,325",+13.3%,-29.2%,1946,$84,"$7,227,010",14,Universal Pictures,False,False
15,17,Larry the Cable Guy: Health Inspector,"$119,028",+38.2%,-33.6%,1452,$81,"$14,093,982",21,Lionsgate,False,False
16,15,Basic Instinct 2,"$118,373",+9.5%,-46.8%,1453,$81,"$5,673,727",14,Sony Pictures Releasing,False,False
17,16,Deep Sea,"$108,292",+17.7%,+16.5%,46,"$2,354","$5,583,745",42,Warner Bros.,False,False
18,18,The Hills Have Eyes,"$85,140",+27.2%,-45.2%,693,$122,"$40,611,156",35,Fox Searchlight Pictures,False,False
19,19,Friends with Money,"$55,000",+14.6%,-,28,"$1,964","$795,343",7,Sony Pictures Classics,False,True
20,20,16 Blocks,"$25,471",+27.1%,-63.8%,311,$81,"$36,090,122",42,Warner Bros.,False,False
21,21,Nanny McPhee,"$22,425",+38.4%,+20%,255,$87,"$46,764,140",77,Universal Pictures,False,False
22,23,Big Momma's House 2,"$20,336",+32.2%,+15.3%,239,$85,"$69,613,059",77,Twentieth Century Fox,False,False
23,22,Curious George,"$19,405",+20.3%,-31.3%,332,$58,"$57,875,475",63,Universal Pictures,False,False
24,24,Aquamarine,"$18,119",+25.6%,-17.6%,200,$90,"$18,302,025",42,Twentieth Century Fox,False,False
25,25,Date Movie,"$14,609",+31.8%,+6.1%,182,$80,"$48,106,167",56,Twentieth Century Fox,False,False
26,26,Madea's Family Reunion,"$13,965",+30.5%,-59.2%,193,$72,"$63,086,657",49,Lionsgate,False,False
27,28,Neil Young: Heart of Gold,"$8,675",+23.3%,-18.5%,60,$144,"$1,542,614",63,Paramount Classics,False,False
28,27,Mrs. Henderson Presents,"$8,199",+5.4%,-55.7%,109,$75,"$10,789,284",126,The Weinstein Company,False,False
29,30,Firewall,"$8,093",+60.5%,-34.9%,93,$87,"$48,197,753",63,Warner Bros.,False,False
30,31,Syriana,"$7,275",+52.5%,-32%,81,$89,"$50,788,184",142,Warner Bros.,False,False
31,29,Cheaper by the Dozen 2,"$6,820",+32.1%,+19.2%,74,$92,"$82,487,769",114,Twentieth Century Fox,False,False
32,32,Transamerica,"$4,901",+13.8%,-50.3%,59,$83,"$8,796,341",133,The Weinstein Company,False,False
33,33,Walk the Line,"$4,480",+30.2%,-22.5%,42,$106,"$119,469,615",147,Twentieth Century Fox,False,False
34,34,Ask the Dust,"$3,338",+11.3%,-51.4%,46,$72,"$695,792",35,Paramount Classics,False,False
35,35,The Libertine,"$3,039",+14.4%,-64.8%,43,$70,"$4,819,136",140,The Weinstein Company,False,False
36,36,Hoodwinked!,"$2,275",-0.8%,-36.9%,43,$52,"$51,063,358",119,The Weinstein Company,False,False
37,37,Duck Season2005 Re-release,"$1,057",+18.5%,+17.3%,13,$81,"$128,383",35,Warner Independent Pictures (WIP),False,False
38,38,Night Watch2005 Re-release,$753,-7.4%,-49.7%,11,$68,"$1,470,350",56,Fox Searchlight Pictures,False,False
39,39,Doogal,$615,+384.3%,-49.1%,22,$27,"$7,417,319",49,The Weinstein Company,False,False
