TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Hustlers,"$2,635,483",-43.1%,-,3250,$810,"$43,198,913",6,STX Entertainment,False,False
2,2,It Chapter Two,"$1,973,095",-40.1%,-56.4%,4570,$431,"$160,184,373",13,Warner Bros.,False,False
3,5,3 from Hell,"$480,614",-7.6%,-,667,$720,"$1,809,226",3,Saban Films,False,False
4,3,Angel Has Fallen,"$422,307",-37%,-24.8%,3076,$137,"$61,963,048",27,Lionsgate,False,False
5,4,Good Boys,"$346,340",-36.3%,-28.2%,2736,$126,"$74,512,225",34,Universal Pictures,False,False
6,7,Overcomer,"$252,387",-37%,-28.2%,2293,$110,"$29,853,239",27,Affirm Films,False,False
7,6,The Goldfinch,"$248,019",-40.9%,-,2542,$97,"$3,604,046",6,Warner Bros.,False,False
8,8,The Lion King,"$205,433",-38.2%,-23%,2365,$86,"$534,830,025",62,-,False,False
9,9,Fast & Furious Presents: Hobbs & Shaw,"$187,140",-37.4%,-31%,2050,$91,"$169,020,320",48,Universal Pictures,False,False
10,10,The Peanut Butter Falcon,"$186,150",-31.2%,-22%,1490,$124,"$15,591,050",41,Roadside Attractions,False,False
11,12,Once Upon a Time... In Hollywood,"$164,542",-19.4%,-33.6%,957,$171,"$137,394,672",55,Sony Pictures Entertainment (SPE),False,False
12,13,Brittany Runs a Marathon,"$145,417",-22.4%,+50.3%,757,$192,"$4,188,250",27,Amazon Studios,False,False
13,-,Star Trek: The Motion Picture2019 Re-release,"$126,236",-,-,627,$201,"$346,243",4,Fathom Events,False,False
14,17,Linda Ronstadt: The Sound of My Voice,"$97,979",-6.5%,+703.4%,220,$445,"$1,130,287",13,Greenwich Entertainment,False,False
15,15,Scary Stories to Tell in the Dark,"$94,567",-28.5%,-34.6%,1494,$63,"$64,756,338",41,Lionsgate,False,False
16,14,Dora and the Lost City of Gold,"$93,371",-38.1%,-27.8%,1348,$69,"$57,066,512",41,Paramount Pictures,False,False
17,16,Ready or Not,"$87,935",-31.4%,-64.5%,1095,$80,"$28,002,692",29,Fox Searchlight Pictures,False,False
18,48,Bennett's War,"$78,964","+5,536.3%","+1,295.9%",128,$616,"$840,706",20,-,False,False
19,19,The Angry Birds Movie 2,"$54,478",-22.4%,-32%,1184,$46,"$39,798,664",37,Sony Pictures Entertainment (SPE),False,False
20,20,Spider-Man: Far from Home,"$42,585",-32%,-56.8%,710,$59,"$389,344,768",79,Sony Pictures Entertainment (SPE),False,False
21,18,Chhichhore,"$34,490",-52.4%,-45%,195,$176,"$1,485,903",13,FIP,False,False
22,21,The Art of Racing in the Rain,"$29,925",-32.4%,-49.7%,473,$63,"$25,896,420",41,Twentieth Century Fox,False,False
23,22,Don't Let Go,"$26,432",-38.1%,-68.6%,413,$64,"$5,034,306",20,-,False,False
24,25,The Farewell,"$24,978",-20.5%,-50.7%,229,$109,"$17,202,810",69,A24,False,False
25,26,Toy Story 4,"$23,159",-21%,-33.6%,410,$56,"$432,442,023",90,-,False,False
26,23,47 Meters Down: Uncaged,"$21,254",-39.7%,-55.2%,537,$39,"$21,615,171",34,Entertainment Studios Motion Pictures,False,False
27,24,Tod@s Caen,"$18,403",-44.9%,-50.7%,211,$87,"$2,498,987",20,Pantelion Films,False,False
28,28,Blinded by the Light,"$16,787",-15.5%,-58.1%,265,$63,"$11,717,248",34,Warner Bros.,False,False
29,29,"Where'd You Go, Bernadette","$13,697",-9%,-53.9%,192,$71,"$9,105,997",34,United Artists Releasing,False,False
30,31,Aladdin,"$11,945",-15.3%,-27.9%,179,$66,"$355,116,622",118,-,False,False
31,30,Luce,"$11,806",-17%,-59.9%,115,$102,"$1,909,605",48,Neon,False,False
32,32,Fiddler: A Miracle of Miracles,"$9,500",-1.2%,-30.5%,77,$123,"$441,521",27,Roadside Attractions,False,False
33,33,The Secret Life of Pets 2,"$7,125",-8.2%,-9.1%,119,$59,"$158,250,760",104,Universal Pictures,False,False
34,34,Midsommar,"$6,695",-11.7%,-71.6%,50,$133,"$27,389,794",78,A24,False,False
35,27,Out of Liberty,"$6,446",-69.2%,-,36,$179,"$105,576",6,Purdie Distribution,False,False
36,39,Monos,"$5,711",+9.5%,-,5,"$1,142","$64,997",6,Neon,False,False
37,37,The Kitchen,"$4,941",-23.3%,+1.4%,110,$44,"$12,113,855",41,Warner Bros.,False,False
38,38,Annabelle Comes Home,"$4,187",-32.9%,-48.6%,144,$29,"$74,042,807",85,Warner Bros.,False,False
39,36,The Fighting Preacher,"$3,976",-43.6%,-18%,24,$165,"$778,799",57,Purdie Distribution,False,False
