TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Alita: Battle Angel,"$1,727,342",-44.3%,-,3790,$455,"$47,079,933",7,Twentieth Century Fox,False,False
2,2,The LEGO Movie 2: The Second Part,"$1,211,348",-40.6%,+12.5%,4303,$281,"$72,479,264",13,Warner Bros.,False,False
3,3,Isn't It Romantic,"$884,598",-42.5%,-51.5%,3444,$256,"$25,312,551",8,Warner Bros.,False,False
4,4,What Men Want,"$615,098",-46%,-36.9%,2912,$211,"$39,195,828",13,Paramount Pictures,False,False
5,5,Happy Death Day 2U,"$502,950",-42.1%,-48.7%,3207,$156,"$16,089,325",8,Universal Pictures,False,False
6,6,Cold Pursuit,"$464,626",-40.3%,-37.7%,2630,$176,"$23,311,045",13,Lionsgate,False,False
7,7,The Upside,"$400,789",-34.1%,-23.3%,2781,$144,"$96,129,425",41,STX Entertainment,False,False
8,8,Green Book,"$289,015",-28.5%,-18%,1650,$175,"$67,210,436",97,Universal Pictures,False,False
9,9,Glass,"$263,620",-33.7%,-28%,2575,$102,"$105,919,800",34,Universal Pictures,False,False
10,10,The Prodigy,"$249,265",-33%,-15.9%,2530,$98,"$12,157,140",13,Orion Pictures,False,False
11,-,My Fair Lady2019 Re-release,"$205,947",-,-,652,$315,"$560,711",4,Fathom Events,False,False
12,12,Spider-Man: Into the Spider-Verse,"$172,024",-30.7%,+13.3%,1207,$142,"$183,890,410",69,Sony Pictures Entertainment (SPE),False,False
13,13,Gully Boy,"$129,919",-47.6%,-,258,$503,"$3,128,511",7,Viva Pictures,False,False
14,14,Aquaman,"$126,004",-32.7%,-20%,1264,$99,"$332,063,355",62,Warner Bros.,False,False
15,16,They Shall Not Grow Old2018 Re-release,"$103,966",-20.6%,-29.1%,626,$166,"$15,754,392",66,Warner Bros.,False,False
16,17,Ralph Breaks the Internet,"$99,748",-23%,+480.1%,1354,$73,"$199,407,849",92,-,False,False
17,15,The Wandering Earth,"$92,849",-42.3%,-35.1%,125,$742,"$4,898,720",16,CMC Pictures,False,False
18,19,Bohemian Rhapsody,"$79,621",-29.8%,-15.1%,562,$141,"$212,393,481",111,Twentieth Century Fox,False,False
19,20,A Dog's Way Home,"$76,782",-27.5%,-8.8%,880,$87,"$40,835,076",41,Sony Pictures Entertainment (SPE),False,False
20,23,A Star Is Born,"$73,995",-10.7%,+21.8%,643,$115,"$210,120,689",139,Warner Bros.,False,False
21,18,Miss Bala,"$72,019",-37.7%,-49.2%,1172,$61,"$14,192,594",20,Sony Pictures Entertainment (SPE),False,False
22,21,Vice,"$71,423",-26.9%,+9%,702,$101,"$46,400,034",58,Annapurna Pictures,False,False
23,22,The Favourite,"$59,819",-31.7%,-6.6%,324,$184,"$31,483,582",90,Fox Searchlight Pictures,False,False
24,26,Cold War2018 Re-release,"$43,624",-13.8%,-22.3%,247,$176,"$3,744,570",62,Amazon Studios,False,False
25,24,Escape Room,"$39,462",-29.2%,-37.5%,635,$62,"$55,896,003",48,Sony Pictures Entertainment (SPE),False,False
26,25,Mary Poppins Returns,"$38,422",-26.1%,-21%,345,$111,"$170,700,172",64,-,False,False
27,27,Bumblebee,"$33,776",-25.5%,-11.5%,788,$42,"$126,680,829",62,Paramount Pictures,False,False
