TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Avengers: Endgame,"$7,510,154",-10.9%,-65.1%,4662,"$1,610","$660,445,739",14,-,False,False
2,2,Long Shot,"$800,074",-7.7%,-,3230,$247,"$13,611,935",7,Lionsgate,False,False
3,3,The Intruder,"$685,292",-2.4%,-,2222,$308,"$14,375,126",7,Screen Gems,False,False
4,-,Chonda Pierce: Unashamed,"$369,254",-,-,783,$471,"$787,979",3,Fathom Events,False,False
5,4,UglyDolls,"$314,075",-15.5%,-,3652,$86,"$10,360,796",7,STX Entertainment,False,False
6,5,Breakthrough,"$272,863",-19.6%,-45.2%,2884,$94,"$34,640,806",23,Twentieth Century Fox,False,False
7,7,Captain Marvel,"$235,530",-14.9%,-56.1%,2243,$105,"$421,964,079",63,-,False,False
8,6,The Curse of La Llorona,"$215,523",-28.4%,-58.2%,2540,$84,"$49,600,031",21,Warner Bros.,False,False
9,8,Shazam!,"$123,160",-40.6%,-58%,2521,$48,"$136,068,798",35,Warner Bros.,False,False
10,10,Dumbo,"$88,268",-25.8%,-56.2%,1668,$52,"$110,255,289",42,-,False,False
11,12,Little,"$76,075",-29.5%,-62.5%,1359,$55,"$39,023,700",28,Universal Pictures,False,False
12,16,Penguins,"$63,474",+28%,-54.9%,1052,$60,"$6,922,984",23,-,False,False
13,13,El Chicano,"$59,366",-9.1%,-,605,$98,"$1,000,979",7,-,False,False
14,17,Amazing Grace,"$50,979",+10%,-21%,263,$193,"$2,971,977",154,Neon,False,False
15,14,Us,"$43,985",-26.5%,-64.9%,599,$73,"$174,156,380",49,Universal Pictures,False,False
16,15,Pet Sematary,"$40,772",-27.3%,-67.8%,655,$62,"$53,975,700",35,Paramount Pictures,False,False
17,18,Red Joan,"$25,180",-14.6%,+112.8%,140,$179,"$645,862",21,IFC Films,False,False
18,19,Missing Link,"$21,909",-17.3%,-70.1%,707,$30,"$16,263,715",28,United Artists Releasing,False,False
19,20,The Mustang,"$21,225",-5.8%,-35.2%,229,$92,"$4,914,615",56,Focus Features,False,False
20,22,How to Train Your Dragon: The Hidden World,"$13,205",-15.7%,-29.1%,245,$53,"$159,997,730",77,Universal Pictures,False,False
21,24,High Life,"$12,997",+4.2%,-36.4%,98,$132,"$1,134,310",35,A24,False,False
22,21,Unplanned,"$11,512",-37.7%,-53.5%,134,$85,"$17,974,882",42,Pure Flix Entertainment,False,False
23,9,Code Geass: Lelouch of the Re;Surrection2019 Re-release,"$10,768",-92.7%,-,490,$21,"$522,805",5,FUNimation Entertainment,False,False
24,23,After,"$8,861",-29.6%,-74.1%,227,$39,"$12,016,313",28,Aviron Pictures,False,False
25,27,Wild Nights with Emily,"$8,568",+6.3%,-9.8%,78,$109,"$359,945",28,Greenwich Entertainment,False,False
26,26,Wonder Park,"$7,651",-10.8%,-47.3%,195,$39,"$45,216,793",56,Paramount Pictures,False,False
27,28,Hotel Mumbai,"$6,336",-20.4%,-65.5%,94,$67,"$9,485,918",49,Bleecker Street Media,False,False
28,33,Apollo 11,"$6,258",+18%,+2.2%,58,$107,"$8,626,244",70,Neon,False,False
29,25,Hellboy,"$6,243",-28.4%,-81.3%,179,$34,"$21,831,956",28,Lionsgate,False,False
30,30,The Best of Enemies,"$5,683",-11.2%,-58.8%,134,$42,"$10,154,932",35,STX Entertainment,False,False
31,32,Tyler Perry's a Madea Family Funeral,"$5,633",+1.6%,+72.8%,98,$57,"$73,179,172",70,Lionsgate,False,False
32,31,Five Feet Apart,"$4,622",-20.5%,-58.1%,153,$30,"$45,545,417",56,Lionsgate,False,False
33,29,Kalank,"$3,995",-41.5%,-81.4%,85,$47,"$2,729,336",23,FIP,False,False
34,38,The LEGO Movie 2: The Second Part,"$3,612",+36.6%,-12.4%,152,$23,"$105,806,508",91,Warner Bros.,False,False
35,35,Non-Fiction,"$3,263",-12.7%,-,2,"$1,631","$43,312",7,IFC Films,False,False
36,36,Isn't It Romantic,"$2,933",+5%,-34.8%,80,$36,"$48,791,187",86,Warner Bros.,False,False
37,37,Gloria Bell,"$2,568",-7.1%,-34.2%,33,$77,"$5,585,189",63,A24,False,False
38,40,Alita: Battle Angel,"$2,283",-3.5%,-51%,61,$37,"$85,710,210",85,Twentieth Century Fox,False,False
39,43,Fighting with My Family,"$2,090",+32.8%,-18.3%,45,$46,"$22,943,696",85,Metro-Goldwyn-Mayer (MGM),False,False
40,42,Meeting Gorbachev,"$1,893",+3.3%,-,2,$946,"$24,980",7,1091 Media,False,False
41,41,The Silence of Others,"$1,794",-8%,-,1,"$1,794","$3,745",2,Argot Pictures,False,False
42,48,Little Woods,"$1,413",+29%,-56.4%,16,$88,"$142,650",21,Neon,False,False
43,47,Diane,"$1,191",+6.8%,-63.1%,21,$56,"$327,247",42,IFC Films,False,False
44,39,The Public,"$1,120",-54.9%,-62.5%,22,$50,"$545,759",35,Greenwich Entertainment,False,False
45,46,The Beach Bum,$937,-22%,-65.7%,12,$78,"$3,487,204",42,Neon,False,False
46,53,Fast Colour,$895,+25.7%,+85.7%,7,$127,"$71,393",21,Lionsgate,False,False
47,52,Arctic2019 Re-release,$883,+15.3%,-53.4%,19,$46,"$2,410,795",98,Bleecker Street Media,False,False
48,54,They Shall Not Grow Old2018 Re-release,$704,+9.7%,-42%,16,$44,"$17,956,913",144,Warner Bros.,False,False
49,56,Frank and Ava,$383,-5.2%,+286.9%,2,$191,"$9,832",154,Hannover House,False,False
50,58,Mia and the White Lion,$250,-,-51.9%,5,$50,"$397,255",28,-,False,False
51,57,"Faith, Hope & Love",$244,-24.9%,+29.1%,2,$122,"$197,386",56,ArtAffects Entertainment,False,False
52,50,The Invisibles,$217,-75.9%,+64.4%,3,$72,"$406,865",105,Greenwich Entertainment,False,False
53,34,Maze2019 Re-release,$162,-96.7%,+15.7%,9,$18,"$43,775",49,Lightyear Entertainment,False,False
