TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated
1,1,Frozen II,"$1,758,492",-13.6%,-35.6%,4348,$404,"$347,360,072",21,-,False,False
2,2,Knives Out,"$1,257,952",-9.9%,-26.4%,3461,$363,"$69,677,248",16,Lionsgate,False,False
3,4,A Beautiful Day in the Neighborhood,"$608,938",-6.6%,-21.5%,3491,$174,"$45,974,891",21,Sony Pictures Entertainment (SPE),False,False
4,3,Ford v Ferrari,"$603,418",-12.2%,-22.2%,3746,$161,"$94,104,794",28,Twentieth Century Fox,False,False
5,5,Queen & Slim,"$508,225",-8%,-41.8%,1715,$296,"$29,574,870",16,Universal Pictures,False,False
6,6,Dark Waters,"$317,450",-15.1%,+512.8%,2012,$157,"$6,889,174",21,Focus Features,False,False
7,7,21 Bridges,"$202,010",-30%,-46.3%,2465,$81,"$25,171,366",21,STX Entertainment,False,False
8,8,Midway,"$183,977",-19.2%,-32.5%,2100,$87,"$54,339,847",35,Lionsgate,False,False
9,13,Harriet,"$109,070",+8.8%,-15.9%,1000,$109,"$41,323,165",42,Focus Features,False,False
10,10,Playing with Fire,"$94,448",-33.9%,-35.8%,2253,$41,"$42,594,818",35,Paramount Pictures,False,False
11,14,Parasite,"$91,849",-3%,-2.2%,333,$275,"$19,717,719",63,Neon,False,False
12,12,Last Christmas,"$88,220",-24.6%,-43.8%,1262,$69,"$33,940,840",35,Universal Pictures,False,False
13,11,Joker,"$76,468",-36.4%,-44.1%,956,$79,"$332,570,374",70,Warner Bros.,False,False
14,16,Jojo Rabbit,"$66,377",-14.1%,-23.9%,579,$114,"$19,606,764",56,Fox Searchlight Pictures,False,False
15,15,The Good Liar,"$64,804",-17.2%,-61.8%,787,$82,"$16,456,762",28,Warner Bros.,False,False
16,17,Honey Boy,"$52,263",-20.9%,+19.8%,460,$113,"$2,389,944",35,Amazon Studios,False,False
17,18,Waves,"$51,176",-13.8%,+222.7%,570,$89,"$1,287,645",28,A24,False,False
18,19,The Addams Family,"$39,795",-15.1%,+55.7%,1507,$26,"$97,185,807",63,United Artists Releasing,False,False
19,20,Maleficent: Mistress of Evil,"$33,846",-25.3%,-42.9%,728,$46,"$112,556,631",56,-,False,False
20,21,No Safe Spaces,"$32,000",-25.6%,"+1,900%",200,$160,"$923,785",49,Atlas Distribution Company,False,False
21,24,Terminator: Dark Fate,"$25,907",-28.1%,-58.8%,431,$60,"$61,944,270",42,Paramount Pictures,False,False
22,22,Playmobil: The Movie,"$25,021",-38.2%,-,2337,$10,"$822,723",7,STX Entertainment,False,False
23,25,Doctor Sleep,"$23,763",-33%,-60.2%,530,$44,"$31,333,352",35,Warner Bros.,False,False
24,31,Portrait of a Lady on Fire,"$16,754",+17.3%,-,2,"$8,377","$118,603",7,Neon,False,False
25,26,Charlie's Angels,"$15,125",-39.2%,-83.1%,703,$21,"$17,603,693",28,Sony Pictures Entertainment (SPE),False,False
26,32,The Lighthouse,"$13,809",+0.7%,-6.9%,82,$168,"$10,578,828",56,A24,False,False
27,28,Zombieland: Double Tap,"$13,662",-29.6%,-46.9%,266,$51,"$72,606,263",56,Sony Pictures Entertainment (SPE),False,False
28,27,Panipat,"$13,080",-38%,-,175,$74,"$399,282",7,Reliance Entertainment,False,False
29,30,Killing Sarai,"$11,800",-23.2%,-,160,$73,"$305,920",7,Pantelion Films,False,False
30,29,The Whistleblower,"$11,476",-30.9%,-,133,$86,"$220,487",7,CMC Pictures Holdings,False,False
31,33,Downton Abbey,"$9,505",-3.7%,+10.1%,117,$81,"$96,815,815",84,Focus Features,False,False
32,34,Abominable,"$7,530",-18.9%,-28.9%,174,$43,"$60,335,095",77,Universal Pictures,False,False
33,35,Black and Blue,"$6,437",-25.2%,-49.3%,122,$52,"$21,940,568",49,Screen Gems,False,False
34,36,Countdown,"$5,153",-24.2%,-48.6%,177,$29,"$25,477,976",49,STX Entertainment,False,False
35,43,Arctic Dogs,"$4,711",+223.8%,+68.2%,140,$33,"$5,719,126",42,Entertainment Studios Motion Pictures,False,False
36,39,Motherless Brooklyn,"$3,361",+15.8%,-15.6%,45,$74,"$9,233,341",42,Warner Bros.,False,False
37,38,Judy,"$2,513",-15.8%,-19.9%,32,$78,"$23,955,985",77,Roadside Attractions,False,False
38,42,Linda Ronstadt: The Sound of My Voice,"$2,403",+54.1%,+192%,15,$160,"$4,220,599",98,Greenwich Entertainment,False,False
39,40,Once Upon a Time... In Hollywood,"$2,384",-5.2%,-20.5%,49,$48,"$141,037,131",140,Sony Pictures Entertainment (SPE),False,False
40,41,The Current War: Director's Cut,"$1,584",-3.2%,-6.5%,60,$26,"$5,972,225",49,101 Studios,False,False
41,45,Hustlers,"$1,143",+1.7%,-49.6%,30,$38,"$104,940,498",91,STX Entertainment,False,False
42,44,Sympathy for the Devil,"$1,140",-15.4%,-22.6%,8,$142,"$33,510",14,-,False,False
43,46,The Peanut Butter Falcon,$890,+11.5%,-7.5%,19,$46,"$20,452,912",126,Roadside Attractions,False,False
44,48,Ad Astra,$782,+9.8%,-75.8%,33,$23,"$50,188,370",84,Twentieth Century Fox,False,False
45,47,The Kingmaker,$744,-4.4%,+12.9%,6,$124,"$72,114",35,Greenwich Entertainment,False,False
46,50,Kind Hearts and Coronets2019 Re-release,$663,+14.5%,-48.5%,1,$663,"$21,702",16,Rialto Pictures,False,False
47,51,Mr. KleinRe-release,$416,+100%,-,1,$416,"$182,476",98,Rialto Pictures,False,False
48,49,Midnight Family,$379,-37.5%,-,1,$379,"$4,676",7,1091 Media,False,False
49,56,White Snake,$156,+254.5%,-94.6%,4,$39,"$31,994",28,GKIDS,False,False
50,52,The Kindness of Strangers,$109,-9.9%,-,3,$36,"$1,442",7,-,False,False
51,53,Citizen K,$75,-18.5%,-87.2%,1,$75,"$17,704",21,Greenwich Entertainment,False,False
52,54,Western Stars,$35,-56.8%,-80.4%,3,$11,"$1,581,681",49,Warner Bros.,False,False
53,55,The Fighting Preacher,$21,-59.6%,-69.6%,1,$21,"$954,641",142,Purdie Distribution,False,False
54,23,Promare,$0,-100%,-,612,$0,"$2,263,136",87,GKIDS,False,False
